"","H_Country","H_HIS_Score"
"1","AFG",32.3
"2","ALB",52.9
"3","DZA",23.6
"4","AND",30.5
"5","AGO",25.2
"6","ATG",29
"7","ARG",58.6
"8","ARM",50.2
"9","AUS",75.5
"10","AUT",58.5
"11",NA,NA
"12","AZE",34.2
"13","BHS",30.6
"14","BHR",39.4
"15","BGD",35
"16","BRB",31.9
"17","BLR",35.3
"18","BEL",61
"19","BLZ",31.8
"20","BEN",28.8
"21","BTN",40.3
"22","BOL",35.8
"23","BIH",42.8
"24","BWA",31.1
"25","BRA",59.7
"26","BRN",32.6
"27","BGR",45.6
"28","BFA",30.1
"29","BDI",22.8
"30","CPV",29.3
"31","KHM",39.2
"32","CMR",34.4
"33","CAN",75.3
"34","CAF",27.3
"35","TCD",28.8
"36","CHL",58.3
"37","CHN",48.2
"38","COL",44.2
"39","COM",27.2
"40","COG",23.6
"41","COD",26.5
"42","COK",20.4
"43","CRI",45.1
"44","CIV",35.5
"45","HRV",53.3
"46","CUB",35.2
"47","CYP",43
"48","CZE",52
"49","DNK",70.4
"50","DJI",23.2
"51","DMA",24
"52","DOM",38.3
"53","ECU",50.1
"54","EGY",39.9
"55","SLV",44.2
"56","GNQ",16.2
"57","ERI",22.4
"58","EST",57
"59","SWZ",31.1
"60","ETH",40.6
"61","FJI",25.7
"62","FIN",68.7
"63","FRA",68.2
"64","GAB",20
"65","GMB",34.2
"66","GEO",52
"67","DEU",66
"68","GHA",35.5
"69","GRC",53.8
"70","GRD",27.5
"71","GTM",32.7
"72","GIN",32.7
"73","GNB",20
"74","GUY",31.7
"75","HTI",31.5
"76","HND",27.6
"77","HUN",54
"78","ISL",46.3
"79","IND",46.5
"80","IDN",56.6
"81","IRN",37.7
"82","IRQ",25.8
"83","IRL",59
"84","ISR",47.3
"85","ITA",56.2
"86","JAM",29
"87","JPN",59.8
"88","JOR",42.1
"89","KAZ",40.7
"90","KEN",47.1
"91","KIR",19.2
"92","KWT",46.1
"93","KGZ",49.3
"94","LAO",43.1
"95","LVA",62.9
"96","LBN",43.1
"97","LSO",30.2
"98","LBR",35.1
"99","LBY",25.7
"100","LIE",43.5
"101","LTU",55
"102","LUX",43.8
"103","MDG",40.1
"104","MWI",28
"105","MYS",62.2
"106","MDV",33.8
"107","MLI",29
"108","MLT",37.3
"109","MHL",18.2
"110","MRT",27.5
"111","MUS",34.9
"112","MEX",57.6
"113","FSM",32.8
"114","MDA",42.9
"115","MCO",32.7
"116","MNG",49.5
"117","MNE",43.7
"118","MAR",43.7
"119","MOZ",28.1
"120","MMR",43.4
"121","NAM",35.6
"122","NRU",20.8
"123","NPL",35.1
"124","NLD",75.6
"125","NZL",54
"126","NIC",43.1
"127","NER",32.2
"128","NGA",37.8
"129","NIU",20.5
"130","KOR",17.5
"131","MKD",39.1
"132","NOR",64.6
"133","OMN",43.1
"134","PAK",35.5
"135","PLW",21.9
"136","PAN",43.7
"137","PNG",27.8
"138","PRY",35.7
"139","PER",49.2
"140","PHL",47.6
"141","POL",55.4
"142","PRT",60.3
"143","QAT",41.2
"144","ROU",45.8
"145","RUS",44.3
"146","RWA",34.2
"147","WSM",26.4
"148","SMR",31.1
"149","STP",17.7
"150","SAU",49.3
"151","SEN",37.9
"152","SRB",52.3
"153","SYC",31.9
"154","SLE",38.2
"155","SGP",58.7
"156","SVK",47.9
"157","SVN",67.2
"158","SLB",20.7
"159","SOM",16.6
"160","ZAF",54.8
"161","PRK",70.2
"162","SSD",21.7
"163","ESP",65.9
"164","LKA",33.9
"165","KNA",26.2
"166","LCA",35.3
"167","VCT",33
"168","SDN",26.2
"169","SUR",36.5
"170","SWE",72.1
"171","CHE",67
"172","SYR",19.9
"173","TJK",32.3
"174","TZA",36.4
"175","THA",73.2
"176","TLS",26
"177","TGO",32.5
"178","TON",25.1
"179","TTO",36.6
"180","TUN",33.7
"181","TUR",52.4
"182","TKM",31.8
"183","TUV",21.6
"184","UGA",44.3
"185","UKR",38
"186","ARE",46.7
"187","GBR",77.9
"188","USA",83.5
"189","URY",41.3
"190","UZB",34.3
"191","VUT",26.1
"192","VEN",23
"193","VNM",49.1
"194","YEM",18.5
"195","ZMB",28.7
"196","ZWE",38.2
