"","Countryname","Country","FCV_status","IDA-status"
"1","Libya","LBY","High-Intensity conflict",NA
"2","Sudan","SDN","High-Institutional and Social Fragility","Yes"
"3","Afghanistan","AFG","High-Intensity conflict","Yes"
"4","Mozambique","MOZ","Medium-Intensity conflict","Yes"
"5","Niger","NER","Medium-Intensity conflict","Yes"
"6","Algeria","DZA",NA,NA
"7","Ethiopia","ETH",NA,"Yes"
"8","Iraq","IRQ","Medium-Intensity conflict",NA
"9","South Sudan","SSD","Medium-Intensity conflict","Yes"
"10","Central African Republic","CAF","Medium-Intensity conflict","Yes"
"11","Chad","TCD","Medium-Intensity conflict","Yes"
"12","Croatia","HRV",NA,NA
"13","Lebanon","LBN","High-Institutional and Social Fragility",NA
"14","Maldives","MDV",NA,"Yes"
"15","Mauritania","MRT",NA,"Yes"
"16","Ukraine","UKR",NA,NA
"17","Zimbabwe","ZWE","High-Institutional and Social Fragility","Yes"
"18","Belarus","BLR",NA,NA
"19","Brazil","BRA",NA,NA
"20","Cabo Verde","CPV",NA,"Yes"
"21","Haiti","HTI","High-Institutional and Social Fragility","Yes"
"22","Honduras","HND",NA,"Yes"
"23","Peru","PER",NA,NA
"24","Serbia","SRB",NA,NA
"25","Somalia","SOM","High-Intensity conflict","Yes"
"26","Yemen","YEM","Medium-Intensity conflict","Yes"
"27","Armenia","ARM",NA,NA
"28","Cameroon","CMR","Medium-Intensity conflict","Yes"
"29","Colombia","COL",NA,NA
"30","Congo DR","COD","Medium-Intensity conflict","Yes"
"31","Grenada","GRD",NA,"Yes"
"32","Guinea","GIN",NA,"Yes"
"33","Iran","IRN",NA,NA
"34","Kenya","KEN",NA,"Yes"
"35","Malawi","MWI",NA,"Yes"
"36","Mali","MLI","Medium-Intensity conflict","Yes"
"37","Montenegro","MNE",NA,NA
"38","Nigeria","NGA","Medium-Intensity conflict","Yes"
"39","Papua New Guinea","PNG","High-Institutional and Social Fragility","Yes"
"40","Romania","ROU",NA,NA
"41","South Africa","ZAF",NA,NA
"42","Tajikistan","TJK",NA,"Yes"
"43","Zambia","ZMB",NA,"Yes"
"44","Albania","ALB",NA,NA
"45","Antigua and Barbuda","ATG",NA,NA
"46","Argentina","ARG",NA,NA
"47","Barbados","BRB",NA,NA
"48","Bolivia","BOL",NA,NA
"49","Burkina Faso","BFA","Medium-Intensity conflict","Yes"
"50","Dominica","DMA",NA,"Yes"
"51","Egypt","EGY",NA,NA
"52","El Salvador","SLV",NA,NA
"53","Eritrea","ERI","High-Institutional and Social Fragility","Yes"
"54","Georgia","GEO",NA,NA
"55","Guatemala","GTM",NA,NA
"56","Lesotho","LSO",NA,"Yes"
"57","Mauritius","MUS",NA,NA
"58","Myanmar","MMR","Medium-Intensity conflict","Yes"
"59","Pakistan","PAK",NA,"Yes"
"60","Seychelles","SYC",NA,NA
"61","Spain","ESP",NA,NA
"62","Suriname","SUR",NA,NA
"63","Syria","SYR","High-Intensity conflict","Yes"
"64","Timor-Leste","TLS","High-Institutional and Social Fragility","Yes"
"65","Trinidad and Tobago","TTO",NA,NA
