"","Country","DSSI Participation?","Risk of external debt distress","Risk of overall debt distress","Date of DSA Publication","Potential DSSI Savings (in USD millions)","Potential DSSI Savings   (in % of  GDP)","Countryiso"
"1","Afghanistan","Yes","High","High","Apr-20","$39.1","0.2%","AFG"
"2","Angola","Yes","...","...","...","$2645.6","3.1%","AGO"
"3","Bangladesh","No","Low","Low","May-20","$319.8","0.1%","BGD"
"4","Benin","No","Moderate","Moderate","Dec-19","$13.7","0.1%","BEN"
"5","Bhutan","No","Moderate","…","Oct-18","$206.5","8.4%","BTN"
"6","Burkina Faso","Yes","Moderate","Moderate","Apr-20","$23.3","0.2%","BFA"
"7","Burundi","Yes","High","…","Apr-15","$3.9","0.1%","BDI"
"8","Cabo Verde","Yes","High","High","Apr-20","$14.9","0.7%","CPV"
"9","Cambodia","No","Low","Low","Dec-19","$206.2","0.8%","KHM"
"10","Cameroon","Yes","High","High","May-20","$276.1","0.7%","CMR"
"11","Central African Republic","Yes","High","High","Apr-20","$6.3","0.3%","CAF"
"12","Chad","Yes","High","High","Apr-20","$61.0","0.5%","TCD"
"13","Comoros","Yes","Moderate","Moderate","Apr-20","$2.3","0.2%","COM"
"14","Democratic Republic of the Congo","Yes","Moderate","Moderate","Apr-20","$104.4","0.2%","COD"
"15","Republic of Congo","Yes","In distress","In distress","Jan-20","$146.2","1.3%","COG"
"16","Côte d'Ivoire","Yes","Moderate","Moderate","Apr-20","$232.1","0.4%","CIV"
"17","Djibouti","Yes","High","High","Oct-19","$59.2","1.6%","DJI"
"18","Dominica","Yes","High","…","Sep-18","$4.4","0.7%","DMA"
"19","Ethiopia","Yes","High","High","Apr-20","$511.3","0.5%","ETH"
"20","Fiji","No","...","...","...","$13.3","0.2%","FJI"
"21","The Gambia","Yes","High","High","Apr-20","$11.5","0.7%","GMB"
"22","Ghana","No","High","High","Apr-20","$354.1","0.5%","GHA"
"23","Grenada","Yes","In distress","In distress","Apr-20","$7.0","0.6%","GRD"
"24","Guinea","Yes","Moderate","Moderate","Aug-19","$129.7","0.9%","GIN"
"25","Guinea-Bissau","No","Moderate","…","Jun-18","$0.9","0.1%","GNB"
"26","Guyana","No","Moderate","Moderate","Sep-19","$12.9","0.3%","GUY"
"27","Haiti","No","High","High","Apr-20","$40.5","0.5%","HTI"
"28","Honduras","No","Low","Low","Jun-20","$67.5","0.3%","HND"
"29","Kenya","No","High","High","May-20","$802.6","0.8%","KEN"
"30","Kiribati","No","High","High","Jan-19","...","...","KIR"
"31","Kosovo","No","...","...","...","$7.8","0.1%","Kosovo"
"32","Kyrgyz Republic","Yes","Moderate","Moderate","Mar-20","$51.7","0.6%","KGZ"
"33","Lao PDR","No","High","High","Aug-19","$270.3","1.4%","LAO"
"34","Lesotho","Yes","Moderate","Moderate","Apr-19","$9.5","0.3%","LSO"
"35","Liberia","No","Moderate","High","Jun-20","$1.8","0.1%","LBR"
"36","Madagascar","Yes","Low","Moderate","Apr-20","$24.0","0.2%","MDG"
"37","Malawi","Yes","Moderate","High","May-20","$17.1","0.2%","MWI"
"38","Maldives","Yes","High","High","Apr-20","$36.7","0.6%","MDV"
"39","Mali","Yes","Moderate","Moderate","Apr-20","$52.3","0.3%","MLI"
"40","Marshall Islands","No","High","…","Sep-18","...","...","MHL"
"41","Mauritania","Yes","High","High","Apr-20","$90.0","1.2%","MRT"
"42","Micronesia","No","High","High","Sep-19","...","...","Micronesia"
