"","country","admin_code","year_month","year","month","countrypop","totalipc3plusabsfor","totalipc3pluspercfor","totalipc4plusabsfor","totalipc4pluspercfor","totalipc3plusabsnow","totalipc3pluspercnow","totalipc4plusabsnow","totalipc4pluspercnow","pctchangeipc3for","pctchangeipc4for","pctchangeipc3now","pctchangeipc4now","diffactfor","fshighrisk"
"1","Afghanistan",202,"2020_06",2020,6,36374157.1332,5174104.1919,14.2246710293595,0,0,4144194.4209,11.3932383525045,0,0,9.55808912126438,NA,-35.5705193514727,NA,2.83143267685498,"High risk"
"2","Burkina Faso",303,"2020_06",2020,6,20841206.0645,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk"
"3","Chad",319,"2020_06",2020,6,16413356.666882,620937.688,3.78312432126023,0,0,620937.688,3.78312432126023,0,0,0,NA,0,NA,0,"Not high risk"
"4","Democratic Republic of Congo",882,"2020_06",2020,6,90301099.1102559,16594749.7111,18.377129264881,0,0,7266060.3961,8.04648057187907,0,0,0.84770119097297,NA,-10.0438815524271,NA,10.3306486930019,"Not high risk"
"5","Ethiopia",704,"2020_06",2020,6,111619715.31005,14878387.0233,13.3295332119167,0,0,28449288.7699,25.4876915703247,0,0,-4.77649191797389,NA,9.40854890037015,NA,-12.1581583584079,"High risk"
"6","Guatemala",1011,"2020_06",2020,6,17988228.5973,0,0,0,0,0,0,0,0,-13.109891481777,NA,-1.89987951204543,NA,0,"Not high risk"
"7","Haiti",932,"2020_06",2020,6,11226900.38136,3374648.54995,30.0585952962843,0,0,4384241.88355,39.0512228186254,0,0,21.5212668483419,NA,0.330629050130604,NA,-8.99262752234112,"High risk"
"8","Kenya",779,"2020_06",2020,6,51906764.7369,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk"
"9","Malawi",853,"2020_06",2020,6,19961675.4681,0,0,0,0,0,0,0,0,0,NA,-26.9346651602074,NA,0,"Not high risk"
"10","Mali",152,"2020_06",2020,6,20466594.87702,0,0,0,0,1172867.80769,5.73064456856427,0,0,-5.73064456856427,NA,5.73064456856427,NA,-5.73064456856427,"Not high risk"
"11","Mauritania",416,"2020_06",2020,6,4549958.97017,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk"
"12","Mozambique",974,"2020_06",2020,6,31830372.108,3138205.049,9.85915288188311,0,0,3138205.049,9.85915288188311,0,0,-14.7361674443671,NA,-14.6199199657814,NA,0,"Not high risk"
"13","Niger",236,"2020_06",2020,6,24312523.16762,3354975.57323,13.7993722416201,0,0,3354975.57323,13.7993722416201,0,0,9.90589779569868,NA,9.90589779569868,NA,0,"Not high risk"
"14","Nigeria",1102,"2020_06",2020,6,206131832.04622,4190259.38923,2.0328055825412,533911.59509,0.259014626605697,16575825.48916,8.04137106075071,627764.94063,0.304545365166715,-1.10716086413003,-0.740985373394303,5.94229528789298,-0.695454634833285,-6.00856547820952,"High risk"
"15","Somalia",0,"2020_06",2020,6,12372752.9826,6819449.50305,55.116670579622,0,0,2329345.18876,18.826409870429,0,0,13.5707399370319,NA,8.42092908025596,NA,36.2902607091931,"High risk"
"16","South Sudan",74,"2020_06",2020,6,14183489.83209,13183279.83334,92.9480684190499,1869531.41341,13.1810396139616,13714175.55154,96.6911226637031,9166021.76018,64.6245872397495,-1.59332377542728,12.1810396139616,0.254074824367052,63.6245872397495,-3.74305424465321,"High risk"
"17","Sudan",624,"2020_06",2020,6,45255925.47231,5747949.03211,12.7009866047859,0,0,6440161.49901,14.2305376186604,0,0,-13.592244509147,-1,8.58710344324615,NA,-1.52955101387449,"High risk"
"18","Uganda",1201,"2020_06",2020,6,45562762.61271,0,0,0,0,1283231.7625,2.81640464474829,0,0,0,NA,2.81640464474829,NA,-2.81640464474829,"Not high risk"
"19","Yemen",1033,"2020_06",2020,6,29841393.133282,29701473.476682,99.5311222369041,15339146.775282,51.4022475652261,29701473.476682,99.5311222369041,14461837.723482,48.4623410806943,-1.56319401867222e-12,50.4022475652261,-1.56319401867222e-12,47.4623410806943,0,"High risk"
"20","Zambia",481,"2020_06",2020,6,18888478.51146,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk"
"21","Zimbabwe",553,"2020_06",2020,6,17464726.26077,8808017.23224,50.4331822939873,0,0,10178503.90964,58.2803518226529,0,0,-18.3882021621701,NA,-41.7196481773471,NA,-7.84716952866559,"Not high risk"
