Income Level,Country,Indicator,,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Low income,Afghanistan,2-5.,Inflation,"0,03","0,03","0,05",,,,,,
Low income,Afghanistan,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Low income,Afghanistan,5-30.,Inflation,,,,"0,06","0,06","0,05","0,17","0,13",
Low income,Afghanistan,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00",
Low income,Afghanistan,No Value,Inflation,,,,,,,,,
Low income,Afghanistan,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Burkina Faso,2-5.,Inflation,,,,,,,,"0,05","0,04"
Low income,Burkina Faso,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Low income,Burkina Faso,< 2.,Inflation,"-0,08","-0,06","-0,05","-0,02","0,00","-0,01","-0,01",,
Low income,Burkina Faso,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Low income,Burundi,5-30.,Inflation,"0,06","0,06","0,09","0,09","0,13","0,12","0,12","0,15",
Low income,Burundi,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Burundi,No Value,Inflation,,,,,,,,,
Low income,Burundi,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Chad,2-5.,Inflation,,,,"0,04",,,,,
Low income,Chad,2-5.,Min. Nombre d'enregistrements,,,,"1,00",,,,,
Low income,Chad,5-30.,Inflation,,,,,"0,08",,"0,12","0,09",
Low income,Chad,5-30.,Min. Nombre d'enregistrements,,,,,"1,00",,"1,00","1,00",
Low income,Chad,< 2.,Inflation,"-0,04","-0,04","0,00",,,,,,
Low income,Chad,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Low income,Chad,No Value,Inflation,,,,,,,,,
Low income,Chad,No Value,Min. Nombre d'enregistrements,,,,,,"1,00",,,"1,00"
Low income,Ethiopia,5-30.,Inflation,,,"0,23","0,22","0,25","0,27","0,26",,
Low income,Ethiopia,5-30.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00",,
Low income,Ethiopia,< 2.,Inflation,"0,00","0,00",,,,,,,
Low income,Ethiopia,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
Low income,Ethiopia,No Value,Inflation,,,,,,,,,
Low income,Ethiopia,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Low income,Gambia,5-30.,Inflation,"0,07","0,08","0,08","0,08","0,06","0,08","0,07","0,06",
Low income,Gambia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Gambia,No Value,Inflation,,,,,,,,,
Low income,Gambia,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Guinea,5-30.,Inflation,"0,11","0,12","0,12","0,12","0,12","0,12","0,14","0,13",
