"","Countryname","Country","FCV_status","FCV_normalised","FSI_Score","FSI_Score_norm","Final_score"
"1","Libya","LBY","High-Intensity conflict",10,95.2,10,10
"2","Sudan","SDN","High-Institutional and Social Fragility",10,104.8,10,10
"3","Afghanistan","AFG","High-Intensity conflict",10,102.9,10,10
"4","Mozambique","MOZ","Medium-Intensity conflict",10,91.7,10,10
"5","Niger","NER","Medium-Intensity conflict",10,95.3,10,10
"6","Algeria","DZA",NA,0,74.6,8.28888888888889,8.28888888888889
"7","Ethiopia","ETH",NA,0,94.6,10,10
"8","Iraq","IRQ","Medium-Intensity conflict",10,95.9,10,10
"9","South Sudan","SSD","Medium-Intensity conflict",10,110.8,10,10
"10","Central African Republic","CAF","Medium-Intensity conflict",10,107.5,10,10
"11","Chad","TCD","Medium-Intensity conflict",10,106.4,10,10
"12","Croatia","HRV",NA,0,46.1,5.12222222222222,5.12222222222222
"13","Lebanon","LBN","High-Institutional and Social Fragility",10,84.7,9.41111111111111,10
"14","Maldives","MDV",NA,0,66.2,7.35555555555556,7.35555555555556
"15","Mauritania","MRT",NA,0,88.7,9.85555555555556,9.85555555555556
"16","Ukraine","UKR",NA,0,69,7.66666666666667,7.66666666666667
"17","Zimbabwe","ZWE","High-Institutional and Social Fragility",10,99.2,10,10
"18","Belarus","BLR",NA,0,65.8,7.31111111111111,7.31111111111111
"19","Brazil","BRA",NA,0,73,8.11111111111111,8.11111111111111
"20","Cabo Verde","CPV",NA,0,64.8,7.2,7.2
"21","Haiti","HTI","High-Institutional and Social Fragility",10,97.7,10,10
"22","Honduras","HND",NA,0,76.8,8.53333333333333,8.53333333333333
"23","Peru","PER",NA,0,67.6,7.51111111111111,7.51111111111111
"24","Serbia","SRB",NA,0,66.1,7.34444444444444,7.34444444444444
"25","Somalia","SOM","High-Intensity conflict",10,110.9,10,10
"26","Yemen","YEM","Medium-Intensity conflict",10,112.4,10,10
"27","Armenia","ARM",NA,0,64.2,7.13333333333333,7.13333333333333
"28","Cameroon","CMR","Medium-Intensity conflict",10,97.9,10,10
"29","Colombia","COL",NA,0,76.6,8.51111111111111,8.51111111111111
"30","Congo DR","COD","Medium-Intensity conflict",10,109.4,10,10
"31","Grenada","GRD",NA,0,55.2,6.13333333333333,6.13333333333333
"32","Guinea","GIN",NA,0,97.2,10,10
"33","Iran","IRN",NA,0,83.4,9.26666666666667,9.26666666666667
"34","Kenya","KEN",NA,0,90.3,10,10
"35","Malawi","MWI",NA,0,84,9.33333333333333,9.33333333333333
"36","Mali","MLI","Medium-Intensity conflict",10,96,10,10
"37","Montenegro","MNE",NA,0,55.5,6.16666666666667,6.16666666666667
"38","Nigeria","NGA","Medium-Intensity conflict",10,97.3,10,10
"39","Papua New Guinea","PNG","High-Institutional and Social Fragility",10,82.3,9.14444444444444,10
"40","Romania","ROU",NA,0,46.7,5.18888888888889,5.18888888888889
"41","South Africa","ZAF",NA,0,70.1,7.78888888888889,7.78888888888889
"42","Tajikistan","TJK",NA,0,75.5,8.38888888888889,8.38888888888889
"43","Zambia","ZMB",NA,0,84.5,9.38888888888889,9.38888888888889
"44","Albania","ALB",NA,0,58.8,6.53333333333333,6.53333333333333
