Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
Afghanistan,-1,4.888888836,9.29487133,0.907999992,1,1,0.015,0.19544445,0.769299984,7.467392445,0.670973718,6,,In Conflict,
Albania,9,2,54.64743423,0.790000021,0,69,0.099999994,-0.797999978,0.220400006,9.351849556,1.482407093,1,,,Not At Risk
Algeria,2,2.555555582,32.05128098,0.730000019,1,1,0.280000001,-0.698777795,0.339399993,9.391448975,13.90524483,6,,In Conflict,
American Samoa,.,.,71.63461304,.,0,69,.,.,.,.,0,0,,,Not At Risk
Andorra,.,.,.,.,0,69,.,.,0.71390003,.,0,1,,,Not At Risk
Angola,-2,2.888888836,14.42307663,0.762333333,1,2,0.620000005,0.162888885,0.78670001,8.507121086,14.48215008,8,,In Conflict,
Antigua and Barbuda,.,1.666666627,57.69231033,.,0,69,.,.,0.164299995,9.908381462,0,0,,,Not At Risk
Argentina,9,2,59.93589783,0.416000009,0,37,0.015,-1.325777769,0.254999995,9.70676899,1.260188341,0,,,Not At Risk
Armenia,5,2.611111164,49.67948532,0.769666672,1,69,0.013900001,-0.58577776,0.127200007,9.196391106,5.347773552,3,,,Not At Risk
Aruba,.,.,78.36537933,.,0,69,.,.,.,10.52627373,0.003523875,0,,,Not At Risk
Australia,10,1.222222209,92.30769348,0.038666669,0,16,0.02,-1.562888861,0.092900001,10.77938271,6.836834431,1,,,Not At Risk
Austria,10,1,91.82691956,0.047666665,0,69,0.006,-1.464555502,0.106799997,10.84796524,0.13061057,0,,,Not At Risk
Azerbaijan,-7,3,47.43589783,0.958333313,1,2,0.046,1.27922225,0.204699993,9.596717834,19.15940857,6,,In Conflict,
"Bahamas, The",.,2,73.39743042,.,0,69,0,.,0.422800004,10.26395607,0.01517837,0,,,Not At Risk
Bahrain,-10,3,62.01922989,0.718999982,0,69,0.349999994,1.5303334,0.502099991,10.5396862,3.419161797,4,At Risk,,
Bangladesh,1,4,23.23718071,0.850666642,1,2,0.098500006,0.072111137,0.045400001,8.148421288,0.651420295,4,,In Conflict,
Barbados,.,2,78.84615326,0.104999997,0,69,0,-1.463222265,0.142299995,9.566850662,0.069629714,0,,,Not At Risk
Belarus,-7,2.777777672,38.30128098,0.407999992,1,69,0.041000001,-1.694111109,0.3222,9.74320507,1.350632071,3,,,Not At Risk
Belgium,8,1,85.57691956,0.021,0,69,0.01,-2.190444469,0.555400014,10.74366283,0.01880727,0,,,Not At Risk
Belize,.,2,27.2435894,.,0,69,0.173999995,.,0.701499999,9.045460701,0.949179232,2,,,Not At Risk
Benin,7,2,28.68589783,0.370666653,1,69,0,-1.523888826,0.787199974,7.583755016,5.83917284,2,,,Not At Risk
Bermuda,.,.,89.26281738,.,0,69,.,.,.,11.07495975,.,0,,,Not At Risk
Bhutan,5,1,70.35256958,0.090999998,1,69,0.600000024,-1.46633327,0.605000019,9.004041672,4.084537506,2,,,Not At Risk
Bolivia,7,1.888888836,35.89743423,0.614666641,0,52,0.029999999,-1.159999967,0.739600003,8.721855164,6.36397171,1,,,Not At Risk
Bosnia and Herzegovina,.,1.722222209,36.05768967,0.651666701,0,24,0.01,-0.760777771,0.629999995,9.397518158,1.264376163,0,,,Not At Risk
Botswana,8,2,69.55128479,0.15866667,0,69,0.088,-0.505666673,0.4102,9.716215134,1.075359941,0,,,Not At Risk
Brazil,8,3.77777791,43.58974457,0.670000017,0.666666687,69,0.511000037,-0.717888892,0.540799975,9.55312252,3.359558344,2,,,Not At Risk
British Virgin Islands,.,.,.,.,0,69,.,.,.,10.16887665,.,0,,,Not At Risk
Brunei Darussalam,.,1.333333373,83.49359131,.,0,57,0.24000001,.,0.541599989,10.88143826,16.84589005,2,,,Not At Risk
Bulgaria,9,2.166666746,64.42307281,0.614000022,1,69,0.151999995,-1.512111068,0.402099997,9.901067734,1.397293687,2,,,Not At Risk
Burkina Faso,6,2.666666746,32.05128098,0.41566667,1,1,0,-0.79144448,0.737699986,7.404450417,20.33270264,5,,In Conflict,
Burundi,-1,4.111111164,8.17307663,0.945666671,1,4,0,0.153555557,0.295100003,6.606153965,16.48086548,7,At Risk,,
Cabo Verde,10,1.333333373,58.65384674,0.153999999,0,69,0,-1.492111087,0.417400002,8.798402786,0.755203605,0,,,Not At Risk
Cambodia,-1,2.888888836,25.16025734,0.89533335,1,8,0.02,0.635555565,0.210500002,8.162067413,1.783658385,4,At Risk,,
Cameroon,-4,3.666666746,20.5128212,0.931666672,1,1,0,-0.065777786,0.863499999,8.055534363,6.354476452,5,,In Conflict,
Canada,10,1,96.4743576,0.027333332,0.666666687,69,0.043000001,-1.646555543,0.712400019,10.69462013,1.559187651,1,,,Not At Risk
Cayman Islands,.,.,85.41666412,.,0,69,.,.,.,10.92887878,.,0,,,Not At Risk
Central African Republic,6,3.555555582,2.884615421,0.809333324,1,1,0,-0.916888893,0.82950002,6.595753193,13.74666405,8,,In Conflict,
Chad,-2,3.166666746,6.410256386,0.968333304,1,1,0.039999999,1.026111126,0.861999989,7.249255657,19.03457069,7,,In Conflict,
Channel Islands,.,.,.,.,0,69,.,.,.,.,.,0,,,Not At Risk
Chile,10,1.722222209,78.36537933,0.076333337,0,46,0.090000004,-0.521888852,0.186100006,10.08861542,11.07932377,1,,,Not At Risk
China,-7,3.888888836,67.94872284,0.529333353,1,11,0.083400004,0.199444443,0.153799996,9.482087135,1.416705251,4,At Risk,,
Colombia,7,3.22222209,52.24358749,0.595000029,0,1,0.263999999,-0.129999995,0.601400018,9.464885712,4.015589714,3,,In Conflict,
Comoros,9,1.333333373,5.288461685,0.762333333,0,22,0,-1.035666704,0,7.947842598,2.400998831,2,,,Not At Risk
"Congo, Dem. Rep.",-3,4.888888836,5.128205299,0.949000001,1,1,0.436333328,0.025111107,0.87470001,6.686871052,31.46753502,9,,In Conflict,
"Congo, Rep.",-4,3.666666746,11.53846169,0.813666642,1,3,0.379999995,0.325777799,0.87470001,8.348763466,35.40151978,8,,In Conflict,
Costa Rica,10,1.333333373,63.62179184,0.182333335,0,69,0.101999998,-1.810222268,0.2368,9.692252159,1.18106699,0,,,Not At Risk
Côte d'Ivoire,4,2.833333254,23.39743614,0.512333333,1,8,0.109999999,-1.084111094,0.8204,8.198431969,4.075505733,4,At Risk,,
Croatia,9,1.166666627,71.79486847,0.438333333,0,24,0.061800003,-0.864777803,0.368999988,10.0980444,0.642749369,0,,,Not At Risk
Cuba,-7,2.888888836,46.31410217,0.451999992,0,58,0,-1.35577774,0.590799987,.,0.54410243,2,,,Not At Risk
Curaçao,.,.,.,.,0,69,.,.,.,10.12735367,.,0,,,Not At Risk
Cyprus,10,1.5,79.16666412,0.181666672,0,45,0.180000007,-1.608444452,0.093900003,10.44009018,0.018394431,1,,,Not At Risk
Czech Republic,9,1,80.7692337,0.263999999,0,69,0,-1.612555623,0.3222,10.48245811,0.309664458,0,,,Not At Risk
Denmark,10,1,96.7948761,0.015000001,0,69,0,-2.923888922,0.081900001,10.79678726,0.463389188,0,,,Not At Risk
Djibouti,3,3,15.22435856,0.745999992,0.333333343,11,0,-0.492777765,0.796199977,8.219819069,0.676706612,5,At Risk,,
