ISO3,HAZARD & EXPOSURE
HTI,5.7
SDN,6.5
LBY,8.2
MOZ,6.5
AFG,8.8
YEM,8.3
VEN,4.6
ZWE,3.8
KEN,5.9
ETH,5.7
BFA,5.6
SOM,8.9
SSD,6.4
TCD,5.7
SYR,8.6
ZMB,2.3
MDG,3.8
MWI,2.9
GRD,0.9
LBR,2.8
PAK,7.2
PNG,4.9
LBN,4.7
GHA,2.9
GTM,5.6
MDV,1.8
MLI,5.6
MRT,4.1
UGA,5.5
DZA,4.9
BWA,1.7
CIV,5.1
HRV,2.9
SYC,1.5
SUR,2.2
NER,7.3
CAF,6.1
COD,7.4
BDI,4.9
DJI,3.7
ERI,3.4
MMR,7.4
CPV,1.3
COM,1.6
BGD,7.4
IRN,6.2
IRQ,7.6
ATG,2.0
DOM,4.8
ITA,3.1
VCT,1.4
AGO,3.6
BOL,4.1
BRN,1.4
GRC,3.7
NPL,5.6
NIC,5.2
NGA,7.2
PLW,1.7
PER,5.2
PRT,1.8
LCA,1.4
SLE,3.8
TGO,2.4
ARE,2.3
CUB,3.8
KNA,1.5
BRB,2.1
EGY,7.5
BLR,1.8
BLZ,3.2
BEN,2.2
BTN,2.0
FJI,2.2
GIN,4.1
GUY,2.3
ISL,1.2
IRL,1.2
LVA,1.1
LTU,0.9
MUS,2.1
MNG,1.5
MNE,2.4
PAN,3.8
SEN,3.5
SVN,1.9
ESP,2.4
SWE,0.7
TZA,3.8
TTO,1.7
TUN,3.6
TKM,2.2
GNB,2.4
PRK,4.4
MHL,2.0
CMR,7.1
IND,7.4
KIR,2.1
NRU,1.5
BHR,0.6
CHN,7.0
COG,3.0
GNQ,2.5
GAB,3.4
STP,0.7
UKR,5.4
VNM,5.3
LSO,1.7
COL,6.9
IDN,7.4
JPN,5.5
MEX,8.1
FSM,2.4
PHL,7.8
TUV,1.6
ARG,2.7
AZE,4.5
CHL,4.3
CYP,2.5
ECU,4.6
GMB,2.1
KOR,3.7
KWT,1.2
LAO,3.0
NOR,0.2
OMN,3.0
QAT,0.8
RUS,6.0
RWA,2.5
WSM,1.9
SAU,4.3
SLB,3.6
TJK,5.1
TON,3.0
TUR,7.9
VUT,3.0
DMA,2.8
BHS,1.9
JAM,3.3
BEL,2.0
BRA,7.2
LIE,0.7
ALB,4.1
ARM,3.1
AUS,2.8
AUT,1.2
BIH,3.0
BGR,2.0
KHM,4.2
CAN,2.6
CRI,3.6
CZE,0.9
DNK,0.6
SLV,5.1
EST,0.5
SWZ,1.8
FIN,0.1
FRA,2.1
GEO,3.8
DEU,1.3
HND,4.9
HUN,2.0
ISR,5.3
JOR,3.4
KAZ,2.3
KGZ,4.7
LUX,0.4
MYS,3.4
MLT,1.3
MDA,2.9
MAR,4.1
NAM,2.4
NLD,1.0
NZL,2.5
MKD,2.2
PRY,2.1
POL,1.2
ROU,2.9
SRB,3.2
SGP,0.5
SVK,1.6
ZAF,5.2
LKA,4.4
CHE,1.2
THA,5.5
TLS,3.0
GBR,3.1
USA,6.3
URY,0.9
UZB,3.8
,
,
,
,
