Country,risk
DRC,
Afghanistan,3
Nigeria,
Syria,1
Ethiopia,3
South Sudan,
Sudan,1
Zimbabwe,
Haiti,1
Burkina Faso,
Yemen,
Malawi,
Zambia,
Cameroon,
Somalia,3
Niger,
Uganda,1
CAR,
Honduras,
Mali,
Burundi,
Guatemala,
Sierra Leone,
Pakistan,
Chad,
Kenya,3
Senegal,
Mauritania,
Lesotho,
Angola,
Madagascar,
Tanzania,1
Namibia,
Eswatini,
El Salvador,
Mozambique,
Togo,
Guinea,
Côte d'Ivoire,
Gambia,
Guinea-Bissau,
Ghana,
Benin,
Algeria,
Bangladesh,
Brazil,
Cambodia,1
Colombia,
Congo,
Costa Rica,
Djibouti,
Ecuador,
Egypt,
Eritrea,
Guyana,
Indonesia,1
Iran,2
Iraq,2
Jordan,
Korea DPR,1
Lebanon,
Liberia,
Libya,
Mexico,
Morocco,
Myanmar,
Nepal,1
Nicaragua,
Palestine,2
Peru,
Philippines,1
Rwanda,
South Africa,1
Thailand,
Tunisia,
Turkey,
Ukraine,
Venezuela,
Viet Nam,1
