"","Countryname","Country"
"1","Libya","LBY"
"2","Sudan","SDN"
"3","Afghanistan","AFG"
"4","Mozambique","MOZ"
"5","Niger","NER"
"6","Algeria","DZA"
"7","Ethiopia","ETH"
"8","Iraq","IRQ"
"9","South Sudan","SSD"
"10","Central African Republic","CAF"
"11","Chad","TCD"
"12","Croatia","HRV"
"13","Lebanon","LBN"
"14","Maldives","MDV"
"15","Mauritania","MRT"
"16","Ukraine","UKR"
"17","Zimbabwe","ZWE"
"18","Belarus","BLR"
"19","Brazil","BRA"
"20","Cabo Verde","CPV"
"21","Haiti","HTI"
"22","Honduras","HND"
"23","Peru","PER"
"24","Serbia","SRB"
"25","Somalia","SOM"
"26","Yemen","YEM"
"27","Armenia","ARM"
"28","Cameroon","CMR"
"29","Colombia","COL"
"30","Congo DR","COD"
"31","Grenada","GRD"
"32","Guinea","GIN"
"33","Iran","IRN"
"34","Kenya","KEN"
"35","Malawi","MWI"
"36","Mali","MLI"
"37","Montenegro","MNE"
"38","Nigeria","NGA"
"39","Papua New Guinea","PNG"
"40","Romania","ROU"
"41","South Africa","ZAF"
"42","Tajikistan","TJK"
"43","Zambia","ZMB"
"44","Albania","ALB"
"45","Antigua and Barbuda","ATG"
"46","Argentina","ARG"
"47","Barbados","BRB"
"48","Bolivia","BOL"
"49","Burkina Faso","BFA"
"50","Dominica","DMA"
"51","Egypt","EGY"
"52","El Salvador","SLV"
"53","Eritrea","ERI"
"54","Georgia","GEO"
"55","Guatemala","GTM"
"56","Lesotho","LSO"
"57","Mauritius","MUS"
"58","Myanmar","MMR"
"59","Pakistan","PAK"
"60","Seychelles","SYC"
"61","Spain","ESP"
"62","Suriname","SUR"
"63","Syria","SYR"
"64","Timor-Leste","TLS"
"65","Trinidad and Tobago","TTO"
"66","Tunisia","TUN"
"67","Uganda","UGA"
"68","Venezuela","VEN"
"69","Angola","AGO"
"70","Bahamas","BHS"
"71","Belize","BLZ"
"72","Bosnia and Herzegovina","BIH"
"73","Botswana","BWA"
"74","Brunei Darussalam","BRN"
"75","Bulgaria","BGR"
"76","Cyprus","CYP"
"77","Djibouti","DJI"
"78","Ecuador","ECU"
"79","Equatorial Guinea","GNQ"
"80","Fiji","FJI"
"81","Greece","GRC"
"82","Guyana","GUY"
"83","Hungary","HUN"
"84","Kazakhstan","KAZ"
"85","Malaysia","MYS"
"86","Nicaragua","NIC"
"87","Oman","OMN"
"88","Palau","PLW"
"89","Poland","POL"
"90","Saint Lucia","LCA"
"91","Solomon Islands","SLB"
"92","United Arab Emirates","ARE"
"93","Azerbaijan","AZE"
"94","Bahrain","BHR"
"95","Bangladesh","BGD"
"96","Bhutan","BTN"
"97","Burundi","BDI"
"98","Cambodia","KHM"
"99","China","CHN"
"100","Comoros","COM"
"101","Congo","COG"
"102","France","FRA"
"103","Gabon","GAB"
"104","Gambia","GMB"
"105","Germany","DEU"
"106","Kiribati","KIR"
"107","Korea DPR","PRK"
"108","Kuwait","KWT"
"109","Luxembourg","LUX"
"110","Madagascar","MDG"
"111","Malta","MLT"
"112","Mexico","MEX"
"113","Micronesia","FSM"
"114","Moldova Republic of","MDA"
"115","Mongolia","MNG"
"116","Morocco","MAR"
"117","Nauru","NRU"
"118","Panama","PAN"
"119","Rwanda","RWA"
"120","Samoa","WSM"
"121","Sao Tome and Principe","STP"
"122","Saudi Arabia","SAU"
"123","Senegal","SEN"
"124","Sierra Leone","SLE"
"125","Tanzania","TZA"
"126","Togo","TGO"
"127","Turkey","TUR"
"128","Turkmenistan","TKM"
"129","Tuvalu","TUV"
"130","Uzbekistan","UZB"
"131","Vanuatu","VUT"
"132","Australia","AUS"
"133","Austria","AUT"
"134","Belgium","BEL"
"135","Chile","CHL"
"136","Cuba","CUB"
"137","Czech Republic","CZE"
"138","Dominican Republic","DOM"
"139","Estonia","EST"
"140","Iceland","ISL"
"141","India","IND"
"142","Ireland","IRL"
"143","Israel","ISR"
"144","Italy","ITA"
"145","Japan","JPN"
"146","Jordan","JOR"
"147","Latvia","LVA"
"148","Liberia","LBR"
"149","Lithuania","LTU"
"150","Netherlands","NLD"
"151","New Zealand","NZL"
"152","North Macedonia","MKD"
"153","Philippines","PHL"
"154","Portugal","PRT"
"155","Qatar","QAT"
"156","Saint Kitts and Nevis","KNA"
"157","Saint Vincent and the Grenadines","VCT"
"158","Singapore","SGP"
"159","Slovenia","SVN"
"160","Sweden","SWE"
"161","Switzerland","CHE"
"162","Thailand","THA"
"163","Tonga","TON"
"164","United States of America","USA"
"165","Uruguay","URY"
"166","Benin","BEN"
"167","Canada","CAN"
"168","Costa Rica","CRI"
"169","Côte d'Ivoire","CIV"
"170","Denmark","DNK"
"171","Eswatini","SWZ"
"172","Finland","FIN"
"173","Ghana","GHA"
"174","Guinea-Bissau","GNB"
"175","Indonesia","IDN"
"176","Jamaica","JAM"
"177","Korea Republic of","KOR"
"178","Kyrgyzstan","KGZ"
"179","Lao PDR","LAO"
"180","Liechtenstein","LIE"
"181","Marshall Islands","MHL"
"182","Namibia","NAM"
"183","Nepal","NPL"
"184","Norway","NOR"
"185","Paraguay","PRY"
"186","Russian Federation","RUS"
"187","Slovakia","SVK"
"188","Sri Lanka","LKA"
"189","United Kingdom","GBR"
"190","Viet Nam","VNM"
