"","Country","Current Deaths","Projected Deaths - Mean","Projected Deaths / 1M","Additional Deaths - Mean","Additional Deaths (% of Current Deaths)","Projected Deaths - 2.5th Percentile","Projected Deaths - 97.5th Percentile"
"1","DZA",1360,2211,51,851,63,1560,3740
"2","ARG",5637,17679,395,12042,214,9836,29135
"3","AUS",396,1434,57,1038,262,724,2999
"4","AUT",728,826,93,98,13,742,1072
"5","BGD",3625,5639,35,2014,56,4132,8868
"6","BLR",603,794,84,191,32,716,978
"7","BEL",9935,10448,912,513,5,9972,12420
"8","BOL",4003,7186,624,3183,80,5168,11034
"9","BRA",107232,174390,826,67158,63,127376,243773
"10","BGR",495,1046,149,551,111,690,1976
"11","CAN",9072,9498,254,426,5,9108,10515
"12","CHL",10395,15227,803,4832,46,11073,25882
"13","CHN",4703,4912,3,209,4,4703,6354
"14","COL",14810,31590,628,16780,113,21909,47249
"15","HRV",165,300,74,135,82,206,508
"16","CUB",88,128,11,40,46,95,220
"17","CYP",20,32,37,12,62,24,53
"18","CZE",395,533,50,138,35,421,800
"19","DNK",621,717,124,96,16,640,969
"20","DOM",1438,2722,253,1284,89,1857,4422
"21","ECU",6065,7464,430,1399,23,6222,10502
"22","EGY",5141,5905,59,764,15,5271,7095
"23","EST",63,71,54,8,13,68,80
"24","Europe",191290,209636,353,18346,10,195050,251418
"25","FIN",333,373,68,40,12,340,484
"26","FRA",30410,31299,467,889,3,30445,35773
"27","DEU",9235,10209,123,974,11,9325,12931
"28","GRC",226,432,40,206,91,279,768
"29","HND",1567,2663,273,1096,70,1920,4221
"30","HUN",607,692,71,85,14,615,902
"31","ISL",10,13,38,3,29,10,19
"32","IND",49980,123499,90,73519,147,81786,175644
"33","IDN",6071,10732,40,4661,77,7717,17718
"34","IRN",19492,27856,336,8364,43,22577,37846
"35","IRL",1774,1857,379,83,5,1785,2099
"36","ISR",674,1551,182,877,130,954,2898
"37","ITA",35392,36198,600,806,2,35417,38885
"38","JPN",1093,1832,14,739,68,1145,4329
"39","KWT",498,768,182,270,54,541,1359
"40","LVA",32,39,20,7,22,33,52
"41","LTU",81,95,34,14,18,84,126
"42","LUX",123,181,294,58,47,139,273
"43","MYS",125,141,4,16,13,129,157
"44","MLT",9,12,24,3,30,10,15
"45","MEX",56543,99798,782,43255,76,83091,137566
"46","MDA",895,1409,349,514,57,1090,2065
"47","MAR",632,3267,90,2635,417,1366,7242
"48","NLD",6191,6564,380,373,6,6217,8013
"49","NGA",974,1334,7,360,37,1047,2087
"50","NOR",261,306,57,45,17,269,417
"51","PAK",6162,7043,33,881,14,6306,8237
"52","PAN",1746,2793,658,1047,60,2110,4024
"53","PER",25856,35886,1104,10030,39,28671,48277
"54","PHL",2600,7358,68,4758,183,3932,14780
"55","POL",1869,2958,78,1089,58,2150,4593
"56","PRT",1775,2054,200,279,16,1786,2668
"57","Rest of World",385230,670361,129,285131,74,496246,962013
"58","ROU",2954,6636,342,3682,125,4287,11060
"59","RUS",15585,22149,152,6564,42,17668,31465
"60","SAU",3369,4938,144,1569,47,3919,7094
"61","SRB",670,1037,149,367,55,811,1478
"62","SVK",31,46,8,15,48,33,82
"63","SVN",129,184,88,55,42,140,280
"64","ZAF",11677,22525,385,10848,93,15634,32771
"65","KOR",305,371,7,66,22,305,601
"66","ESP",28617,29925,638,1308,5,28655,34750
"67","SWE",5783,5947,581,164,3,5814,6054
"68","CHE",1991,2080,242,89,4,2003,2419
"69","TUR",5955,7425,89,1470,25,6027,11221
"70","UKR",2076,4795,109,2719,131,2916,8883
"71","ARE",361,449,46,88,24,367,688
"72","GBR",46791,49526,733,2735,6,46918,57473
"73","USA",169478,227675,686,58197,34,205543,258104
