ISO3,CPIA scores
ABW,0.00
AFG,3.50
AGO,3.00
ALB,4.50
AND,0.00
ARB,2.67
ARE,0.00
ARG,0.00
ARM,4.50
ASM,0.00
ATG,0.00
AUS,0.00
AUT,0.00
AZE,4.00
BDI,2.50
BEL,0.00
BEN,4.00
BFA,4.00
BGD,3.50
BGR,0.00
BHR,0.00
BHS,0.00
BIH,4.00
BLR,0.00
BLZ,0.00
BMU,0.00
BOL,3.00
BRA,0.00
BRB,0.00
BRN,0.00
BTN,4.50
BWA,0.00
CAF,3.50
CAN,0.00
CEB,0.00
CHE,0.00
CHI,0.00
CHL,0.00
CHN,0.00
CIV,4.00
CMR,4.00
COD,3.00
COG,3.00
COL,0.00
COM,3.00
CPV,4.00
CRI,0.00
CSS,4.30
CUB,0.00
CUW,0.00
CYM,0.00
CYP,0.00
CZE,0.00
DEU,0.00
DJI,4.00
DMA,4.50
DNK,0.00
DOM,0.00
DZA,0.00
EAP,3.39
EAR,3.57
EAS,3.39
ECA,4.00
ECS,4.00
ECU,0.00
EGY,0.00
EMU,0.00
ERI,1.50
ESP,0.00
EST,0.00
ETH,3.50
EUU,0.00
FCS,2.98
FIN,0.00
FJI,0.00
FRA,0.00
FRO,0.00
FSM,3.00
GAB,0.00
GBR,0.00
GEO,4.50
GHA,3.50
GIB,0.00
GIN,4.00
GMB,2.50
GNB,3.00
GNQ,0.00
GRC,0.00
GRD,4.50
GRL,0.00
GTM,0.00
GUM,0.00
GUY,3.50
HIC,0.00
HKG,0.00
HND,3.50
HPC,3.41
HRV,0.00
HTI,3.50
HUN,0.00
IBD,3.83
IBT,3.48
IDA,3.47
IDB,3.75
IDN,4.50
IDX,3.40
IMN,0.00
IND,4.50
INX,0.00
IRL,0.00
IRN,0.00
IRQ,0.00
ISL,0.00
ISR,0.00
ITA,0.00
JAM,0.00
JOR,0.00
JPN,0.00
KAZ,0.00
KEN,4.50
KGZ,4.00
KHM,4.00
KIR,3.00
KNA,0.00
KOR,0.00
KWT,0.00
LAC,4.06
LAO,3.00
LBN,0.00
LBR,3.00
LBY,0.00
LCA,4.50
LCN,4.06
LDC,3.32
LIC,3.19
LIE,0.00
LKA,3.50
LMC,3.58
LMY,3.48
LSO,3.50
LTE,4.00
LTU,0.00
LUX,0.00
LVA,0.00
MAC,0.00
MAF,0.00
MAR,0.00
MCO,0.00
MDA,4.50
MDG,4.00
MDV,3.50
MEA,3.00
MEX,0.00
MHL,3.00
MIC,3.65
MKD,0.00
MLI,4.00
MLT,0.00
MMR,3.50
MNA,3.00
MNE,0.00
MNG,3.50
MNP,0.00
MOZ,3.50
MRT,3.50
MUS,0.00
MWI,3.50
MYS,0.00
NAC,0.00
NAM,0.00
NCL,0.00
NER,4.00
NGA,3.00
NIC,4.00
NLD,0.00
NOR,0.00
NPL,3.00
NRU,0.00
NZL,0.00
OED,0.00
OMN,0.00
OSS,3.40
PAK,3.50
PAN,0.00
PER,0.00
PHL,0.00
PLW,0.00
PNG,3.00
POL,0.00
PRE,3.31
PRI,0.00
PRK,0.00
PRT,0.00
PRY,0.00
PSE,0.00
PSS,3.44
PST,4.00
PYF,0.00
QAT,0.00
ROU,0.00
RUS,0.00
RWA,4.00
SAS,3.57
SAU,0.00
SDN,1.50
SEN,4.00
SGP,0.00
SLB,3.50
SLE,3.50
SLV,0.00
SMR,0.00
SOM,2.00
SRB,4.00
SSA,3.33
SSD,1.00
SSF,3.33
SST,3.61
STP,3.00
SUR,0.00
SVK,0.00
SVN,0.00
SWE,0.00
SWZ,0.00
SXM,0.00
SYC,0.00
SYR,0.00
TCA,0.00
TCD,3.50
TEA,3.39
TEC,4.00
TGO,4.00
THA,0.00
TJK,4.00
TKM,0.00
TLA,4.06
TLS,3.00
TMN,3.00
TON,3.50
TSA,3.57
TSS,3.33
TTO,0.00
TUN,0.00
TUR,0.00
TUV,3.00
TZA,4.50
UGA,4.00
UKR,0.00
UMC,3.86
URY,0.00
USA,0.00
UZB,4.00
VCT,4.50
VEN,0.00
VGB,0.00
VIR,0.00
VNM,4.00
VUT,4.00
WLD,3.48
WSM,4.50
XKX,3.50
YEM,2.00
ZAF,0.00
ZMB,3.00
ZWE,2.50
