"","Country","Pc6m","Pc30d","Pc7d"
"1","ABW",3.5,NA,NA
"2","AFG",6.4,NA,NA
"3","AGO",3,NA,NA
"4","ALA",6.4,NA,NA
"5","ALB",6.9,1.2,0.9
"6","AND",3.4,NA,NA
"7","ARE",4.5,-1.4,-1.6
"8","ARG",18.7,2.3,0.6
"9","ARM",4.7,-1.2,0.6
"10","ATG",12.4,NA,NA
"11","AUS",3.2,0.4,0.4
"12","AUT",2.2,0.9,0.8
"13","AZE",7.5,3.7,1.7
"14","BDI",-8,NA,NA
"15","BEL",3.8,NA,-0.2
"16","BEN",1.3,NA,NA
"17","BES",NA,NA,NA
"18","BFA",-6.8,NA,NA
"19","BGD",2.8,1.5,NA
"20","BGR",6.9,1.1,0.6
"21","BHR",0.5,-3,-4
"22","BHS",4.7,0.6,0.6
"23","BIH",1.8,-0.2,-0.3
"24","BLR",15.1,2.7,0.8
"25","BLZ",9.2,NA,NA
"26","BMU",10.2,4.5,4.1
"27","BOL",14.5,-0.3,1.1
"28","BRA",6.5,0.2,-0.2
"29","BRB",24.7,16.4,16.4
"30","BRN",17.5,-0.9,NA
"31","BTN",2.2,NA,NA
"32","BWA",19.2,2.7,NA
"33","CAN",3.7,-0.1,NA
"34","CHE",0.9,0.3,-0.3
"35","CHL",6.6,-1,0.3
"36","CHN",3.7,0.1,0.2
"37","CIV",7.7,-0.8,NA
"38","CMR",10.4,2.3,-0.5
"39","COG",8.2,NA,NA
"40","COL",8.1,NA,-0.8
"41","CPV",0.1,0.3,0.3
"42","CRI",2.2,-1.4,-0.7
"43","CUB",5.2,3.7,11.3
"44","CUW",4.7,NA,NA
"45","CYM",1,NA,NA
"46","CYP",7.3,0.3,0.9
"47","CZE",5.8,NA,0.8
"48","DEU",3.1,1.1,0.7
"49","DJI",37.9,42.1,NA
"50","DMA",NA,NA,NA
"51","DNK",5.6,0.3,0.2
"52","DOM",8.8,-0.3,-0.3
"53","DZA",0.7,NA,-0.4
"54","ECU",6.4,3.7,2.1
"55","EGY",1.4,-0.1,0.3
"56","ERI",10.4,NA,NA
"57","ESP",5.1,0.3,0.2
"58","EST",6.4,1.2,0.3
"59","ETH",3.8,NA,NA
"60","FIN",4.1,0.3,0.8
"61","FJI",4.3,-0.7,NA
"62","FRA",2.8,-0.5,-1.2
"63","FRO",0.4,NA,NA
"64","GAB",-0.2,NA,NA
"65","GBR",2.8,-0.2,1.6
"66","GEO",10.9,1.9,1.4
"67","GGY",18.1,4.9,4.9
"68","GHA",14.4,NA,2.3
"69","GIB",7.6,NA,NA
"70","GMB",10.1,NA,NA
"71","GNQ",16.7,NA,NA
"72","GRC",3.2,0.2,0.1
"73","GRD",23.6,0.9,NA
"74","GRL",1,-1.2,NA
"75","GTM",14.7,8,2.3
"76","GUM",13.6,NA,NA
"77","GUY",65.8,23.5,NA
"78","HKG",7,0.7,2.2
"79","HND",11.6,-1.5,NA
"80","HRV",19.6,-1.2,2.5
"81","HTI",16.5,NA,NA
