Country,FSI_Score,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year,,,,,,,,,,,,,,,,,,,,,,
Yemen,112.4,9.7,10.0,9.7,9.4,7.8,7.0,9.9,9.5,10.0,9.8,9.7,10.0,-1.1,,,,,,,,,,,,,,,,,,,,,,
Somalia,110.9,9.8,10.0,8.6,9.1,9.4,8.9,8.9,9.1,9.0,10.0,9.1,9.0,-1.3,,,,,,,,,,,,,,,,,,,,,,
South Sudan,110.8,9.4,9.7,9.1,9.5,9.2,6.8,9.9,9.5,9.0,9.5,9.7,9.5,-1.4,,,,,,,,,,,,,,,,,,,,,,
Syria,110.7,9.9,9.9,10.0,8.7,7.2,8.4,10.0,9.1,10.0,7.6,10.0,10.0,-0.9,,,,,,,,,,,,,,,,,,,,,,
Congo Democratic Republic,109.4,8.5,9.8,9.7,8.0,8.6,6.9,9.7,9.5,9.5,9.8,10.0,9.4,-0.8,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,107.5,8.3,9.7,8.0,8.4,9.9,6.8,8.9,10.0,9.2,8.8,10.0,9.5,-1.4,,,,,,,,,,,,,,,,,,,,,,
Chad,106.4,9.2,9.5,8.3,8.5,8.9,8.4,9.3,9.4,8.5,9.6,9.2,7.7,-2.1,,,,,,,,,,,,,,,,,,,,,,
Sudan,104.8,8.4,9.4,9.4,8.1,8.0,8.0,9.3,8.3,8.9,9.1,9.3,8.6,-3.1,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,102.9,9.9,8.9,7.5,8.3,7.7,7.5,9.0,9.5,7.6,9.0,9.3,8.6,-2.1,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,99.2,8.5,10.0,6.4,8.6,7.6,7.0,9.1,8.7,8.3,9.3,8.5,7.2,-0.3,,,,,,,,,,,,,,,,,,,,,,
Burundi,97.9,8.3,7.9,7.6,8.5,7.3,5.9,9.1,7.9,9.1,9.2,8.5,8.5,-0.2,,,,,,,,,,,,,,,,,,,,,,
