"","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","Country","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score"
"1","2021-05-07","active","green","earthquake","FJI",0,"active - green"
"2","2021-05-05","past","green","earthquake","IDN",0,"past - green"
"3","2021-05-04","past","green","earthquake","TON",0,"past - green"
"4","2021-05-03","past","green","earthquake","MNG",0,"past - green"
"5","2021-05-03","past","green","earthquake","JPN",0,"past - green"
"6","2021-05-02","past","green","earthquake","IDN",0,"past - green"
"7","2021-05-02","past","green","earthquake","CHL",0,"past - green"
"8","2021-05-01","past","green","earthquake","JPN",0,"past - green"
"9","2021-05-04","past","green","flood","DZA",0,"past - green"
"10","2021-05-04","past","green","flood","AFG",0,"past - green"
"11","2021-05-04","past","green","flood","IDN",0,"past - green"
"12","2021-05-04","past","green","flood","COL",0,"past - green"
"13","2021-05-03","past","green","flood","RWA",0,"past - green"
"14","2021-04-28","past","green","flood","PHL",0,"past - green"
"15","2021-04-27","past","green","flood","YEM",0,"past - green"
"16","2021-04-27","past","green","flood","KEN",0,"past - green"
"17","2021-04-21","past","green","flood","GTM",0,"past - green"
"18","2021-04-21","past","green","flood","KHM",0,"past - green"
"19","2021-04-23","past","green","volcano","GTM",0,"past - green"
"20","2021-04-01","past","green","volcano","ITA",0,"past - green"
"21","2021-03-20","past","green","volcano","ISL",0,"past - green"
"22","2021-03-12","past","green","volcano","JPN",0,"past - green"
"23","2021-03-12","past","green","volcano","ECU",0,"past - green"
"24","2021-03-11","past","green","volcano","IDN",0,"past - green"
"25","2021-03-11","past","green","volcano","NIC",0,"past - green"
"26","2021-02-19","past","green","volcano","PHL",0,"past - green"
"27","2021-02-15","past","green","volcano","GTM",0,"past - green"
"28","2021-04-23","past","orange","volcano","VCT",0,"past - orange"
"29","2019","past","green","drought","BRA",0,"past - green"
"30","2020","active","green","drought","MOZ",0,"active - green"
"31","2021","past","green","drought","DZA",0,"past - green"
"32","2020","active","green","drought","USA",0,"active - green"
"33","2020","active","orange","drought","MEX",10,"active - orange"
