"","Country","M_GDP_WB_2017","M_GDP_WB_2018","M_GDP_WB_2019","M_GDP_WB_2020","M_GDP_WB_2021","M_GDP_WB_2019minus2020"
"1","USA",2.4,2.9,2.3,-6.1,4,-8.4
"2","Euro Area",2.5,1.9,1.2,-9.1,4.5,-10.3
"3","JPN",2.2,0.3,0.7,-6.1,2.5,-6.8
"4","KHM",7,7.5,7.1,-1,6,-8.1
"5","CHN",6.8,6.6,6.1,1,6.9,-5.1
"6","FJI",5.4,3.5,1,-4.3,1.9,-5.3
"7","IDN",5.1,5.2,5,0,4.8,-5
"8","LAO",6.9,6.3,4.7,1,4.6,-3.7
"9","MYS",5.7,4.7,4.3,-3.1,6.9,-7.4
"10","MNG",5.3,6.9,4.8,-0.5,4.9,-5.3
"11","MMR",6.2,6.8,6.3,1.5,6,-4.8
"12","PNG",3.5,-0.8,6,-1.3,3.4,-7.3
"13","PHL",6.9,6.3,6,-1.9,6.2,-7.9
"14","SLB",3.7,3.9,2.7,-6.7,-0.3,-9.4
"15","THA",4.1,4.2,2.4,-5,4.1,-7.4
"16","TLS",-3.8,-0.8,3.4,-4.8,3.8,-8.2
"17","VNM",6.8,7.1,7,2.8,6.8,-4.2
"18","ALB",3.8,4.1,2.2,-5,8.8,-7.2
"19","ARM",7.5,5.2,7.6,-2.8,4.9,-10.4
"20","AZE",0.2,1.5,2.2,-2.6,2.2,-4.8
"21","BLR",2.5,3.1,1.2,-4,1,-5.2
"22","BIH",3.2,3.7,2.6,-3.2,3.4,-5.8
"23","BGR",3.5,3.1,3.4,-6.2,4.3,-9.6
"24","HRV",3.1,2.7,2.9,-9.3,5.4,-12.2
"25","GEO",4.8,4.8,5.1,-4.8,4,-9.9
"26","HUN",4.3,5.1,4.9,-5,4.5,-9.9
"27","KAZ",4.1,4.1,4.5,-3,2.5,-7.5
"28","Kosovo",4.2,3.8,4.2,-4.5,5.2,-8.7
"29","KGZ",4.7,3.8,4.5,-4,5.6,-8.5
"30","MDA",4.7,4.3,3.6,-3.1,4,-6.7
"31","MNE",4.7,5.1,3.6,-5.6,4.8,-9.2
"32","MKD",1.1,2.7,3.6,-2.1,3.9,-5.7
"33","POL",4.9,5.3,4.1,-4.2,2.8,-8.3
"34","ROU",7.1,4.4,4.1,-5.7,5.4,-9.8
"35","RUS",1.8,2.5,1.3,-6,2.7,-7.3
"36","SRB",2,4.4,4.2,-2.5,4,-6.7
"37","TJK",7.6,7.3,7.5,-2,3.7,-9.5
"38","TUR",7.5,2.8,0.9,-3.8,5,-4.7
"39","TKM",6.5,6.2,6.3,0,4,-6.3
"40","UKR",2.5,3.3,3.2,-3.5,3,-6.7
"41","UZB",4.5,5.4,5.6,1.5,6.6,-4.1
"42","ARG",2.7,-2.5,-2.2,-7.3,2.1,-5.1
"43","BLZ",1.9,2.1,0.3,-13.5,6.7,-13.8
"44","BOL",4.2,4.2,2.7,-5.9,2.2,-8.6
"45","BRA",1.3,1.3,1.1,-8,2.2,-9.1
"46","CHL",1.2,3.9,1.1,-4.3,3.1,-5.4
"47","COL",1.4,2.5,3.3,-4.9,3.6,-8.2
"48","CRI",3.9,2.7,2.1,-3.3,3,-5.4
"49","DMA",-9.5,0.5,9.6,-4,4,-13.6
"50","DOM",4.7,7,5.1,-0.8,2.5,-5.9
"51","ECU",2.4,1.3,0.1,-7.4,4.1,-7.5
"52","SLV",2.3,2.4,2.4,-5.4,3.8,-7.8
"53","GRD",4.4,4.2,3.1,-9.6,6.5,-12.7
"54","GTM",3,3.1,3.6,-3,4.1,-6.6
"55","GUY",2.1,4.1,4.7,51.1,8.1,46.4
"56","HTI",1.2,1.5,-0.9,-3.5,1,-2.6
"57","HND",4.8,3.7,2.7,-5.8,3.7,-8.5
"58","JAM",1,1.9,0.7,-6.2,2.7,-6.9
"59","MEX",2.1,2.2,-0.3,-7.5,3,-7.2
"60","NIC",4.6,-4,-3.9,-6.3,0.7,-2.4
"61","PAN",5.6,3.7,3,-2,4.2,-5
"62","PRY",5,3.4,0,-2.8,4.2,-2.8
"63","PER",2.5,4,2.2,-12,7,-14.2
"64","LCA",2.2,1.4,1.4,-8.8,8.3,-10.2
"65","VCT",1,2,0.4,-5.5,4,-5.9
"66","SUR",1.8,2.6,2.3,-5,3,-7.3
"67","URY",2.6,1.6,0.2,-3.7,4.6,-3.9
"68","DZA",1.3,1.4,0.8,-6.4,1.9,-7.2
"69","BHR",4.3,1.8,1.8,-4.5,2.3,-6.3
"70","DJI",5.4,8.4,7.5,1.3,9.2,-6.2
"71","EGY",4.2,5.3,5.6,3,2.1,-2.6
"72","IRN",3.8,-4.7,-8.2,-5.3,2.1,2.9
"73","IRQ",-2.5,-0.6,4.4,-9.7,1.9,-14.1
"74","JOR",2.1,1.9,2,-3.5,2,-5.5
"75","KWT",-4.7,1.2,0.4,-5.4,1.1,-5.8
"76","LBN",0.9,-1.9,-5.6,-10.9,-6.3,-5.3
"77","MAR",4.2,3,2.3,-4,3.4,-6.3
"78","OMN",0.3,1.8,0.5,-4,2,-4.5
"79","QAT",1.6,1.5,-0.3,-3.5,3.6,-3.2
"80","SAU",-0.7,2.4,0.3,-3.8,2.5,-4.1
"81","TUN",1.9,2.7,1,-4,4.2,-5
"82","ARE",0.5,1.7,1.7,-4.5,1.4,-6.2
"83","PSE",1.4,1.2,0.9,-7.6,5.1,-8.5
"84","AFG",2.7,1.8,2.9,-5.5,1,-8.4
"85","BGD",7.3,7.9,8.2,1.6,1,-6.6
"86","BTN",6.3,3.8,3.9,1.5,1.8,-2.4
"87","IND",7,6.1,4.2,-3.2,3.1,-7.4
"88","MDV",6.8,6.9,5.2,-13,8.5,-18.2
"89","NPL",8.2,6.7,7,1.8,2.1,-5.2
"90","PAK",5.2,5.5,1.9,-2.6,-0.2,-4.5
"91","LKA",3.6,3.3,2.3,-3.2,0,-5.5
"92","AGO",-0.1,-2,-0.9,-4,3.1,-3.1
"93","BEN",5.8,6.7,6.9,3.2,6,-3.7
"94","BWA",2.9,4.5,3.5,-9.1,4.2,-12.6
"95","BFA",6.3,6.8,5.7,2,5.8,-3.7
"96","BDI",0.5,1.6,1.8,1,2.3,-0.8
"97","CPV",3.7,5.1,5.5,-5.5,5,-11
"98","CMR",3.5,4.1,3.9,-0.2,3.4,-4.1
"99","CAF",4.5,3.7,3.1,0.8,3.5,-2.3
"100","TCD",-3,2.6,3.2,-0.2,4.7,-3.4
"101","COM",3.8,3.4,1.9,-1.4,3.2,-3.3
