Country Name,ISO3,Spillover risks from the external environment outside the region,Macroeconomic risks,Banking risks,Public sector risks,Corporate sector risks,Household risks,Market and liquidity risks,Monetary and financial conditions,Risk appetite
China,CHN,Low,Low,High,High,Medium,Low,Low,Low,Low
Indonesia,IDN,Low,Low,Low,High,Medium,Low,Low,Medium,Low
Malaysia,MYS,Low,Low,Low,High,Medium,Medium,Low,Medium,Low
Philippines,PHL,Low,Medium,Low,High,Medium,High,Low,Medium,Low
Thailand,THA,Low,Low,Low,Low,High,Low,Low,Low,Low
Viet Nam,VNM,Medium,Low,Low,Low,High,Low,Low,Medium,Low
Azerbaijan,AZE,Low,Low,Medium,Low,High,Low,Medium,Medium,Low
Belarus,BLR,Low,Low,Low,Low,Low,Low,Low,Low,High
Bulgaria,BGR,Low,Low,Low,Low,Low,Low,Low,Low,Low
Croatia,HRV,Low,Low,Medium,High,Medium,High,Low,Low,Low
Georgia,GEO,Low,Low,High,High,Medium,High,High,Low,Low
Hungary,HUN,Low,Low,Low,High,Low,Low,Low,Low,Low
Kazakhstan,KAZ,Low,Low,Low,Low,Low,Low,Low,Low,Low
Poland,POL,Low,Low,Low,Low,Low,Low,Low,Low,Low
Romania,ROU,Low,Low,Low,Low,Low,Low,Low,Low,Low
Russia,,Low,Low,Low,Low,Low,Low,Low,Low,Low
Serbia,SRB,Low,Low,Low,High,High,High,Low,Low,Low
Turkey,TUR,Low,High,Low,Low,Medium,Low,Low,Low,High
Ukraine,UKR,Low,Medium,Low,High,Medium,Low,Low,Medium,Medium
Argentina,ARG,Medium,High,Low,High,Low,Low,Low,Low,High
Brazil,BRA,Low,Medium,Medium,High,Low,High,Low,Low,Medium
Chile,CHL,Low,Low,High,High,High,High,High,Low,Low
Colombia,COL,Low,Medium,Low,High,Low,High,Medium,Low,Low
Costa Rica,CRI,Medium,High,Medium,High,Low,High,Low,Low,Low
Ecuador,ECU,Low,Medium,Low,High,Low,Low,Low,High,Medium
Mexico,MEX,Low,Low,Low,Low,High,Low,Low,Low,Medium
Peru,PER,Low,Low,Medium,Low,Medium,Low,Medium,Low,Low
Uruguay,URY,Low,Low,Low,High,Medium,Low,Low,Low,Low
Egypt,EGY,Low,High,Low,High,Medium,Low,Low,Low,Medium
Jordan,JOR,Low,Medium,Medium,High,High,High,Low,Medium,Low
Morocco,MAR,Low,Low,High,High,Low,High,Low,Low,Low
Saudi Arabia,SAU,Low,Low,Low,Medium,High,Medium,Low,Medium,Low
Tunisia,TUN,Medium,High,High,High,Medium,High,High,Low,Medium
Qatar,QAT,Low,Low,Medium,Low,Low,High,High,Low,Low
India,IND,Low,Low,High,High,Low,Low,Low,Low,Low
Pakistan,PAK,Low,Medium,Low,High,Low,Low,Low,Low,Medium
Sri Lanka,LKA,Low,Medium,Medium,High,Medium,Low,Low,Low,High
Bangladesh,BGD,Low,Low,Medium,Low,High,Low,Low,Low,Low
Angola,AGO,Low,Medium,Low,High,Low,Low,Low,Low,High
Ghana,GHA,Low,Medium,Low,High,Low,Low,Low,Medium,Low
Kenya,KEN,Low,Medium,Low,High,Low,Low,Low,High,Low
Nigeria,NGA,Low,High,Low,Low,Low,Low,Low,Low,High
South Africa,ZAF,Low,High,High,High,Low,High,Low,Medium,Medium
Uganda,UGA,Low,Medium,Low,Medium,Low,Low,Low,Low,Medium
