"","NH_UKMO_Country","NH_UKMO_TOTAL.RISK.NEXT.12.MONTHS","NH_UKMO_TOTAL.RISK.NEXT.6.MONTHS","NH_UKMO_Temperature","NH_UKMO_Rainfall","NH_UKMO_Tropical.Cyclone","NH_UKMO_Temperature..1.Warmer..5.Near.normal.","NH_UKMO_Rainfall..2.Wetter..3.Drier..5.Near.normal.","NH_UKMO_Tropical.Cyclone..5.TC.forecast.","NH_UKMO_INFORM_RISK_Flood","NH_UKMO_INFORM_RISK_Tropical.Cyclone.1","NH_UKMO_INFORM_RISK_Drought","NH_UKMO_INFORM_RISK_Locust..based.on.FAO.forecasts.","NH_INFORM_RISK_UKMO_Vuln","NH_UKMO_INFORM_OCCURENCExRISK12m_Flood","NH_UKMO_INFORM_OCCURENCExRISK12m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK12m_Drought","NH_UKMO_INFORM_OCCURENCExRISK12m_Locust","NH_UKMO_X","NH_UKMO_INFORM_OCCURENCExRISK6m_Flood","NH_UKMO_INFORM_OCCURENCExRISK6m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK6m_Drought","NH_UKMO_INFORM_OCCURENCExRISK6m_Locust","NH_UKMO_INFORM_OCCURENCExRISK6mplusCLIMATE_Flood","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Tropical.Cyclone","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Drought","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Locust"
"1","AUS",15,0,NA,NA,NA,NA,NA,NA,5.3,4.8,6.8,0,2.2,11.66,10.56,14.96,0,"x",0,0,0,0,0,0,0,0
"2","NZL",3.4,0,NA,NA,NA,NA,NA,NA,3.8,2.9,1.5,0,0.9,3.42,2.61,1.35,0,"x",0,0,0,0,0,0,0,0
"3","KAZ",4.2,0,NA,NA,NA,NA,NA,NA,6,0,5,0,0.7,4.2,0,3.5,0,"x",0,0,0,0,0,0,0,0
"4","KGZ",17.4,26.1,"Hot","Wet",NA,1,2,NA,5.6,0,6.7,0,2.6,14.56,0,17.42,0,"0",0,0,17.42,0,0,0,26.13,0
"5","TJK",26.6,39.9,"Hot","Wet",NA,1,2,NA,5.4,0,7.6,0,3.5,18.9,0,26.6,0,"0",18.9,0,26.6,0,28.35,0,39.9,0
"6","TKM",7,0,NA,NA,NA,NA,NA,NA,6.4,0,4.6,0,1.1,7.04,0,5.06,0,"x",0,0,0,0,0,0,0,0
"7","UZB",13.9,0,NA,NA,NA,NA,NA,NA,6.3,0,6.6,0,2.1,13.23,0,13.86,0,"x",0,0,0,0,0,0,0,0
"8","CHN",25.2,0,"Hot","Wet",NA,1,2,NA,8.4,8.1,4.6,0,3,25.2,24.3,13.8,0,"x",0,0,0,0,0,0,0,0
"9","JPN",15,0,NA,NA,NA,NA,NA,NA,3.9,10,0.5,0,1.5,5.85,15,0.75,0,"x",0,0,0,0,0,0,0,0
"10","PRK",40.7,40.7,NA,NA,NA,NA,NA,NA,7.4,6.5,3.3,0,5.5,40.7,35.75,18.15,0,"0",40.7,35.75,0,0,40.7,35.75,0,0
