"","Country","S_% of respondents who have stopped working since COVID-19 outbreak","S_% able to access [staple food item] in the past 7 days when needed? - any staple food","S_% of HHs used money saved for emergencies to cover basic living expenses","S_% of respondents received government assistance when experiencing labor income/job loss","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)","S_% of respondents who have stopped working since COVID-19 outbreak_norm","S_% able to access [staple food item] in the past 7 days when needed? - any staple food_norm","S_% of HHs used money saved for emergencies to cover basic living expenses_norm","S_% of respondents received government assistance when experiencing labor income/job loss_norm","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)_norm","S_phone_average_index","S_phone_average_index_norm"
"1","AFG",NA,98.2174911499023,NA,NA,NA,NA,0.891254425048828,NA,NA,NA,0.891254425048828,1.27322060721261
"2","BGD",NA,95.6286849975586,NA,NA,NA,NA,2.1856575012207,NA,NA,NA,2.1856575012207,3.12236785888672
"3","BTN",NA,99.5405044555664,NA,NA,NA,NA,0.229747772216797,NA,NA,NA,0.229747772216797,0.328211103166852
"4","DJI",NA,97.6233520507812,NA,NA,NA,NA,1.18832397460938,NA,NA,NA,1.18832397460938,1.69760567801339
"5","GEO",34.9505386352539,NA,11.3794708251953,89.130241394043,NA,6.99010772705078,NA,4.55178833007812,0,NA,3.84729868570964,5.49614097958519
"6","HRV",21.8335189819336,79.0160980224609,NA,3.80311989784241,NA,4.36670379638672,10,NA,10,NA,8.12223459879557,10
"7","ARM",15.1663198471069,NA,49.680103302002,42.6730003356934,NA,3.03326396942139,NA,10,4.97693328857422,NA,6.00339908599854,8.57628440856934
"8","BFA",NA,95.1173706054688,NA,NA,14.0334815979004,NA,2.44131469726562,NA,NA,2.80669631958008,2.62400550842285,3.74857929774693
"9","BGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BOL",NA,97.8341369628906,16.7824401855469,NA,21.7004718780518,NA,1.08293151855469,6.71297607421875,NA,4.34009437561035,4.04533398946126,5.77904855637323
"11","CAF",NA,100,20.5749206542969,NA,NA,NA,0,8.22996826171875,NA,NA,4.11498413085937,5.87854875837054
"12","CHL",NA,97.8209838867188,4.07339429855347,NA,6.80513620376587,NA,1.08950805664062,1.62935771942139,NA,1.36102724075317,1.3599643389384,1.94280619848342
"13","COD",NA,NA,50.5089225769043,NA,NA,NA,NA,10,NA,NA,10,10
"14","COG",NA,NA,0.0305763669312,NA,75.9702224731445,NA,NA,0.0122305467724804,NA,10,5.00611527338624,7.15159324769463
"15","COL",NA,94.3451538085938,11.1337032318115,NA,32.2413635253906,NA,2.82742309570312,4.45348129272461,NA,6.44827270507812,4.57639236450195,6.53770337785993
"16","CRI",NA,95.0122604370117,6.43359851837158,NA,14.4421520233154,NA,2.49386978149414,2.57343940734863,NA,2.88843040466309,2.65191319783529,3.78844742547898
"17","DOM",NA,93.1447906494141,6.33516454696655,NA,34.8234100341797,NA,3.42760467529297,2.53406581878662,NA,6.96468200683594,4.30878416697184,6.15540595281692
"18","ECU",NA,94.6324844360352,7.52112579345703,NA,28.5152015686035,NA,2.68375778198242,3.00845031738281,NA,5.7030403137207,3.79841613769531,5.42630876813616
"19","ETH",NA,85.684440612793,6.00213384628296,NA,30.5342636108398,NA,7.15777969360352,2.40085353851318,NA,6.10685272216797,5.22182865142822,7.45975521632603
"20","GAB",NA,NA,NA,45.8112335205078,67.6579971313477,NA,NA,NA,4.55850219726562,10,7.27925109863281,10
"21","GHA",28.8593139648438,95.3272705078125,47.2842979431152,2.12445402145386,38.9936027526855,5.77186279296875,2.33636474609375,10,10,7.79872055053711,7.18138961791992,10
"22","GTM",NA,98.4484939575195,5.53437376022339,NA,18.7937164306641,NA,0.775753021240234,2.21374950408936,NA,3.75874328613281,2.24941527048747,3.21345038641067
"23","HND",NA,94.5481414794922,5.47500467300415,NA,31.3378849029541,NA,2.72592926025391,2.19000186920166,NA,6.26757698059082,3.72783603668213,5.32548005240304
"24","IDN",NA,NA,31.5567016601562,NA,NA,NA,NA,10,NA,NA,10,10
"25","IRQ",NA,100,NA,NA,NA,NA,0,NA,NA,NA,0,0
"26","KEN",NA,79.8505401611328,21.7962532043457,NA,NA,NA,10,8.71850128173828,NA,NA,9.35925064086914,10
"27","KHM",NA,100,3.44658160209656,NA,12.353536605835,NA,0,1.37863264083862,NA,2.47070732116699,1.28311332066854,1.83301902952648
"28","LAO",12.7764568328857,NA,18.7157325744629,NA,NA,2.55529136657715,NA,7.48629302978516,NA,NA,5.02079219818115,7.17256028311593
"29","LCA",NA,NA,NA,NA,24.0551242828369,NA,NA,NA,NA,4.81102485656738,4.81102485656738,6.87289265223912
"30","MDG",7.82862520217896,91.0910034179688,NA,3.38188338279724,23.470085144043,1.56572504043579,4.45449829101562,NA,10,4.69401702880859,5.178560090065,7.39794298580715
"31","MLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
