Country,H_Oxrollback_score
AFG,32.3
ALB,52.9
DZA,23.6
AND,30.5
AGO,25.2
ATG,29
ARG,58.6
ARM,50.2
AUS,75.5
AUT,58.5
,
AZE,34.2
BHS,30.6
BHR,39.4
BGD,35
BRB,31.9
BLR,35.3
BEL,61
BLZ,31.8
BEN,28.8
BTN,40.3
BOL,35.8
BIH,42.8
BWA,31.1
BRA,59.7
BRN,32.6
BGR,45.6
BFA,30.1
BDI,22.8
CPV,29.3
KHM,39.2
CMR,34.4
CAN,75.3
CAF,27.3
TCD,28.8
CHL,58.3
CHN,48.2
COL,44.2
COM,27.2
COG,23.6
COD,26.5
COK,20.4
CRI,45.1
CIV,35.5
HRV,53.3
CUB,35.2
CYP,43
CZE,52
DNK,70.4
DJI,23.2
DMA,24
DOM,38.3
ECU,50.1
EGY,39.9
SLV,44.2
GNQ,16.2
ERI,22.4
EST,57
SWZ,31.1
ETH,40.6
FJI,25.7
FIN,68.7
FRA,68.2
GAB,20
GMB,34.2
GEO,52
DEU,66
GHA,35.5
GRC,53.8
GRD,27.5
GTM,32.7
GIN,32.7
GNB,20
GUY,31.7
HTI,31.5
HND,27.6
HUN,54
ISL,46.3
IND,46.5
IDN,56.6
IRN,37.7
IRQ,25.8
IRL,59
ISR,47.3
ITA,56.2
JAM,29
JPN,59.8
JOR,42.1
KAZ,40.7
KEN,47.1
KIR,19.2
KWT,46.1
KGZ,49.3
LAO,43.1
LVA,62.9
LBN,43.1
LSO,30.2
LBR,35.1
LBY,25.7
LIE,43.5
LTU,55
LUX,43.8
MDG,40.1
MWI,28
MYS,62.2
MDV,33.8
MLI,29
MLT,37.3
MHL,18.2
MRT,27.5
MUS,34.9
MEX,57.6
FSM,32.8
MDA,42.9
MCO,32.7
MNG,49.5
MNE,43.7
MAR,43.7
MOZ,28.1
MMR,43.4
NAM,35.6
NRU,20.8
NPL,35.1
NLD,75.6
NZL,54
NIC,43.1
NER,32.2
NGA,37.8
NIU,20.5
KOR,17.5
MKD,39.1
NOR,64.6
OMN,43.1
PAK,35.5
PLW,21.9
PAN,43.7
PNG,27.8
PRY,35.7
PER,49.2
PHL,47.6
POL,55.4
PRT,60.3
QAT,41.2
ROU,45.8
RUS,44.3
RWA,34.2
WSM,26.4
SMR,31.1
STP,17.7
SAU,49.3
SEN,37.9
SRB,52.3
SYC,31.9
SLE,38.2
SGP,58.7
SVK,47.9
SVN,67.2
SLB,20.7
SOM,16.6
ZAF,54.8
PRK,70.2
SSD,21.7
ESP,65.9
LKA,33.9
KNA,26.2
LCA,35.3
VCT,33
SDN,26.2
SUR,36.5
SWE,72.1
CHE,67
SYR,19.9
TJK,32.3
TZA,36.4
THA,73.2
TLS,26
TGO,32.5
TON,25.1
TTO,36.6
TUN,33.7
TUR,52.4
TKM,31.8
TUV,21.6
UGA,44.3
UKR,38
ARE,46.7
GBR,77.9
USA,83.5
URY,41.3
UZB,34.3
VUT,26.1
VEN,23
VNM,49.1
YEM,18.5
ZMB,28.7
ZWE,38.2
