"","Country","H_OXrollback_cases_controlled","H_OXrollback_cases_test_and_trace","H_OXrollback_cases_high_vulnerability","H_OXrollback_cases_workplace_prevention","H_OXrollback_cases_manage_imported_cases","H_OXrollback_cases_community_understanding","H_OXrollback_score"
"1","Dominica",1,0.8,NA,NA,1,NA,0.9
"2","Fiji",1,1,NA,NA,1,0.7,0.9
"3","New Zealand",1,0.9,NA,NA,1,0.7,0.9
"4","Bhutan",1,0.7,NA,NA,1,NA,0.9
"5","Brunei",1,0.6,NA,NA,1,NA,0.9
"6","Sierra Leone",0.8,0.7,NA,NA,1,NA,0.8
"7","Trinidad and Tobago",0.9,0.7,NA,NA,1,0.7,0.8
"8","Thailand",0.9,0.9,NA,NA,0.8,0.7,0.8
"9","Macao",1,0.5,NA,NA,0.8,1,0.8
"10","Sri Lanka",0.9,0.7,NA,NA,1,0.6,0.8
"11","Guyana",0.8,0.6,NA,NA,1,NA,0.8
"12","Belize",1,0.5,NA,NA,1,0.7,0.8
"13","Myanmar",1,0.8,NA,NA,0.8,0.7,0.8
"14","Mauritius",1,0.5,NA,NA,1,0.7,0.8
"15","Jordan",0.8,0.7,NA,NA,1,0.7,0.8
"16","Mali",0.9,0.6,NA,NA,1,0.6,0.8
"17","Mongolia",1,0.4,NA,NA,1,0.7,0.8
"18","Cyprus",0.8,0.8,NA,NA,0.8,NA,0.8
"19","Taiwan",NA,0.8,NA,NA,0.8,NA,0.8
"20","Malaysia",0.7,0.9,NA,NA,0.8,0.6,0.7
"21","Vanuatu",NA,0.5,NA,NA,1,NA,0.7
"22","Togo",0.7,0.7,NA,NA,1,0.6,0.7
"23","Latvia",0.9,0.9,NA,NA,0.5,0.6,0.7
"24","Timor-Leste",1,0.7,NA,NA,0.5,NA,0.7
"25","Greenland",1,0.7,NA,NA,0.5,NA,0.7
"26","Eritrea",1,0.5,NA,NA,0.8,NA,0.7
"27","Cape Verde",0.4,0.8,NA,NA,1,0.8,0.7
"28","Seychelles",1,0.4,NA,NA,0.8,NA,0.7
"29","Finland",0.8,0.6,NA,NA,0.8,0.7,0.7
"30","Chad",0.9,0.2,NA,NA,1,NA,0.7
"31","Tunisia",0.7,0.7,NA,NA,0.8,NA,0.7
"32","Niger",1,0.2,NA,NA,1,0.6,0.7
"33","Aruba",1,0.3,NA,NA,0.8,0.7,0.7
"34","South Sudan",0.7,0.3,NA,NA,1,NA,0.7
