"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"1","Libya","LBY",1.46990335913967,3.70158450704228,NA,7.86175562704891,NA,6.85048459907861,5.57142857142857,2.25,8.21138659515282,2,3,6.98276720671919,8.28463110470094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,1,7.79812219135522,NA,6.08387766581371,5.3851648071345,0,8.01422060484089,2,3,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,1,2,6.86351125409783,NA,7,3.70158450704228,0,6.42277319030563,0,0.5,4.87590378632329,181.593666239752,NA,173.205080756888,NA,NA,NA,0,0.4
"2","Sudan","SDN",1.47980712320205,3.26144366197185,NA,7.82520462044896,10,6.63072183098592,9.21428571428572,5.16666666666667,10,4,5,7.5570530376245,7.8424544888051,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.64387910609072,10,5.71090506134698,9.18072515031979,5.16397779494322,10,4,5,9.5,10,10,8.42857142857143,5.33333333333333,10,3,4,6.15040924089792,10,10,3.26144366197185,5,10,3,3,5.71090506134697,152.565729762921,NA,173.205080756888,NA,15.7134840263677,60.2409638554217,0,0.2
"3","Afghanistan","AFG",1.89660095435654,6.6505281690141,NA,8.71769230769231,10,6.76514840643666,8.5,8.25,10,5,5.5,9.03054652273082,7.780423744909,0,10,0,0,0,10,2,2,10,10,0,10,10,10,5,5,10,10,0,10,10,10,5,5,8.62286762938213,10,6.76417734556728,8.36660026534076,8.15475321515004,10,5,5.5,10,10,6.87976864385922,10,9.5,10,4,4.5,7.43538461538462,10,7,6.6505281690141,7,10,2,3.5,8.15507704992056,102.024214024624,NA,106.784046445509,173.205080756888,0,NA,0,0.1
"4","Mozambique","MOZ",0.597728769086667,4.8899647887324,NA,7.32196748977512,10,5.90640252727292,8.5,4,10,4,4.5,8.36231326737079,6.81464230869842,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,0,10,0,10,0,10,3,3,6.81464230869842,10,5.81828541220234,8.36660026534076,0,10,3,4,10,10,6.92284026581344,10,8,10,4,4.5,4.64393497955025,10,7,4.8899647887324,0,10,2,2.5,6.99282831816455,239.945156109362,NA,90.6178702688528,NA,34.6410161513775,NA,0,0.1
"5","Niger","NER",0.685373860613855,4.18573943661971,NA,8.46923076923077,10,4.45288694695864,8.5,6.41666666666667,10,4,4.5,8.0434626124664,2.56807522463606,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,5,10,0,10,5,10,3,4,8.32974281623481,10,4.44486606886128,8.36660026534076,6.39009650422694,10,4,4.5,10,10,4.72003445729757,10,5.83333333333333,10,4,4,6.93846153846154,10,7,4.18573943661971,7,10,2,3,6.46972907981448,240.312246596425,NA,86.6025403784439,141.42135623731,24.9567099242311,NA,0,0.2
"6","Algeria","DZA",0.855977462899562,8.63116197183098,NA,7.34905125154983,1.98325358851675,7.9554406954897,6.31904761904762,3.08333333333333,0,2,2.5,1.71402564962216,7.36077611607612,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,5,0,10,0,0,0,1,1.5,7.09083854200368,1.72235512512185,7.92669145458263,5.69042637953892,0,0,2,2.5,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,0,1,5.41810250309967,1,9.06666666666667,8.63116197183098,0,0,0,1,2.93788392756266,205.736236720501,NA,NA,NA,NA,NA,0,0.2
"7","Ethiopia","ETH",0.969932709723353,6.43045774647888,NA,7.81768052708409,10,8.05801745310653,8.52061367034912,6.33333333333333,5,4,5,2.8317862731821,7.67161068757284,0,10,0,0,0,0,1,1,0,10,0,10,0,0,2,2,5,10,0,10,5,0,2,3,7.57510859843869,10,7.8919385879473,8.51396531739331,6.29814787589706,0,4,4.5,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,0,1,2.5,5.88536105416818,10,8.18408448355538,6.43045774647888,7,10,2,3,8.01901349698258,229.931872867109,NA,89.2027384479194,NA,34.6410161513775,NA,0,0
"8","Iraq","IRQ",1.70071541084532,8.85123239436621,NA,7.3053064051912,3.45454545454546,8.89614290158872,2.85714285714285,3.83333333333333,10,3,3,9.69953547780891,7.59645496951204,0,0,0,0,0,10,1,1,0,0,10,0,0,10,2,2,5,0,10,0,0,10,2,2.5,7.14228375547909,2.43086217402199,8.89602953973448,0,0,10,3,3,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,1,2.5,5.77061281038241,1,0,8.85123239436621,0,10,1,1.5,9.40809884852738,132.976846081837,NA,173.205080756888,NA,NA,NA,0,0.3
"9","South Sudan","SSD",0.146269635710381,NA,NA,8.35140793255738,10,NA,10,5,10,4,4.5,10,8.18707265456631,0,10,0,10,0,10,3,3,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,8.18707265456631,10,NA,10,5,10,4,4.5,10,10,NA,10,5,10,4,4,6.70281586511475,10,10,NA,5,10,3,3,10,244.088741782886,NA,99.8848197210273,NA,15.7134840263677,NA,0,0.2
"10","Central African Republic","CAF",0.77278261169825,9.68750000000001,NA,9.19076923076923,10,7.8344588358356,9.34046863374256,1.75,9.2382791886899,5,5,9.51936147016158,5.41172292274152,0,10,0,0,0,0,1,1,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,9.15507425504483,10,7.61216025148674,9.31715475211458,0,9.20682267526632,5,5,10,10,5.98141767167118,10,3.5,10,4,4,8.38153846153846,10,8.68093726748512,9.68750000000001,0,8.4765583773798,1,3,9.06182427995969,231.070235545614,NA,41.6312132378198,NA,NA,NA,0,0.3
