"","Country","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_CONFLICT","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_CONFLICT","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM"
"1","AFG",5.9,10,10,10,10,6.45833333333333,10,8.75420875420875,0,0,2.27810650887574,9.90483743061063,10,8.88888888888889,5,1,6,2
"2","AGO",8.26666666666667,9.83253588516746,3.80007933359778,0.469043151969981,NA,6.45833333333333,3.53545460609699,7.07070707070707,4.33408577878104,10,4.46745562130177,1.49881046788263,3.53545460609699,4.15103023321791,0,1,0,1
"3","ALB",0,3.39712918660287,2.28480761602539,5.38461538461539,NA,6.45833333333333,0,6.06060606060606,2.01539538138558,0,NA,8.00158604282316,0,1.48148148148148,0,0,0.5,0.5
"4","AND",6.5,NA,NA,9.83114446529081,NA,NA,NA,NA,10,NA,NA,NA,NA,0,0,0,0,0
"5","ARE",1.1,1.07655502392344,2.4910749702499,6.82926829268293,NA,3.125,0,8.47517730496454,0.675605982465189,NA,NA,6.41554321966693,0,8.51851851851852,0,0,0.5,0.5
"6","ARG",0,2.27272727272727,3.61761205870686,2.19512195121951,NA,1.04166666666667,0,7.4113475177305,8.82413615265601,0.202247191011235,NA,4.67089611419508,0,1.51025112088278,0,0,0,0
"7","ARM",0,2.70334928229665,6.03728679095597,7.5234521575985,NA,2.70833333333333,1.53425388566473,7.40740740740741,0,0,NA,10,1.53425388566473,10,0,2,0,2
"8","ATG",7,NA,NA,2.13883677298311,NA,6.45833333333333,3.3620172103262,6.52482269503546,0,10,NA,10,3.3620172103262,9.62962962962963,0,2,0.5,2.5
"9","AUS",0,0.885167464114833,0,3.15196998123827,NA,0,0,10,7.90697674418605,NA,NA,9.41025641025641,0,1.76847081536106,1,0,1.5,0.5
"10","AUT",0,0,0,1.80112570356473,NA,1.45833333333333,0,10,1.86178442496132,NA,NA,9.53846153846154,0,4.07407407407407,1,0,1.5,0.5
"11","AZE",5.26666666666667,4.23444976076555,7.07655692185641,2.4390243902439,NA,7.29166666666667,2.89507037555867,6.73400673400673,0,0,NA,4.28205128205128,2.89507037555867,8.14814814814815,0,0,0.5,0.5
"12","BDI",9.06666666666667,9.92822966507177,7.83022610075367,1.95121951219512,NA,10,4.37595890867854,7.07070707070707,0,0,2.27810650887574,7.87179487179487,4.37595890867854,9.89269742644735,1,0,2,1
"13","BEL",0,0,0,1.87617260787992,NA,3.54166666666667,0,10,10,NA,NA,9.15384615384616,0,7.03703703703704,1,0,2,1
"14","BEN",7.06666666666667,8.61244019138756,3.59381197937326,7.5046904315197,7,5.20833333333333,3.26862784337269,6.22895622895623,1.80623973727422,0,1.86390532544379,2.45043616177637,3.26862784337269,5.18518518518519,0,0,0,0
