"","X1","Countryname","Country","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps"
"1",3,"Afghanistan","AFG",NA,NA,NA,NA,NA,6.7,9.5,7,0,0
"2",69,"Angola","AGO",NA,NA,NA,NA,NA,3.1,3.5,0,0,0
"3",44,"Albania","ALB",NA,NA,NA,NA,NA,6.4,9,0,0,0
"4",92,"United Arab Emirates","ARE",NA,NA,NA,NA,NA,4.2,5.33333333333333,0,0,0
"5",46,"Argentina","ARG",NA,NA,NA,NA,NA,4,5,0,0,0
"6",27,"Armenia","ARM",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"7",45,"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,3.7,4.5,0,0,0
"8",132,"Australia","AUS",NA,NA,NA,NA,NA,4.8,6.33333333333333,0,0,0
"9",133,"Austria","AUT",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"10",93,"Azerbaijan","AZE",NA,NA,NA,NA,NA,4.9,6.5,7,0,0
"11",97,"Burundi","BDI",NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0
"12",134,"Belgium","BEL",NA,NA,NA,NA,NA,1.8,1.33333333333333,0,0,0
"13",166,"Benin","BEN",NA,NA,NA,NA,NA,2.9,3.16666666666667,0,0,0
"14",49,"Burkina Faso","BFA",NA,NA,NA,NA,NA,3.7,4.5,0,0,0
"15",95,"Bangladesh","BGD",NA,NA,NA,NA,NA,8.2,10,0,0,0
"16",75,"Bulgaria","BGR",NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0
"17",94,"Bahrain","BHR",NA,NA,NA,NA,NA,0.9,0,0,0,0
"18",70,"Bahamas","BHS",NA,NA,NA,NA,NA,3.4,4,10,0,0
"19",72,"Bosnia and Herzegovina","BIH",NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0
"20",18,"Belarus","BLR",NA,NA,NA,NA,NA,2.2,2,0,0,0
"21",71,"Belize","BLZ",NA,NA,NA,NA,NA,5.5,7.5,0,0,0
"22",48,"Bolivia","BOL",NA,NA,NA,NA,NA,4.7,6.16666666666667,0,0,0
"23",19,"Brazil","BRA","2019","past","green","drought",0,4,5,7,0,0
"24",47,"Barbados","BRB",NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0
"25",74,"Brunei Darussalam","BRN",NA,NA,NA,NA,NA,2.8,3,10,0,0
"26",96,"Bhutan","BTN",NA,NA,NA,NA,NA,3.5,4.16666666666667,0,0,0
"27",73,"Botswana","BWA",NA,NA,NA,NA,NA,2.7,2.83333333333333,0,0,0
"28",10,"Central African Republic","CAF",NA,NA,NA,NA,NA,3.1,3.5,0,0,0
"29",167,"Canada","CAN",NA,NA,NA,NA,NA,4.4,5.66666666666667,0,0,0
"30",161,"Switzerland","CHE",NA,NA,NA,NA,NA,2.3,2.16666666666667,0,0,0
"31",135,"Chile","CHL",NA,NA,NA,NA,NA,6.2,8.66666666666667,0,0,0
"32",99,"China","CHN",NA,NA,NA,NA,NA,7.5,10,0,0,0
"33",169,"Côte d'Ivoire","CIV",NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0
"34",28,"Cameroon","CMR",NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0
"35",30,"Congo DR","COD",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"36",101,"Congo","COG",NA,NA,NA,NA,NA,3.9,4.83333333333333,0,0,0
"37",29,"Colombia","COL","2021-04-06","past","green","flood",0,6.7,9.5,7,0,0
"38",100,"Comoros","COM",NA,NA,NA,NA,NA,2.7,2.83333333333333,0,0,0
"39",20,"Cabo Verde","CPV",NA,NA,NA,NA,NA,1.5,0.833333333333334,0,0,0
"40",168,"Costa Rica","CRI",NA,NA,NA,NA,NA,6,8.33333333333333,0,0,0
"41",136,"Cuba","CUB",NA,NA,NA,NA,NA,5.6,7.66666666666667,10,0,0
"42",76,"Cyprus","CYP",NA,NA,NA,NA,NA,4.3,5.5,0,0,0
"43",137,"Czech Republic","CZE",NA,NA,NA,NA,NA,1.7,1.16666666666667,0,0,0
"44",105,"Germany","DEU",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"45",77,"Djibouti","DJI",NA,NA,NA,NA,NA,5.4,7.33333333333333,0,5,0
"46",50,"Dominica","DMA",NA,NA,NA,NA,NA,4.9,6.5,0,0,0
"47",170,"Denmark","DNK",NA,NA,NA,NA,NA,1.3,0.5,0,0,0
"48",138,"Dominican Republic","DOM",NA,NA,NA,NA,NA,6.7,9.5,0,0,0
"49",6,"Algeria","DZA","2021","active","green","drought",0,4.7,6.16666666666667,0,0,0
"50",78,"Ecuador","ECU","2021-03-12","past","green","volcano",0,6.9,9.83333333333333,0,0,0
"51",51,"Egypt","EGY",NA,NA,NA,NA,NA,4.9,6.5,0,0,0
"52",53,"Eritrea","ERI",NA,NA,NA,NA,NA,3.7,4.5,0,5,0
"53",61,"Spain","ESP",NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0
"54",139,"Estonia","EST",NA,NA,NA,NA,NA,0.9,0,0,0,0
"55",7,"Ethiopia","ETH",NA,NA,NA,NA,NA,4.4,5.66666666666667,0,7,0
"56",172,"Finland","FIN",NA,NA,NA,NA,NA,0.6,0,0,0,0
"57",80,"Fiji","FJI",NA,NA,NA,NA,NA,3.9,4.83333333333333,10,0,0
"58",102,"France","FRA",NA,NA,NA,NA,NA,3.4,4,0,0,0
"59",113,"Micronesia","FSM",NA,NA,NA,NA,NA,4.2,5.33333333333333,10,0,0
"60",103,"Gabon","GAB",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"61",189,"United Kingdom","GBR",NA,NA,NA,NA,NA,2.4,2.33333333333333,0,0,0
"62",54,"Georgia","GEO",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"63",173,"Ghana","GHA",NA,NA,NA,NA,NA,3.7,4.5,0,0,0
"64",32,"Guinea","GIN",NA,NA,NA,NA,NA,3.9,4.83333333333333,0,0,0
"65",104,"Gambia","GMB",NA,NA,NA,NA,NA,3.1,3.5,0,0,0
"66",174,"Guinea-Bissau","GNB",NA,NA,NA,NA,NA,2.7,2.83333333333333,0,0,0
"67",79,"Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,2.9,3.16666666666667,0,0,0
"68",81,"Greece","GRC",NA,NA,NA,NA,NA,5.9,8.16666666666667,0,0,0
"69",31,"Grenada","GRD",NA,NA,NA,NA,NA,1.7,1.16666666666667,10,0,0
"70",55,"Guatemala","GTM","2021-04-01","past","green","volcano",0,6.7,9.5,0,0,0
"71",82,"Guyana","GUY",NA,NA,NA,NA,NA,3.8,4.66666666666667,10,0,0
"72",22,"Honduras","HND",NA,NA,NA,NA,NA,6.5,9.16666666666667,0,0,0
"73",12,"Croatia","HRV",NA,NA,NA,NA,NA,4.8,6.33333333333333,0,0,0
"74",21,"Haiti","HTI","2021-04-06","past","green","flood",0,7,10,0,0,0
"75",83,"Hungary","HUN",NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0
"76",175,"Indonesia","IDN","2021-04-14","active","green","earthquake",0,7.7,10,0,0,0
"77",141,"India","IND","2021-03-27","past","green","flood",0,7.8,10,0,0,0
"78",142,"Ireland","IRL",NA,NA,NA,NA,NA,2.2,2,0,0,0
"79",33,"Iran","IRN",NA,NA,NA,NA,NA,6.8,9.66666666666667,0,5,0
"80",8,"Iraq","IRQ",NA,NA,NA,NA,NA,5.6,7.66666666666667,0,0,0
"81",140,"Iceland","ISL","2021-03-20","past","green","volcano",0,2.2,2,0,0,0
"82",143,"Israel","ISR",NA,NA,NA,NA,NA,4.6,6,0,0,0
"83",144,"Italy","ITA","2021-04-01","past","green","volcano",0,5.1,6.83333333333333,0,0,0
"84",176,"Jamaica","JAM",NA,NA,NA,NA,NA,5.4,7.33333333333333,0,0,0
"85",146,"Jordan","JOR",NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0
"86",145,"Japan","JPN","2021-03-12","past","green","volcano",0,8.1,10,7,0,0
"87",84,"Kazakhstan","KAZ",NA,NA,NA,NA,NA,4,5,0,0,0
"88",34,"Kenya","KEN",NA,NA,NA,NA,NA,5.1,6.83333333333333,0,7,0
"89",178,"Kyrgyzstan","KGZ",NA,NA,NA,NA,NA,5.1,6.83333333333333,7,0,0
"90",98,"Cambodia","KHM",NA,NA,NA,NA,NA,5.8,8,10,0,0
"91",106,"Kiribati","KIR",NA,NA,NA,NA,NA,3.8,4.66666666666667,10,0,0
"92",156,"Saint Kitts and Nevis","KNA",NA,NA,NA,NA,NA,2.8,3,0,0,0
"93",177,"Korea Republic of","KOR",NA,NA,NA,NA,NA,5.9,8.16666666666667,0,0,0
"94",108,"Kuwait","KWT",NA,NA,NA,NA,NA,1.6,1,0,0,0
"95",179,"Lao PDR","LAO",NA,NA,NA,NA,NA,4.9,6.5,7,0,0
"96",13,"Lebanon","LBN",NA,NA,NA,NA,NA,5.2,7,0,0,0
"97",148,"Liberia","LBR",NA,NA,NA,NA,NA,4,5,0,0,0
"98",1,"Libya","LBY",NA,NA,NA,NA,NA,3.7,4.5,0,0,0
"99",90,"Saint Lucia","LCA",NA,NA,NA,NA,NA,2.6,2.66666666666667,0,0,0
"100",180,"Liechtenstein","LIE",NA,NA,NA,NA,NA,1.3,0.5,0,0,0
"101",188,"Sri Lanka","LKA",NA,NA,NA,NA,NA,5.2,7,10,0,0
"102",56,"Lesotho","LSO",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"103",149,"Lithuania","LTU",NA,NA,NA,NA,NA,1.7,1.16666666666667,0,0,0
"104",109,"Luxembourg","LUX",NA,NA,NA,NA,NA,0.8,0,0,0,0
"105",147,"Latvia","LVA",NA,NA,NA,NA,NA,2.1,1.83333333333333,0,0,0
"106",116,"Morocco","MAR",NA,NA,NA,NA,NA,4.7,6.16666666666667,0,0,0
"107",114,"Moldova Republic of","MDA",NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0
"108",110,"Madagascar","MDG",NA,NA,NA,NA,NA,6.1,8.5,0,0,0
"109",14,"Maldives","MDV",NA,NA,NA,NA,NA,3.2,3.66666666666667,7,0,0
"110",112,"Mexico","MEX","2020","active","orange","drought",10,6.7,9.5,7,0,0
"111",181,"Marshall Islands","MHL",NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0
"112",152,"North Macedonia","MKD",NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0
"113",36,"Mali","MLI",NA,NA,NA,NA,NA,4.4,5.66666666666667,0,0,0
"114",111,"Malta","MLT",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"115",58,"Myanmar","MMR",NA,NA,NA,NA,NA,7.8,10,7,0,0
"116",37,"Montenegro","MNE",NA,NA,NA,NA,NA,4.3,5.5,0,0,0
"117",115,"Mongolia","MNG",NA,NA,NA,NA,NA,2.9,3.16666666666667,0,0,0
"118",4,"Mozambique","MOZ","2020","active","green","drought",0,5.8,8,0,0,0
"119",15,"Mauritania","MRT",NA,NA,NA,NA,NA,5.6,7.66666666666667,0,0,0
"120",57,"Mauritius","MUS",NA,NA,NA,NA,NA,3.7,4.5,7,0,0
"121",35,"Malawi","MWI",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"122",85,"Malaysia","MYS",NA,NA,NA,NA,NA,4.9,6.5,10,0,0
"123",182,"Namibia","NAM",NA,NA,NA,NA,NA,4.3,5.5,0,0,0
"124",5,"Niger","NER",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"125",38,"Nigeria","NGA",NA,NA,NA,NA,NA,4,5,0,0,0
"126",86,"Nicaragua","NIC","2021-03-11","past","green","volcano",0,6.6,9.33333333333333,0,0,0
"127",150,"Netherlands","NLD",NA,NA,NA,NA,NA,2,1.66666666666667,0,0,0
"128",184,"Norway","NOR",NA,NA,NA,NA,NA,0.7,0,0,0,0
"129",183,"Nepal","NPL",NA,NA,NA,NA,NA,5.8,8,0,0,0
"130",117,"Nauru","NRU",NA,NA,NA,NA,NA,2.8,3,10,0,0
"131",151,"New Zealand","NZL",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"132",87,"Oman","OMN",NA,NA,NA,NA,NA,5,6.66666666666667,0,0,0
"133",59,"Pakistan","PAK","2021-04-09","past","green","flood",0,7.4,10,0,0,0
"134",118,"Panama","PAN",NA,NA,NA,NA,NA,6.2,8.66666666666667,10,0,0
"135",23,"Peru","PER","2021-03-31","past","green","flood",0,7.1,10,0,0,0
"136",153,"Philippines","PHL","2021-04-12","past","green","flood",0,8.4,10,10,0,0
"137",88,"Palau","PLW",NA,NA,NA,NA,NA,3.2,3.66666666666667,10,0,0
"138",39,"Papua New Guinea","PNG","2021-04-10","past","green","earthquake",0,6.7,9.5,0,0,0
"139",89,"Poland","POL",NA,NA,NA,NA,NA,2.3,2.16666666666667,0,0,0
"140",107,"Korea DPR","PRK",NA,NA,NA,NA,NA,5.2,7,0,0,0
"141",154,"Portugal","PRT",NA,NA,NA,NA,NA,3.4,4,0,0,0
"142",185,"Paraguay","PRY",NA,NA,NA,NA,NA,2.6,2.66666666666667,0,0,0
"143",155,"Qatar","QAT",NA,NA,NA,NA,NA,1.5,0.833333333333334,0,0,0
"144",40,"Romania","ROU",NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0
"145",186,"Russian Federation","RUS",NA,NA,NA,NA,NA,5.7,7.83333333333333,0,0,0
"146",119,"Rwanda","RWA",NA,NA,NA,NA,NA,3.5,4.16666666666667,0,0,0
"147",122,"Saudi Arabia","SAU",NA,NA,NA,NA,NA,3.1,3.5,0,7,0
"148",2,"Sudan","SDN",NA,NA,NA,NA,NA,4.2,5.33333333333333,0,5,0
"149",123,"Senegal","SEN",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"150",158,"Singapore","SGP",NA,NA,NA,NA,NA,0.9,0,0,0,0
"151",91,"Solomon Islands","SLB",NA,NA,NA,NA,NA,5.8,8,10,0,0
"152",124,"Sierra Leone","SLE",NA,NA,NA,NA,NA,3.9,4.83333333333333,0,0,0
"153",52,"El Salvador","SLV",NA,NA,NA,NA,NA,6.5,9.16666666666667,0,0,0
"154",25,"Somalia","SOM",NA,NA,NA,NA,NA,6.9,9.83333333333333,0,7,10
"155",24,"Serbia","SRB",NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0
"156",9,"South Sudan","SSD",NA,NA,NA,NA,NA,4,5,NA,5,0
"157",121,"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,1.3,0.5,0,0,0
"158",62,"Suriname","SUR",NA,NA,NA,NA,NA,3.9,4.83333333333333,10,0,0
"159",187,"Slovakia","SVK",NA,NA,NA,NA,NA,2.8,3,0,0,0
"160",159,"Slovenia","SVN",NA,NA,NA,NA,NA,3.4,4,0,0,0
"161",160,"Sweden","SWE",NA,NA,NA,NA,NA,1.1,0.166666666666666,0,0,0
"162",171,"Eswatini","SWZ",NA,NA,NA,NA,NA,2.5,2.5,0,0,0
"163",60,"Seychelles","SYC",NA,NA,NA,NA,NA,2.8,3,7,0,0
"164",63,"Syria","SYR",NA,NA,NA,NA,NA,5.7,7.83333333333333,0,0,0
"165",11,"Chad","TCD",NA,NA,NA,NA,NA,4.2,5.33333333333333,0,0,0
"166",126,"Togo","TGO",NA,NA,NA,NA,NA,3,3.33333333333333,0,0,0
"167",162,"Thailand","THA",NA,NA,NA,NA,NA,6.2,8.66666666666667,10,0,0
"168",42,"Tajikistan","TJK",NA,NA,NA,NA,NA,5.8,8,7,0,0
"169",128,"Turkmenistan","TKM",NA,NA,NA,NA,NA,3.7,4.5,7,0,0
"170",64,"Timor-Leste","TLS",NA,NA,NA,NA,NA,4.6,6,0,0,0
"171",163,"Tonga","TON",NA,NA,NA,NA,NA,5.2,7,10,0,0
"172",65,"Trinidad and Tobago","TTO",NA,NA,NA,NA,NA,3.2,3.66666666666667,10,0,0
"173",66,"Tunisia","TUN",NA,NA,NA,NA,NA,4.4,5.66666666666667,0,0,0
"174",127,"Turkey","TUR",NA,NA,NA,NA,NA,6.2,8.66666666666667,0,0,0
"175",129,"Tuvalu","TUV",NA,NA,NA,NA,NA,3,3.33333333333333,10,0,0
"176",125,"Tanzania","TZA",NA,NA,NA,NA,NA,5.1,6.83333333333333,0,5,0
"177",67,"Uganda","UGA",NA,NA,NA,NA,NA,4.4,5.66666666666667,0,5,0
"178",16,"Ukraine","UKR",NA,NA,NA,NA,NA,3.2,3.66666666666667,0,0,0
"179",165,"Uruguay","URY",NA,NA,NA,NA,NA,1.7,1.16666666666667,0,0,0
"180",164,"United States of America","USA","2021-04-08","past","green","earthquake",0,6.6,9.33333333333333,7,0,0
"181",130,"Uzbekistan","UZB",NA,NA,NA,NA,NA,5.2,7,7,0,0
