"","Countryname","Country","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm"
"1","Afghanistan","AFG",7.7,10,"4.0 %","Low","NO DATA",NA,"No income support","High",0,NA,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,0.891254425048828,1.27322060721261
"2","Angola","AGO",5.7,8.14285714285714,"0.4 %","Medium","NO DATA",NA,"No income support","High",7,NA,7,9.46943355444598,7.9904109788275,5.14394145454951,9.46943355444598,0.0980821957654996,0.0287882909099011,2.84083006633379,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,0,0,NA,NA
"3","Albania","ALB",2,2.85714285714286,"5.0 %","Low","12.5 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,13.7,12.3,11.5,11.8,11.5,11.3,11,11,11,"0.3",-0.300000000000001,0.300000000000001,0,1,1,NA,NA,NA,NA
"4","United Arab Emirates","ARE",0.3,0.428571428571429,"3.1 %","Low","NO DATA",NA,"No income support","High",0,NA,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Argentina","ARG",1.7,2.42857142857143,"5.8 %","Low","11.4 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,10,6.2005891879715,0,10,-0.2598821624057,-2.81834263866083,3.03547799691851,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,8.35,9.2,9.825,10.981,10.11,9.69,9.369,9.19,9.15,"1.156",-0.871,1.156,0,3.85333333333334,3.85333333333334,0,0,NA,NA
"6","Armenia","ARM",1.9,2.71428571428571,"1.0 %","Low","24.2 %","High","NO DATA",NA,0,10,NA,6.5191870560299,6.5191870560299,4.07681550190335,0.847853660757167,-0.196162588794019,-0.18463689961933,0.25435609822715,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,20.9,20.5,18.9,22.273,21.105,21.005,20.905,20.805,20.705,"3.373",-1.168,3.373,0,10,10,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1.9,2.71428571428571,"-3.0 %","High","NO DATA",NA,"NO DATA",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Australia","AUS",0.5,0.714285714285714,"4.5 %","Low","6.5 %","Medium","No income support","High",0,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,5.583,5.292,5.158,6.908,7.678,6.655,5.981,5.602,5.423,"1.75",0.77,1.75,7.7,5.83333333333333,7.7,NA,NA,NA,NA
"9","Austria","AUT",0.3,0.428571428571429,"-6.6 %","High","5.3 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,5.508,4.883,4.5,5.8,5.5,5,4.7,4.5,4.5,"1.3",-0.3,1.3,0,4.33333333333333,4.33333333333333,NA,NA,NA,NA
"10","Azerbaijan","AZE",2.7,3.85714285714286,"-4.3 %","High","5.8 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.961,4.944,4.848,6.541,5.755,5.69,5.627,5.564,5.501,"1.693",-0.786,1.693,0,5.64333333333334,5.64333333333334,0,0,NA,NA
