"","Countryname","Country","Fr_conflict_acaps","H_health_acaps","NH_natural_acaps","F_food_acaps"
"1","Libya","LBY",10,0,0,0
"2","Sudan","SDN",10,0,0,0
"3","Afghanistan","AFG",10,0,0,0
"4","Mozambique","MOZ",0,0,0,0
"5","Niger","NER",10,0,0,0
"6","Algeria","DZA",0,0,0,0
"7","Ethiopia","ETH",10,0,0,0
"8","Iraq","IRQ",10,0,0,0
"9","South Sudan","SSD",10,0,0,0
"10","Central African Republic","CAF",0,0,0,0
"11","Chad","TCD",10,0,0,0
"12","Croatia","HRV",0,0,0,0
"13","Lebanon","LBN",10,0,0,0
"14","Maldives","MDV",0,0,0,0
"15","Mauritania","MRT",0,0,0,0
"16","Ukraine","UKR",0,0,0,0
"17","Zimbabwe","ZWE",0,0,0,0
"18","Belarus","BLR",0,0,0,0
"19","Brazil","BRA",0,0,0,0
"20","Cabo Verde","CPV",0,0,0,0
"21","Haiti","HTI",0,0,0,0
"22","Honduras","HND",0,0,0,0
"23","Peru","PER",0,0,0,0
"24","Serbia","SRB",0,0,0,0
"25","Somalia","SOM",10,0,10,0
"26","Yemen","YEM",10,0,0,0
"27","Armenia","ARM",0,0,0,0
"28","Cameroon","CMR",10,0,0,0
"29","Colombia","COL",0,0,0,0
"30","Congo DR","COD",10,0,0,0
"31","Grenada","GRD",0,0,0,0
"32","Guinea","GIN",0,0,0,0
"33","Iran","IRN",0,0,0,0
"34","Kenya","KEN",0,0,0,0
"35","Malawi","MWI",0,0,0,0
"36","Mali","MLI",10,0,0,0
"37","Montenegro","MNE",0,0,0,0
"38","Nigeria","NGA",10,0,0,0
"39","Papua New Guinea","PNG",0,0,0,0
"40","Romania","ROU",0,0,0,0
"41","South Africa","ZAF",0,0,0,0
"42","Tajikistan","TJK",0,0,0,0
"43","Zambia","ZMB",0,0,0,0
"44","Albania","ALB",0,0,0,0
"45","Antigua and Barbuda","ATG",0,0,0,0
"46","Argentina","ARG",0,0,0,0
"47","Barbados","BRB",0,0,0,0
"48","Bolivia","BOL",0,0,0,0
"49","Burkina Faso","BFA",0,0,0,0
"50","Dominica","DMA",0,0,0,0
"51","Egypt","EGY",10,0,0,0
"52","El Salvador","SLV",0,0,0,0
"53","Eritrea","ERI",0,0,0,0
"54","Georgia","GEO",0,0,0,0
"55","Guatemala","GTM",0,0,0,0
"56","Lesotho","LSO",0,0,0,0
"57","Mauritius","MUS",0,0,0,0
"58","Myanmar","MMR",0,0,0,0
"59","Pakistan","PAK",0,0,0,0
"60","Seychelles","SYC",0,0,0,0
"61","Spain","ESP",0,0,0,0
"62","Suriname","SUR",0,0,0,0
"63","Syria","SYR",10,0,0,0
"64","Timor-Leste","TLS",0,0,0,0
"65","Trinidad and Tobago","TTO",0,0,0,0
"66","Tunisia","TUN",0,0,0,0
"67","Uganda","UGA",0,0,0,0
"68","Venezuela","VEN",10,0,0,0
"69","Angola","AGO",0,0,0,0
