"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps"
"1","Afghanistan","AFG",32.3,7.54,0.598095238095266,6.05349936503438,37.1487871319237,11.2930938757518,2.47658580879492,0.75287292505012,39.274,1.853,1.57096,3.706,20210701,NA,34.06,NA,0,NA,38.93,NA,NA,7.06769230769231,10,6.8,NA,"64.0","Medium","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","4.0 %","Low","NO DATA",NA,"5.6 %","High","Fully open","Low","10,938,928","High","NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","-8.33%","Medium","4.9","Medium","0.0","Low","5.8","Medium","Hotspot","High","Very High","High",10,0,0
"2","Angola","AGO",25.2,8.96,0.470041156462592,4.1408108640946,-21.289592760181,-21.8240084327626,0,0,3.682,0.096,0.14728,0.192,20210701,NA,38.12,NA,0,NA,43.57,NA,NA,6.44307692307692,10,5.6,NA,"6.3","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Recommend not leaving house","Medium","No income support","High","1","Medium","0.4 %","Medium","NO DATA",NA,"22.3 %","High","Fully open","Low","NO DATA",NA,"-50.00%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","-100.00%","Low","0.0","Low","0.0","Low","3.8","Medium","Hotspot","High","NO CRISIS","Low",9,0,0
"3","Albania","ALB",52.9,3.42,0.864660743569811,10,-28.2051282051282,-64.4065191777113,0,0,1.191,0.05,0.0476399999999995,0.0999999999999996,20210701,47.81,47.81,50,50,47.5,47.5,1,1,4.95230769230769,5,4.2,NA,"3.9","Low","80","Medium","Ban on high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.0 %","Low","12.5 %","Medium","1.6 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","0.0","Low","0.0","Low","4.1","Medium","NO DATA",NA,"NO CRISIS","Low",5.5,0,0
"4","United Arab Emirates","ARE",46.7,4.66,0.874189297959973,10,45.0720925126253,-1.17233701989592,3.00480616750836,0,213.179,0.549,8.52716,1.098,20210701,NA,58.33,NA,50,NA,59.52,NA,NA,3.33384615384615,5,2.5,NA,"292.8","High","80","Medium","Ban on high-risk regions","Medium","No measures","High","No measures","High","No income support","High","2","Low","3.1 %","Low","NO DATA",NA,"2.9 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",1.25,10,0
"5","Argentina","ARG",58.6,2.28,0.524652460628153,4.95651632359275,-11.3671568427234,-20.9804711970332,0,0,456.026,10.488,10,10,20210701,NA,69.38,NA,50,NA,72.14,NA,NA,1.63384615384615,5,3.4,NA,"663.1","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.8 %","Low","11.4 %","Medium","42.0 %","High","Partially open","Medium","NO DATA",NA,"-66.19%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","1.6","Low","0.0","Low","1.6","Low","NO DATA",NA,"NO CRISIS","Low",3.5,0,0
"6","Armenia","ARM",50.2,3.96,NA,NA,-42.4057679054233,15.3845707775634,0,1.02563805183756,32.06,0.53,1.2824,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,"35.1","Medium","80","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"1.0 %","Low","24.2 %","High","3.9 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-50.00%","Low","0.0","Low","0.0","Low","3.1","Medium","NO DATA",NA,"Low","Medium",4,0,0
"7","Antigua and Barbuda","ATG",29,8.2,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,"0.0","Low","-999","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-3.0 %","High","NO DATA",NA,"1.1 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","1.6","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",4,0,0
"8","Australia","AUS",75.5,0,0.159908944824599,0,0.01,0.01,0.000666666666667481,0.000666666666667481,1.339,0,0.0535600000000009,0,20210701,NA,62.81,NA,0,NA,71.79,NA,NA,2.64461538461538,10,2.1,NA,"0.6","Low","-999","High","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","No measures","High","No income support","High","0","High","4.5 %","Low","6.5 %","Medium","1.7 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","6.3","Medium","NO DATA",NA,"NO CRISIS","Low",0.25,0,0
"9","Austria","AUT",58.5,2.3,0.676034450107695,7.21764370692347,-35.8428805237316,-60.3919407808264,0,0,8.994,0.254,0.35976,0.507999999999999,20210701,NA,73.23,NA,100,62.26,62.26,2,1,1.04153846153846,0,3,NA,"30.9","Medium","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-6.6 %","High","5.3 %","Medium","1.4 %","Low","Partially open","Medium","NO DATA",NA,"-57.14%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"3.7","Medium","0.0","Low","0.1","Low","NO DATA",NA,"NO CRISIS","Low",2.5,0,0
"10","Azerbaijan","AZE",34.2,7.16,0.469132224633239,4.12723454199712,-46.1538461538462,-17.3918113435217,0,0,5.946,0.127,0.23784,0.254,20210701,NA,59.38,NA,25,NA,64.29,NA,NA,3.17230769230769,7.5,4,NA,"7.7","Low","80","Medium","Total border closure","Low","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-4.3 %","High","5.8 %","Medium","2.8 %","Low","Academic break","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-37.50%","Low","0.0","Low","0.0","Low","1.0","Low","NO DATA",NA,"NO CRISIS","Low",5,0,0
