"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning","Fr_Countryname.x","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country.of.origin..ISO.","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"1","Libya","LBY",25.7,8.86,0.65232535895112,6.86351125409783,10.8680453055327,-12.9606123084991,0.724536353702177,0,36.965,0.374,1.4786,0.747999999999999,20210614,NA,59.48,NA,0,NA,67.98,NA,NA,3.15692307692308,10,4.3,NA,"59.1","Medium","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","131.0 %","Low","NO DATA",NA,"18.2 %","High","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","-50.00%","Low",0,"Low",0,"Low",0,"Low","No hotspot","Low","Medium","Medium",5.75,0,0,0.301,3.42105263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Libya","Libya","High-Intensity conflict",10,6,0,0,0,1,1,0,1,"Fragile",10,"LBY",16033,1.31959956785323,"Fragile",355672,0.642277319030563,"Not Fragile",10,6.42277319030563,"Apr 2021",3,1.38629436111989,10,2.39789527279837,-2.22791413442861,1.33165644702405,5.36471149332624,0,67.6666666666667,68.6666666666667,71.5151515151515,-1,-3.84848484848483,9.57377049180328,3.70158450704228,9.99938469111494,NA,NA,NA,NA,NA,NA,3.7,4.5,0,0,0,2.9,4.14285714285714,"131.0 %","Low","NO DATA",NA,"No income support","High",0,NA,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"2","Sudan","SDN",26.2,8.76,0.604583333333327,6.15040924089792,-41.2401772202673,25.8176555716353,0,1.72117703810902,1.782,0.114,0.0712799999999998,0.228,20210614,60,60,25,25,65,65,1,1,3.07692307692308,7.5,5.8,NA,"1.4","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","0","High","-3.6 %","High","28.4 %","High","163.3 %","High","Fully open","Low","7,097,179","High","NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","10.26%","Medium",1.8,"Low",0,"Low",4.4,"Medium","No hotspot","Low","High","High",9.5,0,0,0.576,10,"Sudan",624,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",45255925.53269,8790357.10959,19.4236600094288,248703.1875,0.549548339963466,1894947.1642,4.18718022423652,0,0,-1.2212348639313,-0.450451660036534,-5.52891353483114,NA,15.2364797851923,"Not high risk","2021-02-01",4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Sudan","Sudan","High-Institutional and Social Fragility",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"SDN",734947,1.22151268068247,"Fragile",1885782,-0.680296017481764,"Not Fragile",10,0,"Apr 2021",204,5.32300997913841,378,5.93753620508243,1.03585467084675,0.473444234562599,5.44711678332529,10,75.6666666666667,81.6666666666667,79.8181818181818,-6,-4.15151515151514,10,3.26144366197185,10,NA,NA,NA,NA,NA,NA,4.2,5.33333333333333,0,5,0,5.9,8.42857142857143,"-3.6 %","High","28.4 %","High","No income support","High",10,10,7,10,5.34658399987249,4.45732292569051,10,-0.430683200025502,-0.108535414861898,5.7857520565573,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,19.6,19.5,22.1,25,22,19.9,19.4,19,18.6,"2.9",-3,2.9,0,9.66666666666666,9.66666666666666,NA,NA,NA,NA,0,0.2
"3","Afghanistan","AFG",32.3,7.54,0.598095238095266,6.05349936503438,215.431253667123,135.551834250759,10,9.03678895005057,39.035,1.402,1.5614,2.804,20210614,NA,36.88,NA,0,NA,42.14,NA,NA,6.63384615384615,10,6.8,NA,"24.1","Medium","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","4.0 %","Low","NO DATA",NA,"5.6 %","High","Fully open","Low","10,938,928","High","NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","14.05%","Medium",2.7,"Medium",0,"Low",6.2,"Medium","Hotspot","High","Very High","High",10,0,0,0.661,10,"Afghanistan",202,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",36374157.1095,20262310.6564,55.7052376372675,0,0,6768118.3439,18.6069420757308,0,0,37.0982955615366,NA,12.9858897441402,NA,37.0982955615366,"High risk","2021-02-01",3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Afghanistan","Afghanistan","High-Intensity conflict",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"AFG",2728853,1.20954830419611,"Fragile",2553390,1.33037304570665,"Fragile",10,10,"Apr 2021",3170,8.06180227453835,7636,8.94076013488838,-0.177423206804128,0.374247592251219,9.00716034284432,4.11288396597936,54.3333333333333,54.3333333333333,56.1515151515151,0,-1.81818181818181,6.95081967213115,6.6505281690141,6.87976864385922,NA,NA,NA,NA,NA,NA,6.7,9.5,7,0,0,7.7,10,"4.0 %","Low","NO DATA",NA,"No income support","High",0,NA,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,0.891254425048828,1.27322060721261,0,0.2
"4","Mozambique","MOZ",28.1,8.38,0.503725207221651,4.64393497955025,-32.6923076923077,141.000057924004,0,9.40000386160025,1.938,0.018,0.0775199999999998,0.0359999999999996,20210614,NA,59.17,NA,0,NA,67.62,NA,NA,3.20461538461538,10,6.2,NA,"1.1","Low","-999","High","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with minimal exceptions (e.g. allowed to leave on ...","Low","No income support","High","0","High","2.1 %","Low","NO DATA",NA,"5.3 %","High","Fully open","Low","2,914,056","High","200.00%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","9.09%","Medium",0,"Low",0.1,"Low",4.9,"Medium","Hotspot","High","High","High",10,0,0,0.592,10,"Mozambique",974,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",31830372.25,2281237.25,7.16685696316354,0,0,7830643.25,24.6011676787726,0,0,-2.69229572079541,NA,14.7420149948136,NA,-17.4343107156091,"High risk","2021-02-01",3,10,0.07,0.07,0.07,0.07,0.08,NA,NA,NA,0.07,5,10,"Mozambique","Mozambique","Medium-Intensity conflict",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"MOZ",77,1.90550580711589,"Fragile",180516,2.03028007670222,"Fragile",10,10,"Apr 2021",48,3.89182029811063,225,5.42053499927229,0.395868488912807,1.01272394240996,5.01962950250463,6.97934244456403,53.3333333333333,56.6666666666667,56.3636363636364,-3.33333333333333,-3.03030303030303,6.75409836065574,4.8899647887324,6.92284026581344,NA,NA,NA,NA,NA,NA,5.8,8,0,0,0,7.4,10,"2.1 %","Low","NO DATA",NA,"No income support","High",0,NA,7,5.03991187379501,4.6596218868925,5.03991187379501,3.69512487303332,-0.5680756226215,0.00798237475900265,1.10853746191,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1
"5","Niger","NER",32.2,7.56,0.236968216093977,0.659501035938954,0.01,0.01,0.000666666666667481,0.000666666666667481,0.041,0,0.00164000000000009,0,20210614,NA,39.38,NA,50,NA,37.86,NA,NA,6.24923076923077,5,6.2,NA,"0.3","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","2","Low","6.9 %","Low","NO DATA",NA,"2.8 %","Low","Fully open","Low","2,309,137","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","16.67%","Medium",4.6,"Medium",0,"Low",4.9,"Medium","No hotspot","Low","High","High",10,0,0,0.606,10,"Niger",236,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",24312523.16471,3324136.23842,13.67252677108,0,0,3324136.23842,13.67252677108,0,0,-3.64364317038818,NA,-10.1892591059236,NA,0,"Not high risk","2021-02-01",3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Niger","Niger","Medium-Intensity conflict",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"NER",3063,1.42665034633896,"Fragile",191902,1.06337869433977,"Fragile",10,10,"Apr 2021",83,4.43081679884331,412,6.02344759296103,1.08925244343732,0.879699915982754,5.06523230998521,10,42,42,45.5151515151515,0,-3.51515151515152,4.52459016393443,4.18573943661971,4.72003445729757,NA,NA,NA,NA,NA,NA,4.5,5.83333333333333,7,0,0,7.2,10,"6.9 %","Low","NO DATA",NA,"No income support","High",0,NA,7,5.33793448939434,0,0,5.33793448939434,-5.0145018491202,-2.4051039353825,1.6013803468183,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2
"6","Algeria","DZA",23.6,9.28,0.555555555555556,5.41810250309967,17.0252953594311,40.5828689622327,1.13501969062874,2.70552459748218,7.916,0.173,0.31664,0.346,20210614,NA,62.86,NA,50,NA,64.7,NA,NA,2.63692307692308,5,3.9,NA,"7.8","Low","-999","High","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","2","Low","-6.0 %","High","14.2 %","Medium","4.9 %","Medium","Fully open","Low","NO DATA",NA,"-53.85%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.7,"Low",0,"Low",1.2,"Low","Hotspot","High","Low","Medium",4.75,0,0,0.282,2.96650717703349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.02,0.01,-0.02,-0.02,0.02,0.02,0.02,1,NA,"Algeria","Algeria",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"DZA",4514,1.48781742199383,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,1,0.693147180559945,-1.98151576365473,0.74451877507295,2.16842286970391,0,57.6666666666667,56.6666666666667,58.1212121212121,1,-0.45454545454546,7.60655737704918,8.63116197183098,7.27971941914842,NA,NA,NA,NA,NA,NA,4.7,6.16666666666667,0,0,0,2.5,3.57142857142857,"-6.0 %","High","14.2 %","Medium","No income support","High",10,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,11.709,11.731,11.383,14.103,14.301,14.705,15.747,16.872,18.064,"2.72",0.198,2.72,1.98,9.06666666666667,9.06666666666667,NA,NA,NA,NA,0,0.3
"7","Ethiopia","ETH",40.6,5.88,0.586838414532693,5.88536105416818,-47.1400394477318,-41.7871214954284,0,0,1.582,0.041,0.0632800000000007,0.0820000000000007,20210614,NA,44.37,NA,0,NA,50.71,NA,NA,5.48153846153846,10,5.9,NA,"4.4","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","0","High","2.0 %","Low","NO DATA",NA,"13.1 %","High","Fully open","Low","12,871,469","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","-64.13%","Low",1,"Low",0,"Low",5.7,"Medium","Hotspot","High","High","High",9.75,0,0,0.646,10,"Ethiopia",704,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",111619715.18434,36680400.33218,32.8619368644709,4061063.875,3.63830338421232,23210097.1564,20.7939046592876,1851962.125,1.65917116160123,8.50423836061872,NA,13.2440711812298,NA,12.0680322051833,"High risk","2021-02-01",4,10,0.26,0.2,0.23,0.25,0.22,NA,NA,NA,0.23,5,10,"Ethiopia","Ethiopia",NA,0,6,0,0,0,0,1,0,0,"Not Fragile",0,"ETH",95685,1.59356748234468,"Fragile",1733628,0.750490206032001,"Not Fragile",10,7.50490206032001,"Apr 2021",604,6.40522845803084,1546,7.34407285057307,1.57683570623584,0.993561926401267,5.77738892866708,10,68,68,69.969696969697,0,-1.96969696969697,9.63934426229508,6.43045774647888,9.68557715973419,NA,NA,NA,NA,NA,NA,4.4,5.66666666666667,0,7,0,6.2,8.85714285714286,"2.0 %","Low","NO DATA",NA,"No income support","High",0,NA,7,3.9224095560215,2.22438056667849,3.9224095560215,0,-1.0551238866643,-0.215518088795701,-0.141188414657901,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,5.72885913848877,8.18408448355538,0,0.1
"8","Iraq","IRQ",25.8,8.84,0.579156044418726,5.77061281038241,-6.47743280325053,-1.77449290954276,0,0,105.311,0.593,4.21244,1.186,20210614,NA,66.15,NA,37.5,NA,70.24,NA,NA,2.13076923076923,6.25,4.8,NA,"143.5","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","1.1 %","Low","NO DATA",NA,"9.4 %","High","Closed due to COVID-19","High","NO DATA",NA,"50.00%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","35.07%","High",0,"Low",0,"Low",0.3,"Low","No hotspot","Low","High","High",7,0,0,0.405,5.90909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-0.02,-0.01,0,0,-0.01,-0.02,1,NA,"Iraq","Iraq","Medium-Intensity conflict",10,6,0,0,1,0,0,1,0,"Fragile",10,"IRQ",344460,0.1484014038314,"Not Fragile",1414632,-1.28554258120551,"Not Fragile",1.484014038314,0,"Apr 2021",258,5.55682806169954,586,6.3750248198281,-1.22893842687818,0.352227207292365,6.80789036986167,0,66,66,66.3030303030303,0,-0.303030303030297,9.24590163934426,8.85123239436621,8.94105340881123,NA,NA,NA,NA,NA,NA,5.6,7.66666666666667,0,0,0,4,5.71428571428571,"1.1 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3
"9","South Sudan","SSD",21.7,9.66,0.641566837399533,6.70281586511475,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0,20210614,NA,30.78,0,0,NA,35.18,0,NA,7.57230769230769,10,7.3,NA,"0.3","Low","-999","High","Screening","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","5.3 %","Low","NO DATA",NA,"40.0 %","High","Fully open","Low","6,480,000","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","117.07%","High",0,"Low",0,"Low",3.7,"Medium","Hotspot","High","High","High",10,0,0,0.752,10,"South Sudan",74,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",14183489.8064,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk","2020-06-01",4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"South Sudan","South Sudan","Medium-Intensity conflict",10,6,0,0,0,0,1,0,1,"Fragile",10,"SSD",2234814,0.748819192515885,"Not Fragile",1665815,-1.11918733523625,"Not Fragile",7.48819192515885,0,"Apr 2021",130,4.87519732320115,440,6.08904487544685,0.0131367452662423,0.449652528315535,6.08313790472404,5.06568372633121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,5,0,8,10,"5.3 %","Low","NO DATA",NA,"No income support","High",0,NA,7,10,8.72827124627904,10,6.46486402607801,0.245654249255807,4.2395687680052,1.9394592078234,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,9.29440409342448,10,0,0.2
"10","Central African Republic","CAF",27.3,8.54,0.388888888888889,2.9286744992526,-100,-95.2147026527192,0,0,0.296,0,0.0118399999999994,0,20210614,NA,10.83,NA,0,NA,12.38,NA,NA,10,10,7.6,NA,"4.7","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","3.5 %","Low","NO DATA",NA,"3.3 %","Medium","Fully open","Low","1,910,073","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","21.21%","High",0,"Low",0,"Low",0.1,"Low","No hotspot","Low","High","High",10,0,0,0.695,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Central African Republic","Central African Republic","Medium-Intensity conflict",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAF",610203,1.18920703589202,"Fragile",669906,0.84765583773798,"Not Fragile",10,8.4765583773798,"Apr 2021",76,4.34380542185368,138,4.93447393313069,-0.0758097796194232,0.677886479436069,4.98586435774373,4.62095110190288,52,49.3333333333333,51.7272727272727,2.66666666666666,0.272727272727273,6.49180327868853,9.68750000000001,5.98141767167118,NA,NA,NA,NA,NA,NA,3.1,3.5,0,0,0,9.2,10,"3.5 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,4.45194954306601,4.45194954306601,3.89415256958749,2.95235200993199,-0.609610091386799,-0.221169486082502,0.885705602979598,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,6.07665608723958,8.68093726748512,0,0.3
