"","Countryname","Country","C_GPI_Score","C_GPI_Score_norm","C_ACLED_fatal_last30d","C_ACLED_fatal_oneyear30d","C_ACLED_fatal_oneyearmonthlyav","C_ACLED_fatal_threeyearmonthlyav","C_ACLED_fatal_same_month_difference","C_ACLED_fatal_month_annual_difference","C_ACLED_fatal_month_threeyear_difference","C_ACLED_fatal_same_month_difference_perc","C_ACLED_fatal_month_annual_difference_perc","C_ACLED_fatal_month_threeyear_difference_perc","C_ACLED_event_last30d","C_ACLED_event_oneyear30d","C_ACLED_event_oneyearmonthlyav","C_ACLED_event_threeyearmonthlyav","C_ACLED_event_same_month_difference","C_ACLED_event_month_annual_difference","C_ACLED_event_month_threeyear_difference","C_ACLED_event_same_month_difference_perc","C_ACLED_event_month_annual_difference_perc","C_ACLED_event_month_threeyear_difference_perc","C_ACLED_fatal_same_month_difference_perc_norm","C_ACLED_fatal_month_annual_difference_perc_norm","C_ACLED_fatal_month_threeyear_difference_perc_norm","C_ACLED_event_same_month_difference_perc_norm","C_ACLED_event_month_annual_difference_perc_norm","C_ACLED_event_month_threeyear_difference_perc_norm"
"1","Afghanistan","AFG",3.574,10,871,4281,2280.58333333333,894.833333333333,-3410,-1409.58333333333,-23.8333333333334,-79.6542863816865,-61.8080169547265,-2.6634382566586,203,1311,848.916666666667,324.611111111111,-1108,-645.916666666667,-121.611111111111,-84.5156369183829,-76.0871699224502,-37.4636316960465,1.35638090788757,2.54613220301823,0,0.619374523264684,0.956513203101993,2.50145473215814
"2","Angola","AGO",2.012,3.80007933359778,11,0,4.08333333333333,1.38888888888889,11,6.91666666666667,9.61111111111111,Inf,169.387755102041,692,5,2,6.58333333333333,2.27777777777778,3,-1.58333333333333,2.72222222222222,150,-24.0506329113924,119.512195121951,10,10,10,10,0,0
"3","Albania","ALB",1.821,2.28480761602539,0,0,0,0,0,0,0,NA,NA,NA,5,30,18.9166666666667,7.19444444444444,-25,-13.9166666666667,-2.19444444444444,-83.3333333333333,-73.568281938326,-30.5019305019305,NA,NA,NA,0,0,0
"4","United Arab Emirates","ARE",1.847,2.4910749702499,0,0,0,0,0,0,0,NA,NA,NA,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,NA,NA,NA,NA,0,0
"5","Argentina","ARG",1.989,3.61761205870686,0,2,1.66666666666667,0.611111111111111,-2,-1.66666666666667,-0.611111111111111,-100,-100,-100,94,86,151.333333333333,53.7222222222222,8,-57.3333333333333,40.2777777777778,9.30232558139535,-37.8854625550661,74.9741468459152,0,0,0,4.37209302325581,2.48458149779736,6.99896587383661
"6","Armenia","ARM",2.294,6.03728679095597,1,1,0.333333333333333,0.138888888888889,0,0.666666666666667,0.861111111111111,0,200,620,15,149,140,51.8055555555556,-134,-125,-36.8055555555556,-89.9328859060403,-89.2857142857143,-71.0455764075067,0,10,10,0,0,0
"7","Antigua and Barbuda","ATG",NA,NA,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,1,0,0.833333333333333,0.277777777777778,1,0.166666666666667,0.722222222222222,Inf,20,260,NA,0,0,10,0,10
"8","Australia","AUS",1.419,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Austria","AUT",1.291,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Azerbaijan","AZE",2.425,7.07655692185641,0,0,2.66666666666667,0.888888888888889,0,-2.66666666666667,-0.888888888888889,NA,-100,-100,232,370,345.25,126.194444444444,-138,-113.25,105.805555555556,-37.2972972972973,-32.8023171614772,83.8432753686991,NA,0,0,2.50810810810811,2.68790731354091,7.35373101474796
"11","Burundi","BDI",2.52,7.83022610075367,12,18,22.1666666666667,8.08333333333333,-6,-10.1666666666667,3.91666666666667,-33.3333333333333,-45.8646616541353,48.4536082474227,9,75,55.1666666666667,20.75,-66,-46.1666666666667,-11.75,-88,-83.6858006042296,-56.6265060240964,4.44444444444445,3.60902255639098,4.84536082474227,0,0,0
"12","Belgium","BEL",1.533,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Benin","BEN",1.986,3.59381197937326,1,5,2.91666666666667,1.11111111111111,-4,-1.91666666666667,-0.111111111111111,-80,-65.7142857142857,-10,1,3,4.41666666666667,1.55555555555556,-2,-3.41666666666667,-0.555555555555556,-66.6666666666667,-77.3584905660377,-35.7142857142857,0,0,0,0,0,0
"14","Burkina Faso","BFA",2.176,5.10115033716779,38,174,231.333333333333,81.3888888888889,-136,-193.333333333333,-43.3888888888889,-78.1609195402299,-83.5734870317003,-53.3105802047782,45,58,70.0833333333333,25.3611111111111,-13,-25.0833333333333,19.6388888888889,-22.4137931034483,-35.7907253269917,77.4370208105148,1.45593869731801,1.09510086455331,0,3.10344827586207,2.56837098692033,7.09748083242059
"15","Bangladesh","BGD",2.128,4.72034906783023,4,33,23.8333333333333,8.91666666666667,-29,-19.8333333333333,-4.91666666666667,-87.8787878787879,-83.2167832167832,-55.1401869158878,35,108,116.666666666667,42.3333333333333,-73,-81.6666666666667,-7.33333333333334,-67.5925925925926,-70,-17.3228346456693,0,0,0,1.2962962962963,1.2,3.30708661417323
"16","Bulgaria","BGR",1.607,0.587068623562079,0,0,0,0,0,0,0,NA,NA,NA,114,38,49.25,17.75,76,64.75,96.25,200,131.472081218274,542.253521126761,NA,NA,NA,10,9.25888324873097,10
"17","Bahrain","BHR",2.357,6.53708845696153,0,1,0,0.0277777777777778,-1,0,-0.0277777777777778,-100,NA,-100,1,124,17.0833333333333,9.25,-123,-16.0833333333333,-8.25,-99.1935483870968,-94.1463414634146,-89.1891891891892,0,NA,0,0,0,0
"18","Bahamas","BHS",NA,NA,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,0,1,0.75,0.277777777777778,-1,-0.75,-0.277777777777778,-100,-100,-100,NA,0,0,0,0,0
"19","Bosnia and Herzegovina","BIH",2.019,3.85561285204284,0,0,0,0,0,0,0,NA,NA,NA,3,9,11.9166666666667,4.30555555555556,-6,-8.91666666666667,-1.30555555555556,-66.6666666666667,-74.8251748251748,-30.3225806451613,NA,NA,NA,0,0,0
"20","Belarus","BLR",2.115,4.61721539071797,0,0,0,0,0,0,0,NA,NA,NA,44,12,26.5,9.16666666666667,32,17.5,34.8333333333333,266.666666666667,66.0377358490566,380,NA,NA,NA,10,6.64150943396226,10
"21","Belize","BLZ",NA,NA,4,4,3.75,1.44444444444444,0,0.25,2.55555555555556,0,6.66666666666667,176.923076923077,4,9,7,2.66666666666667,-5,-3,1.33333333333333,-55.5555555555556,-42.8571428571429,50,0,0,10,0,0,0
"22","Bolivia","BOL",2.044,4.05394684648949,0,0,1.33333333333333,0.444444444444444,0,-1.33333333333333,-0.444444444444444,NA,-100,-100,14,38,54.3333333333333,19.2222222222222,-24,-40.3333333333333,-5.22222222222222,-63.1578947368421,-74.2331288343558,-27.1676300578035,NA,0,0,0,0,0
"23","Brazil","BRA",2.271,5.85481951606505,164,456,392.166666666667,144.777777777778,-292,-228.166666666667,19.2222222222222,-64.0350877192982,-58.1810454738632,13.2770529547199,353,802,772.416666666667,282.055555555556,-449,-419.416666666667,70.9444444444445,-55.9850374064838,-54.2992771604272,25.1526492022848,2.39766081871345,2.78793030174246,1.32770529547199,1.76059850374065,1.82802891358291,5.00610596809139
"24","Barbados","BRB",NA,NA,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,0,0,0.5,0.166666666666667,0,-0.5,-0.166666666666667,NA,-100,-100,NA,0,0,NA,0,0
"25","Brunei Darussalam","BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bhutan","BTN",1.506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Botswana","BWA",1.676,1.13447044823483,0,0,0.25,0.0833333333333333,0,-0.25,-0.0833333333333333,NA,-100,-100,1,6,0.666666666666667,0.388888888888889,-5,0.333333333333333,0.611111111111111,-83.3333333333333,50,157.142857142857,NA,0,0,0,0,10
"28","Central African Republic","CAF",3.296,10,29,9,41,14.1111111111111,20,-12,14.8888888888889,222.222222222222,-29.2682926829268,105.511811023622,13,20,25.9166666666667,9.30555555555556,-7,-12.9166666666667,3.69444444444444,-35,-49.8392282958199,39.7014925373134,10,4.71544715447155,10,0,0,0
"29","Canada","CAN",1.327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Switzerland","CHE",1.383,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Chile","CHL",1.634,0.80126933756446,0,1,4,1.38888888888889,-1,-4,-1.38888888888889,-100,-100,-100,135,97,289.75,99.6388888888889,38,-154.75,35.3611111111111,39.1752577319588,-53.4081104400345,35.4892667967661,0,0,0,5.56701030927835,1.86367558239862,5.41957067187064
"32","China","CHN",2.217,5.4264180880603,0,0,0.416666666666667,0.138888888888889,0,-0.416666666666667,-0.138888888888889,NA,-100,-100,56,253,225.666666666667,83.4444444444444,-197,-169.666666666667,-27.4444444444444,-77.8656126482213,-75.1846381093058,-32.8894806924101,NA,0,0,0.885375494071146,0.99261447562777,2.68442077230359
"33","Côte d'Ivoire","CIV",2.203,5.31535105117017,0,0,5.58333333333333,1.86111111111111,0,-5.58333333333333,-1.86111111111111,NA,-100,-100,4,8,20.8333333333333,7.19444444444444,-4,-16.8333333333333,-3.19444444444444,-50,-80.8,-44.4015444015444,NA,0,0,0,0,0
"34","Cameroon","CMR",2.538,7.97302657675526,44,69,110.75,39.8888888888889,-25,-66.75,4.11111111111111,-36.231884057971,-60.2708803611738,10.3064066852368,31,44,87.25,30.9166666666667,-13,-56.25,0.0833333333333321,-29.5454545454545,-64.4699140401146,0.269541778975737,4.2512077294686,2.64860797592175,1.03064066852368,2.81818181818182,1.42120343839542,4.01078167115903
"35","Congo DR","COD",3.218,10,163,308,394.75,141.888888888889,-145,-231.75,21.1111111111111,-47.0779220779221,-58.7080430652312,14.8786217697729,110,245,226.583333333333,83.25,-135,-116.583333333333,26.75,-55.1020408163265,-51.4527399779331,32.1321321321321,3.52813852813853,2.75279712898459,1.48786217697729,1.79591836734694,1.94189040088268,5.28528528528529
"36","Congo","COG",2.323,6.26735422451408,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,0,3,0.583333333333333,0.361111111111111,-3,-0.583333333333333,-0.361111111111111,-100,-100,-100,NA,0,0,0,0,0
"37","Colombia","COL",2.661,8.94882982943277,26,54,55.5,20.2777777777778,-28,-29.5,5.72222222222222,-51.8518518518518,-53.1531531531532,28.2191780821918,27,116,121.833333333333,44.1666666666667,-89,-94.8333333333333,-17.1666666666667,-76.7241379310345,-77.8385772913817,-38.8679245283019,3.20987654320988,3.12312312312312,2.82191780821918,0.931034482758621,0.886456908344734,2.44528301886792
"38","Comoros","COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cabo Verde","CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Costa Rica","CRI",1.706,1.37247124157081,0,1,1.25,0.444444444444444,-1,-1.25,-0.444444444444444,-100,-100,-100,17,40,10.8333333333333,5,-23,6.16666666666667,12,-57.5,56.9230769230769,240,0,0,0,0,0,10
"41","Cuba","CUB",2.073,4.2840142800476,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,4,3,5.16666666666667,1.80555555555556,1,-1.16666666666667,2.19444444444444,33.3333333333333,-22.5806451612903,121.538461538462,NA,0,0,0,0,0
"42","Cyprus","CYP",1.914,3.02261007536692,0,0,0,0,0,0,0,NA,NA,NA,12,16,20.9166666666667,7.44444444444444,-4,-8.91666666666667,4.55555555555556,-25,-42.6294820717131,61.1940298507463,NA,NA,NA,0,0,0
"43","Czech Republic","CZE",1.375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Germany","DEU",1.547,0.111067036890123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Djibouti","DJI",2.207,5.34708449028163,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,3,0,3.91666666666667,1.30555555555556,3,-0.916666666666667,1.69444444444444,Inf,-23.4042553191489,129.787234042553,NA,0,0,10,0,0
"46","Dominica","DMA",NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,1.58333333333333,0.527777777777778,0,-1.58333333333333,-0.527777777777778,NA,-100,-100,NA,NA,NA,NA,0,0
"47","Denmark","DNK",1.316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Dominican Republic","DOM",2.041,4.03014676715589,0,1,1.08333333333333,0.388888888888889,-1,-1.08333333333333,-0.388888888888889,-100,-100,-100,0,3,8.16666666666667,2.80555555555556,-3,-8.16666666666667,-2.80555555555556,-100,-100,-100,0,0,0,0,0,0
"49","Algeria","DZA",2.219,5.44228480761603,2,0,2.91666666666667,0.972222222222222,2,-0.916666666666667,1.02777777777778,Inf,-31.4285714285714,105.714285714286,75,146,167.5,60.75,-71,-92.5,14.25,-48.6301369863014,-55.2238805970149,23.4567901234568,10,0,10,2.05479452054794,1.7910447761194,4.93827160493827
"50","Ecuador","ECU",1.98,3.54621182070607,0,2,0.583333333333333,0.25,-2,-0.583333333333333,-0.25,-100,-100,-100,12,28,34.3333333333333,12.5555555555556,-16,-22.3333333333333,-0.555555555555555,-57.1428571428571,-65.0485436893204,-4.42477876106195,0,0,0,0,0,0
"51","Egypt","EGY",2.521,7.83815946053154,35,66,59.4166666666667,22.5555555555556,-31,-24.4166666666667,12.4444444444444,-46.969696969697,-41.09396914446,55.1724137931034,23,49,52.9166666666667,19.4722222222222,-26,-29.9166666666667,3.52777777777778,-53.0612244897959,-56.5354330708661,18.1169757489301,3.53535353535354,3.92706872370266,5.51724137931034,0,0,0
"52","Eritrea","ERI",2.504,7.70329234430782,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,0,1,0.333333333333333,0.138888888888889,-1,-0.333333333333333,-0.138888888888889,-100,-100,-100,NA,0,0,0,0,0
"53","Spain","ESP",1.699,1.31693772312575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Estonia","EST",1.727,1.53907179690599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Ethiopia","ETH",2.434,7.1479571598572,32,25,56.5833333333333,21.0555555555556,7,-24.5833333333333,10.9444444444444,28,-43.4462444771723,51.9788918205805,5,10,30.9166666666667,10.6944444444444,-5,-25.9166666666667,-5.69444444444444,-50,-83.8274932614555,-53.2467532467532,8.53333333333333,3.77025036818851,5.19788918205805,0,0,0
"56","Finland","FIN",1.488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Fiji","FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","France","FRA",1.892,2.84807616025387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Gabon","GAB",2.112,4.59341531138437,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,2,1,2.58333333333333,0.916666666666667,1,-0.583333333333333,1.08333333333333,100,-22.5806451612903,118.181818181818,NA,0,0,0,0,0
"61","United Kingdom","GBR",1.801,2.12614042046807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Georgia","GEO",2.122,4.67274890916303,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,43,52,66.75,24.1666666666667,-9,-23.75,18.8333333333333,-17.3076923076923,-35.5805243445693,77.9310344827586,NA,0,0,3.30769230769231,2.57677902621723,7.11724137931034
"63","Ghana","GHA",1.796,2.08647362157874,1,3,3.66666666666667,1.33333333333333,-2,-2.66666666666667,-0.333333333333333,-66.6666666666667,-72.7272727272727,-25,10,14,22,7.83333333333333,-4,-12,2.16666666666667,-28.5714285714286,-54.5454545454545,27.6595744680851,0,0,0,0,0,0
"64","Guinea","GIN",2.125,4.69654898849663,3,0,7.5,2.5,3,-4.5,0.5,Inf,-60,20,11,4,50.6666666666667,17.0277777777778,7,-39.6666666666667,-6.02777777777778,175,-78.2894736842105,-35.3996737357259,10,0,0,10,0,0
"65","Gambia","GMB",1.908,2.97500991669972,0,1,0.25,0.111111111111111,-1,-0.25,-0.111111111111111,-100,-100,-100,0,1,2.16666666666667,0.75,-1,-2.16666666666667,-0.75,-100,-100,-100,0,0,0,0,0,0
"66","Guinea-Bissau","GNB",2.237,5.58508528361761,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,3,0,1.41666666666667,0.472222222222222,3,1.58333333333333,2.52777777777778,Inf,111.764705882353,535.294117647059,NA,0,0,10,0,10
"67","Equatorial Guinea","GNQ",1.957,3.36374454581515,0,0,0,0,0,0,0,NA,NA,NA,0,0,0.5,0.166666666666667,0,-0.5,-0.166666666666667,NA,-100,-100,NA,NA,NA,NA,0,0
"68","Greece","GRC",1.933,3.17334391114637,0,0,0.833333333333333,0.277777777777778,0,-0.833333333333333,-0.277777777777778,NA,-100,-100,8,19,82.9166666666667,28.2777777777778,-11,-74.9166666666667,-20.2777777777778,-57.8947368421053,-90.3517587939699,-71.7092337917485,NA,0,0,0,0,0
"69","Grenada","GRD",NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0.416666666666667,0.138888888888889,0,-0.416666666666667,-0.138888888888889,NA,-100,-100,NA,NA,NA,NA,0,0
"70","Guatemala","GTM",2.264,5.79928599761999,11,116,37,16.2777777777778,-105,-26,-5.27777777777778,-90.5172413793103,-70.2702702702703,-32.4232081911263,17,147,59,24.5555555555556,-130,-42,-7.55555555555556,-88.4353741496599,-71.1864406779661,-30.7692307692308,0.632183908045977,1.98198198198198,0,0,0,0
"71","Guyana","GUY",2.075,4.29988099960333,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,3,12,5,2.02777777777778,-9,-2,0.972222222222222,-75,-40,47.9452054794521,NA,0,0,0,0,0
"72","Honduras","HND",2.341,6.41015470051567,32,90,67.6666666666667,24.9166666666667,-58,-35.6666666666667,7.08333333333333,-64.4444444444444,-52.7093596059113,28.4280936454849,37,130,87.1666666666667,32.8888888888889,-93,-50.1666666666667,4.11111111111111,-71.5384615384615,-57.5525812619503,12.5,2.37037037037037,3.15270935960591,2.8428093645485,1.13846153846154,1.69789674952199,4.5
"73","Croatia","HRV",1.645,0.888536295120984,0,1,0,0.0277777777777778,-1,0,-0.0277777777777778,-100,NA,-100,7,12,14.4166666666667,5.16666666666667,-5,-7.41666666666667,1.83333333333333,-41.6666666666667,-51.4450867052023,35.4838709677419,0,NA,0,0,0,0
"74","Haiti","HTI",2.052,4.11741372471242,3,18,21.0833333333333,7.52777777777778,-15,-18.0833333333333,-4.52777777777778,-83.3333333333333,-85.7707509881423,-60.1476014760148,10,24,35.3333333333333,12.4722222222222,-14,-25.3333333333333,-2.47222222222222,-58.3333333333333,-71.6981132075472,-19.8218262806236,0,0,0,0,0,0
"75","Hungary","HUN",1.54,0.0555335184450616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Indonesia","IDN",1.785,1.99920666402221,2,7,13.5,4.83333333333333,-5,-11.5,-2.83333333333333,-71.4285714285714,-85.1851851851852,-58.6206896551724,78,119,127.416666666667,45.9166666666667,-41,-49.4166666666667,32.0833333333333,-34.453781512605,-38.7835186396338,69.8729582577133,0,0,0,2.6218487394958,2.44865925441465,6.79491833030853
"77","India","IND",2.605,8.50456168187227,36,152,100,38.1388888888889,-116,-64,-2.13888888888889,-76.3157894736842,-64,-5.60815731973779,570,2180,1467.58333333333,558.472222222222,-1610,-897.583333333333,11.5277777777778,-73.8532110091743,-61.1606382374652,2.06416314349665,1.57894736842105,2.4,0,1.04587155963303,1.55357447050139,4.08256652573987
"78","Ireland","IRL",1.39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Iran","IRN",2.542,8.00476001586672,10,4,56.0833333333333,18.8055555555556,6,-46.0833333333333,-8.80555555555556,150,-82.1693907875186,-46.8242245199409,83,169,156.666666666667,57.6944444444444,-86,-73.6666666666667,25.3055555555556,-50.887573964497,-47.0212765957447,43.8613384689456,10,1.18870728083209,0,1.96449704142012,2.11914893617021,5.75445353875782
