Country,Countryname,Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Macro Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Underlying_Number of Underlying Vulnerability Flags,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
LBY,Libya,6.86351125409783,NA,7,3.70158450704228,0,10,1.5,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,2,7.798122191355222,NA,6.083877665813706,5.385164807134502,0,10,3,0,0.4
SDN,Sudan,6.15040924089792,10,10,3.26144366197185,5,9.62421983109733,2.5,9.5,10,10,8.42857142857143,5.33333333333333,10,4,7.6438791060907185,10,5.710905061346976,9.18072515031979,5.163977794943221,9.810310816226634,5,0,0.2
AFG,Afghanistan,7.06769230769231,10,7,6.6505281690141,7,10,3.5,10,10,6.87976864385922,10,9.5,10,4.5,8.40695682616029,10,6.764177345567284,8.366600265340756,8.154753215150045,10,5.5,0,0.2
MOZ,Mozambique,10,10,7,4.8899647887324,0,10,3.5,10,10,6.92284026581344,10,8,10,4.5,10,10,5.818285412202342,8.366600265340756,0,10,4.5,0,0.1
NER,Niger,7.46769230769231,10,7,4.18573943661971,0,10,3,10,10,4.72003445729757,10,5.83333333333333,10,4,8.641581051921177,10,4.444866068861282,8.366600265340756,0,10,4,0,0.2
DZA,Algeria,5.41810250309967,1,9.06666666666667,8.63116197183098,0,0,1,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,1,7.0908385420036835,1.722355125121846,7.926691454582635,5.690426379538916,0,0,2.5,0,0.3
ETH,Ethiopia,5.88536105416818,10,8.18408448355538,6.43045774647888,7,10,3,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,0,2.5,7.575108598438688,10,7.891938587947301,8.513965317393314,6.298147875897063,0,4.5,0,0.1
IRQ,Iraq,5.77061281038241,1,0,8.85123239436621,0,10,1.5,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,2.5,7.142283755479091,2.4308621740219887,8.896029539734476,0,0,10,3,0,0.3
SSD,South Sudan,7.45230769230769,10,10,NA,5,10,3.5,10,10,NA,10,5,10,4,8.632674957571199,10,NA,10,5,10,4.5,0,0.2
CAF,Central African Republic,10,10,8.68093726748512,9.68750000000001,0,8.4765583773798,3.5,10,10,5.98141767167118,10,3.5,10,4,10,10,7.612160251486737,9.317154752114575,0,9.206822675266316,5,0,0.3
TCD,Chad,7.1,7,10,7.31073943661973,0,10,3.5,10,10,6.17831651489048,10,5.33333333333333,10,4,8.426149773176359,8.366600265340756,6.720718875040735,10,0,10,4.5,0,0.3
HRV,Croatia,5.11168799748528,1,10,10,0,5,2,3.75,1.2200956937799,2.99716957912872,1.57142857142857,6.33333333333333,0,0,4.378222240883827,1.104579419408084,5.47464115639438,3.9641248358604577,0,0,0.5,0,0.3
LBN,Lebanon,10,10,0,9.95158450704226,10,0,3.5,7.5,3.37320574162679,10,5.57142857142857,7,10,3,8.660254037844387,5.8079305622801565,9.975762881625775,0,8.366600265340756,0,3.5,0,0.3
MDV,Maldives,10,NA,NA,NA,0,0,1,7.24,2.91866028708134,NA,3.14285714285714,3.66666666666667,0,0.5,8.508818954473059,NA,NA,NA,0,0,1,0,0.6
MRT,Mauritania,5.32,7,7,0,0,0,1,9.5,8.13397129186603,7.11973910903274,8.28571428571428,7.66666666666667,0,2.5,7.109149034870489,7.545713951844598,0,7.615773105863905,0,0,3,0,0.3
UKR,Ukraine,6.65266286142438,NA,8.45666666666667,9.02728873239439,0,4.03021075517029,1,6.4,2.29665071770335,8.64570514398228,2.14285714285714,3.66666666666667,0,0.5,6.525108605465203,NA,8.834436972998079,4.256927127803406,0,0,1.5,0,0.4
ZWE,Zimbabwe,10,10,10,6.29841549295775,0,10,4,8.25,10,10,8.42857142857143,6.16666666666667,10,4,9.082951062292475,10,7.936255724809874,9.18072515031979,0,10,5,0,0.2
BLR,Belarus,5.90615384615385,3,7,10,0,0,1.5,6.94,1.02870813397129,8.21498892444007,1.57142857142857,2,0,0.5,6.402242395622625,1.756736861887366,9.063657608515488,3.3166247903553985,0,0,1.5,0,0.3
BRA,Brazil,10,NA,10,9.11531690140845,0,4.89114208992358,2.5,3.75,3.73205741626794,5.24920009844942,5,5,0,0,6.123724356957945,NA,6.917233722831035,7.0710678118654755,0,0,2,0,0.3
CPV,Cabo Verde,3.80276,3,6.12966820195315,7.04665492957748,0,0,0.5,8.14,6.36363636363636,4.52313561407827,6.71428571428571,0.833333333333334,0,0.5,5.563673822214958,4.3693144875265135,5.645615632691629,6.415321008467574,0,0,1.5,0,0.3
HTI,Haiti,3.65384615384615,10,10,4.8899647887324,0,10,3,10,10,7.26126015259661,9.71428571428571,10,10,5,6.044705248269886,10,5.958800757536963,9.856107606091621,0,10,4,0,0.1
HND,Honduras,6.32472790755092,10,5.34666666666667,2.24911971830987,0,10,2,8.48,6.14832535885167,3.84014275166134,7.71428571428572,9.16666666666667,0,1.5,7.323502758655301,7.84112578578591,2.938867262039278,6.422282638261442,0,0,2.5,0,0.2
PER,Peru,10,NA,10,10,0,10,4,5.75,6.65071770334928,0.579005660841744,4.71428571428571,10,0,1,7.582875444051551,NA,2.4062536459021606,6.866065623255948,0,0,1.5,0,0.3
SRB,Serbia,10,3,10,4.66989436619718,0,0,2,4.25,3.89952153110048,5.32919025350726,2.28571428571429,5.83333333333333,0,0,6.519202405202649,3.4203164463688798,4.988662700689081,4.780914437337579,0,0,0.5,0,0.3
SOM,Somalia,8.44340895511076,10,7,9.51144366197182,7,10,4,10,10,10,9,9.83333333333333,10,5,9.188802400264553,10,9.752663052711203,7.937253933193772,8.296585643102427,10,6,0,0.2
YEM,Yemen,6.49076923076923,10,NA,10,5,10,3,10,10,10,10,5.5,10,5,8.056531034365367,10,10,NA,5.244044240850758,10,4.5,0,0.2
ARM,Armenia,1.0992,1,10,4.44982394366198,0,0,1,4,2.70334928229665,4.34469603741078,2.71428571428571,5.83333333333333,0,0,2.096854787532985,1.6441865107999913,4.396945809900756,5.209880722517273,0,0,0.5,0,0.3
CMR,Cameroon,8.70153846153846,10,7,5.99031690140845,0,10,3,9.25,8.13397129186603,5.88912133891214,8.42857142857143,4.33333333333333,10,2.5,8.971579056622684,9.01885319309835,5.939503606441414,7.681145747868609,0,10,4.5,0,0.1
COL,Colombia,10,5,10,2.11707746478873,7,10,3.5,5.75,5.07177033492823,3.92628599556978,5.14285714285714,9.5,0,0.5,7.582875444051551,5.0357573089497825,2.8830975705890296,7.171371656006359,8.154753215150045,0,3.5,0,0.2
COD,Congo DR,10,10,10,9.07130281690143,0,10,4.5,10,10,10,9.42857142857143,5.83333333333333,10,4.5,10,10,9.524338726075122,9.710083124552247,0,10,5,0,0.2
GRD,Grenada,6.66666666667481e-4,1,NA,NA,0,0,0,8.5,NA,NA,2.71428571428571,1.16666666666667,0,0.5,0.07527726527095407,1,NA,NA,0,0,0,0.2,0.4
GIN,Guinea,10,5,7,5.99031690140844,0,5.41685833575196,1.5,10,8.82775119617225,9.20563622938716,7.85714285714286,4.83333333333333,0,2.5,10,6.6437004734455964,7.425946289404185,7.416198487095665,0,0,3.5,0,0.3
IRN,Iran,5.50608622495636,NA,5.0866666666666696,10,7,6.44833386123243,1.5,6.46,2.96650717703349,10,3.57142857142857,9.66666666666667,0,1.5,5.964001761671276,NA,10,4.262237284181474,8.225975119502046,0,2.5,0,0.4
KEN,Kenya,10,10,10,8.3230633802817,7,1.62808762344625,4,9,10,7.0520551316761,7.71428571428572,6.83333333333333,0,2.5,9.486832980505138,10,7.661246753771934,8.783100656536801,6.916164640415475,0,4.5,0,0.3
MWI,Malawi,10,5,3.16208839275696,2.24911971830986,0,6.83325308687923,1,9.25,10,7.63044548363279,9.85714285714286,5.83333333333333,0,2.5,9.617692030835672,7.0710678118654755,4.14267852925217,5.582934444744861,0,0,2.5,0,0.3
MLI,Mali,5.24,10,9.93366299496001,7.31073943661973,0,10,3,9.25,8.22966507177034,5.16305685454098,10,5.66666666666667,10,3,6.962039930939782,9.071750146344607,6.143758081174954,9.96677630679048,0,10,4,0,0.2
MNE,Montenegro,1.82,1,NA,3.04137323943662,0,0,0,5.26,1.17224880382775,6.70748215604234,3,5.5,0,0,3.094058822970242,1.0827043935570548,4.51663112655725,NA,0,0,0,0,0.3
NGA,Nigeria,6.53984873047028,10,10,9.95158450704226,0,10,3.5,9.75,8.49282296650718,10,7.14285714285714,5,10,3.5,7.985206642416038,9.215651342421316,9.975762881625775,8.451542547285165,0,10,5,0,0.1
PNG,Papua New Guinea,10,NA,7,8.63116197183099,7,0,2.5,9.25,10,5.79067191730249,8.85714285714286,9.5,10,3.5,9.617692030835672,NA,7.069669528625146,7.874007874011812,8.154753215150045,0,4,0,0.4
ROU,Romania,10,NA,10,2.16109154929577,0,0,2,4.84,2.46411483253589,4.46160472557224,2.42857142857143,5.16666666666667,0,0,6.957010852370434,NA,3.1051467386795495,4.928053803045813,0,0,0.5,0,0.4
ZAF,South Africa,10,3,10,7.44278169014085,0,10,3.5,6.75,5.43062200956938,4.26470588235294,6,6.5,0,0,8.215838362577491,4.0363183755383,5.63393955017379,7.745966692414834,0,0,2.5,0,0.3
TJK,Tajikistan,8.60615384615385,NA,7.55248778206961,5.99031690140846,0,9.04290326669846,1.5,7.54,5.90909090909091,10,6.28571428571429,8,0,2,8.055457777184362,NA,7.739713755306755,6.890049371698114,0,0,2.5,0,0.4
