Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,2.845621243247356,3.2990669580953735,0.5564800000000005,0.7119999999999997,7.435384615384615,10,0,0,32.3,0.598095238095266,42.684318648710345,49.486004371430596,13.912,0.356,31.67,6.8,0,0
AGO,8.96,4.1408108640946,5.596326061997703,0.9358500356749051,0.33835999999999977,0.35599999999999987,4.358461538461538,9,0,0,25.2,0.470041156462592,83.94489092996555,14.03775053512356,8.459,0.178,51.67,5.6,0,0
ALB,3.420000000000001,10,0,0,0.2899199999999986,0.6939999999999991,4.070769230769232,5.5,0,0,52.9,0.864660743569811,-34.7344969433428,-59.01664543271256,7.248,0.347,53.54,4.2,0,0
ARE,4.66,10,0.3287310979618656,0,6.8089200000000005,0.6359999999999992,2.5323076923076924,1.25,10,0,46.7,0.874189297959973,4.93096646942801,-9.672821340432304,170.223,0.318,63.54,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0.8653734873072167,3.0111377741447694,10,10,1.073846153846155,3.5,0,0,58.6,0.524652460628153,12.980602309608269,45.16706661217155,683.284,10.861,73.02,3.4,0,0
ARM,3.959999999999999,NA,0,0,1.6391200000000001,5.014,NA,4,0,0,50.2,NA,-35.834015369734594,-51.79279087232901,40.978,2.507,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.1750399999999992,0,NA,4,0,0,29,NA,0.01,0.01,4.376,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.016799999999999926,0,5.087692307692308,0.25,0,0,75.5,0.159908944824599,0.01,0.01,0.42,0,46.93,2.1,0,0
AUT,2.3,7.217643706923472,0,0,2.25364,1.4600000000000009,1.3138461538461534,2.5,0,0,58.5,0.676034450107695,-49.17612109052414,-52.94902098892823,56.341,0.73,71.46,3,0,0
AZE,7.16,4.127234541997124,0,0,1.0370000000000008,1.7759999999999998,1.6507692307692317,5,0,0,34.2,0.469132224633239,-37.740816554883466,-52.902986507210805,25.925,0.888,69.27,4,0,0
