Country,M_EIU_12m_change_norm,M_EIU_Score_12m_norm,M_EIU_Score_12m_raw,M_EIU_12m_change_raw
AFG,6.6505281690140965,6.879768643859219,56.15151515151515,-1.818181818181813
AGO,9.291373239436627,10,74.33333333333333,0
ALB,0,4.947698744769876,46.63636363636363,-6.969696969696969
ARE,0,3.040241201082945,37.24242424242424,-7.90909090909091
ARG,8.45510563380282,10,73.57575757575758,-0.5757575757575779
ARM,4.449823943661981,4.344696037410781,43.666666666666664,-3.3333333333333286
ATG,NA,NA,NA,NA
AUS,6.826584507042261,0,20.696969696969695,-1.6969696969696955
AUT,3.921654929577465,0.5605463942899345,25.03030303030303,-3.696969696969699
AZE,9.731514084507053,7.464312084666505,59.03030303030303,0.30303030303030454
BDI,3.701584507042263,10,73.51515151515152,-3.848484848484844
BEL,9.291373239436627,1.975756829928626,32,0
BEN,0.7086267605633836,5.747600295348266,50.57575757575757,-5.9090909090909065
BFA,2.2051056338028125,3.3725079990155082,38.87878787878788,-4.8787878787878824
BGD,9.07130281690141,3.563253753384201,39.81818181818182,-0.15151515151515582
BGR,2.9533450704225324,2.45569776027566,34.36363636363637,-4.363636363636367
BHR,8.851232394366201,5.624538518336207,49.96969696969697,-0.30303030303030454
BHS,3.1294014084507076,4.393920748215605,43.90909090909091,-4.242424242424242
BIH,10,4.110878661087867,42.51515151515151,1.8181818181818272
BLR,10,8.214988924440071,62.72727272727273,0.6060606060606091
BLZ,2.6892605633802926,6.012183115924196,51.878787878787875,-4.54545454545454
BOL,2.6892605633802926,6.55365493477726,54.54545454545454,-4.54545454545454
BRA,9.115316901408452,5.249200098449425,48.121212121212125,-0.12121212121212466
BRB,9.291373239436627,5.4953236524735445,49.333333333333336,0
BRN,1.5008802816901419,0.7635983263598334,26.03030303030303,-5.363636363636363
BTN,10,2.6833620477479716,35.484848484848484,1.5151515151515156
BWA,1.192781690140853,1.61887767659365,30.24242424242424,-5.575757575757571
CAF,9.687500000000009,5.981417671671181,51.72727272727273,0.2727272727272734
CAN,7.31073943661972,0.4928624169333027,24.6969696969697,-1.3636363636363669
CHE,0.04841549295774428,0,16.03030303030303,-6.363636363636365
CHL,6.650528169014091,0,19.818181818181817,-1.8181818181818166
CHN,0,2.8925670686684732,36.515151515151516,-6.848484848484848
CIV,9.291373239436627,2.7879645582082224,36,0
CMR,5.990316901408454,5.889121338912136,51.27272727272727,-2.2727272727272734
COD,9.07130281690143,10,71.81818181818181,-0.1515151515151416
COG,9.863556338028182,7.581220772827962,59.6060606060606,0.39393939393939803
COL,2.117077464788726,3.9262859955697778,41.60606060606061,-4.939393939393945
COM,NA,NA,NA,NA
CPV,7.046654929577478,4.523135614078269,44.54545454545454,-1.5454545454545396
CRI,4.449823943661971,2.652596603494956,35.333333333333336,-3.3333333333333357
CUB,10,10,75.27272727272727,3.7272727272727337
CYP,0,4.11703174993847,42.54545454545454,-9.54545454545454
CZE,0,2.535687915333499,34.75757575757576,-8.757575757575758
DEU,0,0,19.545454545454543,-8.21212121212121
DJI,5.638204225352116,5.599926162933795,49.84848484848485,-2.5151515151515156
DMA,NA,NA,NA,NA
DNK,7.530809859154937,0,21.21212121212121,-1.212121212121211
DOM,7.970950704225362,5.4768643859217345,49.24242424242424,-0.9090909090909065
DZA,8.631161971830984,7.279719419148416,58.121212121212125,-0.45454545454546036
ECU,10,5.636844696037413,50.03030303030303,0.6363636363636331
EGY,7.4427816901408494,6.295225203051935,53.27272727272727,-1.2727272727272734
ERI,4.889964788732396,9.0887275412257,67.03030303030303,-3.030303030303031
ESP,0,2.904873246369678,36.57575757575757,-9.57575757575757
EST,7.486795774647893,1.1450898350972203,27.90909090909091,-1.2424242424242422
ETH,6.430457746478879,9.685577159734189,69.96969696969697,-1.9696969696969688
FIN,10,0.33288210681762287,23.909090909090907,0.7575757575757613
FJI,NA,NA,NA,NA
FRA,2.9093309859154894,0,21.72727272727273,-4.393939393939398
FSM,NA,NA,NA,NA
GAB,3.1734154929577505,6.215235047994095,52.878787878787875,-4.212121212121211
GBR,0,1.9449913856756105,31.848484848484844,-9.181818181818176
GEO,4.009683098591557,1.8342357863647543,31.3030303030303,-3.636363636363633
GHA,10,6.935146443514645,56.424242424242415,1.575757575757585
GIN,5.990316901408443,9.205636229387157,67.60606060606061,-2.2727272727272805
GMB,7.090669014084501,7.562761506276155,59.51515151515152,-1.5151515151515227
GNB,NA,NA,NA,NA
GNQ,5.770246478873236,8.491877922717208,64.0909090909091,-2.424242424242429
GRC,7.0906690140845114,4.178562638444502,42.84848484848485,-1.5151515151515156
GRD,NA,NA,NA,NA
GTM,6.870598591549294,4.07396012798425,42.333333333333336,-1.6666666666666714
GUY,9.643485915492965,3.1448437115431958,37.75757575757576,0.2424242424242422
HND,2.249119718309867,3.840142751661335,41.18181818181818,-4.848484848484844
HRV,10,2.997169579128725,37.03030303030303,1.9696969696969688
HTI,4.889964788732396,7.2612601525966065,58.03030303030303,-3.030303030303031
HUN,1.3688380281690051,3.8278365739601306,41.121212121212125,-5.45454545454546
IDN,5.770246478873236,4.024735417179426,42.09090909090909,-2.424242424242429
IND,2.029049295774649,3.803224218557718,41,-5
IRL,7.442781690140855,6.153088850595623e-4,22.27272727272727,-1.2727272727272698
IRN,10,10,78.39393939393939,2.2727272727272805
IRQ,8.851232394366212,8.941053408811225,66.3030303030303,-0.30303030303029743
ISL,4.405809859154928,2.8618016244154587,36.36363636363637,-3.363636363636367
ISR,1.8089788732394414,1.938838296825006,31.818181818181817,-5.151515151515149
ITA,0,1.2066207236032511,28.212121212121215,-7.212121212121215
JAM,0,4.01242923947822,42.03030303030303,-6.6969696969696955
JOR,3.789612676056329,3.4894166871769663,39.45454545454546,-3.787878787878796
JPN,1.3688380281690051,0.10521781934531305,22.787878787878793,-5.45454545454546
KAZ,9.291373239436627,6.98437115431947,56.666666666666664,0
KEN,8.3230633802817,7.052055131676104,57,-0.6666666666666643
KGZ,3.349471830985914,6.461358602018216,54.09090909090909,-4.0909090909090935
KHM,10,4.701575190745757,45.42424242424243,0.9090909090909065
