Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,5.132250991162595,2.2303268939540004,1.6747199999999989,3.678,7.067692307692308,10,0,0,32.3,0.598095238095266,76.98376486743892,33.454903409309985,41.868,1.839,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.14048000000000016,0.16600000000000037,6.443076923076924,9,0,0,25.2,0.470041156462592,-24.509803921568626,-19.86186307147341,3.512,0.083,38.12,5.6,0,0
ALB,3.420000000000001,10,0,0,0.03575999999999979,0.09999999999999964,4.230769230769232,5.5,0,0,52.9,0.864660743569811,-28.205128205128215,-67.26881811838298,0.894,0.05,52.5,4.2,0,0
ARE,4.66,10,2.866817926760838,0.06624620134661718,8.6664,1.1560000000000006,3.333846153846154,1.25,10,0,46.7,0.874189297959973,43.002268901412585,0.9936930201992578,216.66,0.578,58.33,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-13.110397587523629,-22.577525333462738,470.711,10.706,69.38,3.4,0,0
ARM,3.959999999999999,NA,0,0.7141676178937377,1.2284000000000006,1.1579999999999995,NA,4,0,0,50.2,NA,-41.272587864721494,10.712514268406077,30.71,0.579,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,29,NA,0.01,0.01,0,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.04975999999999914,0,2.644615384615384,0.25,0,0,75.5,0.159908944824599,0.01,0.01,1.244,0,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,0,0.39655999999999914,0.5079999999999991,1.04153846153846,2.5,0,0,58.5,0.676034450107695,-37.53846153846154,-57.828557979969496,9.914,0.254,73.23,3,0,0
AZE,7.16,4.127234541997124,0,0,0.22147999999999968,0.28200000000000003,3.172307692307692,5,0,0,34.2,0.469132224633239,-54.323379323379314,-28.060702388469156,5.537,0.141,59.38,4,0,0
