Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,10,0,10,4.1128839659793615,High-Intensity conflict,Not Fragile,1.330373045706655,-0.17742320680412768
AGO,0,0,0,8.203753923075322,NA,Not Fragile,0,0.6407507846150643
ALB,0,0,0,5,NA,Not Fragile,0,2.8768586669271192
ARE,0,0,0,5,NA,Not Fragile,0,1.2909944487358056
ARG,0,0,0,0,NA,Not Fragile,0,-1.6492150718201775
ARM,0,0,0,0,NA,Not Fragile,0,-0.96323340270444
ATG,0,0,0,0,NA,Not Fragile,0,-0.3700064349504774
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.7203635830510897
AZE,0,0,10,4.1523661368855045,NA,Not Fragile,1.9654741466040924,-0.16952677262289903
BDI,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,-0.6364726838010836,-1.292511757819104
BEL,0,0,0,5,NA,Not Fragile,0,2.898233344049648
BEN,0,0,0,10,NA,Not Fragile,0,1.8595710993891459
BFA,10,0,10,4.498808439572853,Medium-Intensity conflict,Not Fragile,2.03427826532239,-0.10023831208542934
BGD,0,0,0,9.511790215078962,NA,Not Fragile,0,0.9023580430157924
BGR,0,0,0,0,NA,Not Fragile,0,NA
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,NA,NA,Not Fragile,0,NA
BIH,0,0,1.6952912574299983,0,NA,Not Fragile,0.1695291257429999,-0.4272771810823557
BLR,0,0,0,0,NA,Not Fragile,0,-0.39609342292658023
BLZ,0,0,0,0.7113203107373387,NA,Not Fragile,0,-0.8577359378525322
BOL,0,0,0,0,NA,Not Fragile,0,-0.42499561452893303
BRA,0,0,0,3.583171181981422,NA,Not Fragile,0,-0.2833657636037156
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,5,NA,Not Fragile,0,1.491687932232773
CAF,10,NA,8.476558377379803,4.620951101902884,Medium-Intensity conflict,NA,0.8476558377379804,-0.07580977961942316
CAN,0,0,0,NA,NA,Not Fragile,0,NA
CHE,0,0,0,0,NA,Not Fragile,0,NA
CHL,0,0,0,0,NA,Not Fragile,0,-0.09815511509191678
CHN,0,0,0,9.532132073186784,NA,Not Fragile,0,0.9064264146373568
CIV,0,0,0,6.714961266375687,NA,Not Fragile,-0.44565583039743906,0.34299225327513727
