Country,F_Proteus_Score_norm,F_fews_crm_norm,F_fpv_rating,F_fao_wfp_warning,F_Proteus_Score_raw,F_fshighrisk_raw,F_fpv_raw,F_fao_wfp_warning_raw
AFG,10,10,NA,10,0.661,High risk,NA,10
AGO,9.832535885167465,NA,5,10,0.569,NA,0.28,10
ALB,3.3971291866028706,NA,3,NA,0.3,NA,0.04,NA
ARE,1.0765550239234436,NA,5,NA,0.203,NA,0.06,NA
ARG,2.2727272727272734,NA,7,NA,0.253,NA,0.47,NA
ARM,2.703349282296651,NA,1,NA,0.271,NA,0.02,NA
ATG,NA,NA,1,NA,NA,NA,0.01,NA
AUS,0.8851674641148328,NA,NA,NA,0.195,NA,NA,NA
AUT,0,NA,3,NA,0.097,NA,0.03,NA
AZE,4.234449760765551,NA,3,NA,0.335,NA,0.05,NA
BDI,9.92822966507177,5,NA,NA,0.573,Not high risk,NA,NA
BEL,0,NA,3,NA,0.08,NA,0.03,NA
BEN,8.612440191387561,NA,3,NA,0.518,NA,0.03,NA
BFA,8.755980861244021,5,3,10,0.524,Not high risk,0.04,10
BGD,8.038277511961724,NA,NA,NA,0.494,NA,NA,NA
BGR,2.4162679425837315,NA,5,NA,0.259,NA,0.07,NA
BHR,0.5263157894736832,NA,5,NA,0.18,NA,0.07,NA
BHS,3.588516746411483,NA,1,NA,0.308,NA,0.02,NA
BIH,3.2296650717703344,NA,1,NA,0.293,NA,0.01,NA
BLR,1.028708133971291,NA,3,NA,0.201,NA,0.05,NA
BLZ,4.665071770334928,NA,NA,NA,0.353,NA,NA,NA
BOL,8.086124401913876,NA,1,NA,0.496,NA,0.01,NA
BRA,3.732057416267942,NA,NA,NA,0.314,NA,NA,NA
BRB,1.8181818181818183,NA,NA,NA,0.234,NA,NA,NA
BRN,1.8181818181818183,NA,3,NA,0.234,NA,0.03,NA
BTN,6.985645933014355,NA,5,NA,0.45,NA,0.09,NA
BWA,6.937799043062202,NA,3,NA,0.448,NA,0.03,NA
CAF,10,NA,NA,10,0.695,NA,NA,10
CAN,0.8373205741626784,NA,3,NA,0.193,NA,0.03,NA
CHE,0,NA,1,NA,0.105,NA,0.01,NA
CHL,3.421052631578947,NA,5,NA,0.301,NA,0.06,NA
CHN,2.918660287081341,NA,NA,NA,0.28,NA,NA,NA
CIV,7.296650717703351,NA,3,NA,0.463,NA,0.05,NA
CMR,8.133971291866029,10,3,NA,0.498,High risk,0.03,NA
COD,10,7,NA,10,0.629,Not high risk,NA,10
COG,10,NA,NA,NA,0.576,NA,NA,NA
COL,5.07177033492823,NA,5,NA,0.37,NA,0.07,NA
COM,8.229665071770336,NA,NA,NA,0.502,NA,NA,NA
CPV,6.363636363636363,NA,3,NA,0.424,NA,0.03,NA
CRI,3.3971291866028706,NA,1,NA,0.3,NA,-0.01,NA
