Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Afghanistan,AFG,7.540000000000001,10,3.2990669580953735,2.845621243247356,7.435384615384615,0,0.5564800000000005,0.7119999999999997,6.053499365034384,0,10,10,10,NA,10,4.119464009919911,10,0,6.879768643859219,6.6505281690140965,9.5,0,0,0,7,10,NA,NA,7,1.273220607212611,NA
Angola,AGO,8.96,9,0.9358500356749051,5.596326061997703,4.358461538461538,0,0.33835999999999977,0.35599999999999987,4.1408108640946,0,9.832535885167465,10,NA,5,0,8.203753923075322,0,0,10,9.291373239436627,3.5,NA,0,0,0,8.142857142857142,NA,0,7,NA,9.46943355444598
Albania,ALB,3.420000000000001,5.5,0,0,4.070769230769232,0,0.2899199999999986,0.6939999999999991,10,0,3.3971291866028706,NA,NA,3,0,5,0,0,4.947698744769876,0,9,NA,0,0,0,2.8571428571428568,1.0000000000000018,NA,0,NA,NA
United Arab Emirates,ARE,4.66,1.25,0,0.3287310979618656,2.5323076923076924,0,6.8089200000000005,0.6359999999999992,10,10,1.0765550239234436,NA,NA,5,0,5,0,0,3.040241201082945,0,5.333333333333334,NA,0,0,0,0.4285714285714288,NA,NA,7,NA,NA
Argentina,ARG,2.2799999999999994,3.5,3.0111377741447694,0.8653734873072167,1.073846153846155,0,10,10,4.956516323592746,0,2.2727272727272734,NA,NA,7,0,0,0,0,10,8.45510563380282,5,NA,0,0,0,2.428571428571429,3.8533333333333353,0,0,NA,10
Armenia,ARM,3.959999999999999,4,0,0,NA,0,1.6391200000000001,5.014,NA,0,2.703349282296651,NA,NA,1,0,0,0,0,4.344696037410781,4.449823943661981,5.833333333333333,NA,0,0,0,2.7142857142857144,10,NA,NA,NA,6.519187056029905
Antigua and Barbuda,ATG,8.2,4,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.1750399999999992,0,NA,0,NA,NA,NA,1,0,0,0,0,NA,NA,4.500000000000001,NA,0,0,0,2.7142857142857144,NA,NA,NA,NA,NA
Australia,AUS,0,0.25,6.666666666674814e-4,6.666666666674814e-4,5.087692307692308,0,0.016799999999999926,0,0,0,0.8851674641148328,NA,NA,NA,0,NA,0,0,0,6.826584507042261,6.333333333333333,NA,0,0,0,0.7142857142857135,7.699999999999996,NA,7,NA,NA
Austria,AUT,2.3,2.5,0,0,1.3138461538461534,0,2.25364,1.4600000000000009,7.217643706923472,0,0,NA,NA,3,0,0,0,0,0.5605463942899345,3.921654929577465,2.5,NA,0,0,0,0.4285714285714288,4.333333333333332,NA,3,NA,NA
Azerbaijan,AZE,7.16,5,0,0,1.6507692307692317,0,1.0370000000000008,1.7759999999999998,4.127234541997124,0,4.234449760765551,NA,NA,3,0,4.1523661368855045,10,0,7.464312084666505,9.731514084507053,6.500000000000001,NA,0,0,7,3.8571428571428577,5.643333333333335,0,0,NA,NA
Burundi,BDI,9.44,10,6.666666666674814e-4,6.666666666674814e-4,9.663076923076924,0,0.11148000000000025,0,4.299045343275116,0,9.92822966507177,NA,5,NA,10,0,0,0,10,3.701584507042263,4.333333333333334,NA,0,0,0,10,NA,NA,0,NA,9.313796742209988
Belgium,BEL,1.8000000000000007,2,0,0,2.5953846153846154,0,6.82236,2.662,6.770332000252788,0,0,NA,NA,3,0,5,0,0,1.975756829928626,9.291373239436627,1.3333333333333321,NA,0,0,0,0.4285714285714288,10,NA,3,NA,NA
Benin,BEN,8.24,9.5,0,0,6.618461538461539,0,0.015560000000000684,0,2.330799837266798,0,8.612440191387561,NA,NA,3,0,10,0,0,5.747600295348266,0.7086267605633836,3.166666666666668,NA,0,0,7,9.142857142857144,NA,NA,3,NA,0.973648806288665
Burkina Faso,BFA,7.9799999999999995,10,0,0,8.221538461538461,0,0.0035600000000002296,0.013999999999999346,3.0041812214930994,10,8.755980861244021,10,5,3,10,4.25825091773008,10,10,3.3725079990155082,2.2051056338028125,4.500000000000001,NA,0,0,7,9.714285714285714,NA,NA,7,4.201369966779437,6.355309782317491
Bangladesh,BGD,7,8,0,0,1.218461538461538,0,0.3397199999999998,0.33999999999999986,7.0074132043683814,0,8.038277511961724,NA,NA,NA,0,9.511790215078962,0,0,3.563253753384201,9.07130281690141,10,NA,0,0,0,6.857142857142857,NA,0,0,3.2911300659179688,10
Bulgaria,BGR,4.88,4.25,0,0,3.7338461538461543,0,1.4506800000000002,7.812,7.3944975376783475,0,2.4162679425837315,NA,NA,5,0,0,0,0,2.45569776027566,2.9533450704225324,4.333333333333334,NA,0,0,0,2.7142857142857144,4.666666666666664,10,3,10,6.150708442372901
Bahrain,BHR,6.120000000000001,4.75,4.516414717239594,7.525395731010975,1.9230769230769234,0,10,10,10,0,0.5263157894736832,NA,NA,5,0,0,0,0,5.624538518336207,8.851232394366201,0,NA,0,0,0,1.7142857142857153,2.99,NA,3,NA,NA
