"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"1","Afghanistan","AFG","High","High","Apr-20",10,-0.63,1.502,-1,-4,-2,-3,6,2.9,8.014440433213,10,2.9,0,0,0,1,0,0,-1.77756485229132,10,3.5,7.14285714285714
"2","Angola","AGO",NA,NA,NA,NA,-6.304,2.189,0.7,-6,-2.5,-6.7,10,0.11,10,7.5,0.131108853125307,30,0,0.904252297136364,1,0,0,-1.24225650032422,9.16391386013989,3,9.52380952380952
"3","Albania","ALB",NA,NA,NA,NA,-1.392,-1.346,-2,-5.4,-3.1,-3.4,6.8,2.8,8.08664259927798,5,1.9,50,0,4.0046357615894,1,0,0,-0.606327684474719,7.83306787327079,4.5,2.38095238095238
"4","United Arab Emirates","ARE",NA,NA,NA,NA,-1.991,1.966,-0.8,-11.1,-7.1,-10.3,10,2,8.66425992779783,5,2.11111111111111,62.5,50,28.5714285714286,1,0,0,1.63731114572766,3.13767169253663,NA,NA
"5","Argentina","ARG",NA,NA,NA,NA,-6.703,-5.493,-3.9,NA,NA,NA,NA,6,5.77617328519856,2.5,6,5,0,5.32023552705127,1,0.224482511689927,0,-1.24359486627646,9.16671473802452,NA,NA
"6","Armenia","ARM",NA,NA,NA,NA,-4.785,-1.755,-1,-5,-2.5,-4,8,2,8.66425992779783,NA,2.37329042638777,22.7272727272727,0,0,1,0,0,-1.319184437578,9.32490552150304,4.5,2.38095238095238
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,-2.841,-3.1,-3.7,-9.5,-5.6,-5.7,10,0.5,9.74729241877256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Australia","AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,3.24909747292419,2.5,16.9,66.6666666666667,0,10.6460755813953,1,3.12209302325581,0,1.66901074585504,3.07133205740227,NA,NA
"9","Austria","AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,3.24909747292419,0,19.9093374152635,0,0,14.64,1,0,0,-0.352857458663545,7.30261568364798,NA,NA
"10","Azerbaijan","AZE",NA,NA,NA,NA,-1.366,5.547,8.4,-12.8,-9.7,-21.2,10,4.1,7.14801444043321,5,6.07195459074431,1.95901544177406,0,0,1,0.42398931546925,1,-0.505499488990163,7.62205872259309,4,4.76190476190476
