"","Countryname","Country","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning"
"1","Afghanistan","AFG",0.661,10,"Afghanistan",202,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",36374157.1095,20262310.6564,55.7052376372675,0,0,6768118.3439,18.6069420757308,0,0,37.0982955615366,NA,12.9858897441402,NA,37.0982955615366,"High risk",2021-02-01,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"2","Angola","AGO",0.569,9.83253588516746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.27,0.28,0.29,0.3,NA,NA,NA,0.28,5,10
"3","Albania","ALB",0.3,3.39712918660287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.04,0.03,0.03,0.04,0.05,0.04,0.04,3,NA
"4","United Arab Emirates","ARE",0.203,1.07655502392344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.06,0.06,0.05,0.04,NA,NA,NA,0.06,5,NA
"5","Argentina","ARG",0.253,2.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.5,0.47,0.46,0.45,0.41,NA,NA,0.47,7,NA
"6","Armenia","ARM",0.271,2.70334928229665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,1,NA
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,0.01,NA,NA,NA,NA,NA,0.01,1,NA
"8","Australia","AUS",0.195,0.885167464114833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Austria","AUT",0.097,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.01,0.03,0.03,0.02,0.03,0.03,0.03,0.03,3,NA
"10","Azerbaijan","AZE",0.335,4.23444976076555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.05,3,NA
