"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_w8forecast","H_w7forecast","H_Population","H_current","H_week_increase","H_new_death_per_m","H_add_death_prec_current","H_add_death_prec_current_norm"
"1","Afghanistan","AFG",32.3,7.54,0,0.2,NA,NA,0.2,0.3,0.2,0,NA,NA,NA,NA,2.826,0.11,0.565200000000001,0.550000000000001,20201029,NA,28.57,NA,25,NA,29.17,NA,NA,7.91230769230769,7.5,2011,1897,38928.341,1511,114,2.92845770129274,33.0906684315023,3.30906684315023
"2","Angola","AGO",25.2,8.96,0.3,0.2,NA,NA,1,0.6,0.5,4.76190476190474,NA,NA,NA,NA,7.889,0.096,1.5778,0.48,20201029,NA,61.31,NA,0,NA,71.53,NA,NA,2.87538461538461,10,662,573,32866.268,267,89,2.70794359736858,147.940074906367,10
"3","Albania","ALB",52.9,3.42,0,0.6,NA,NA,0.5,0,0.3,0,NA,NA,NA,NA,103.154,1.44,10,7.2,20201029,NA,53.57,NA,50,NA,54.17,NA,NA,4.06615384615385,5,881,829,2877.8,473,52,18.0693585377719,86.2579281183932,8.62579281183932
"4","United Arab Emirates","ARE",46.7,4.66,0,0.9,NA,NA,0.5,0.5,0.5,4.76190476190474,NA,NA,NA,NA,144.874,0.173,10,0.865,20201029,NA,60.71,NA,50,NA,62.5,NA,NA,2.96769230769231,5,616,598,9890.4,475,18,1.8199466148993,29.6842105263158,2.96842105263158
"5","Argentina","ARG",58.6,2.28,0,0.5,NA,NA,1,0.8,0.6,7.14285714285711,NA,NA,NA,NA,308.531,8.313,10,10,20201029,NA,79.46,NA,75,NA,80.21,NA,NA,0.0830769230769235,2.5,48272,46488,45195.777,28613,1784,39.4727144529455,68.7065319959459,6.87065319959459
"6","Armenia","ARM",50.2,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769.285,6.846,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3691,3394,2963.234,1157,297,100.228331613366,219.014693171997,10
"7","Antigua and Barbuda","ATG",29,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.294,0,1.4588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,97.928,3,0,0,0,0
"8","Australia","AUS",75.5,0,0,1,NA,NA,1,0.5,0.6,7.14285714285711,NA,NA,NA,NA,0.622,0,0.1244,0,20201029,NA,73.21,NA,75,NA,72.92,NA,NA,1.04461538461539,2.5,916,915,25499.881,905,1,0.0392158692818998,1.21546961325967,0.121546961325967
"9","Austria","AUT",58.5,2.3,0,0.8,NA,NA,0.5,0.4,0.4,2.38095238095237,NA,NA,NA,NA,306.639,1.253,10,6.265,20201029,NA,70.83,NA,87.5,NA,68.06,NA,NA,1.41076923076923,1.25,3071,2740,9006.4,965,331,36.7516432758927,218.238341968912,10
"10","Azerbaijan","AZE",34.2,7.16,0,0.7,NA,NA,1,NA,0.6,7.14285714285711,NA,NA,NA,NA,74.252,0.747,10,3.735,20201029,NA,62.2,NA,0,NA,72.57,NA,NA,2.73846153846154,10,1964,1814,10139.175,664,150,14.7941030705161,195.78313253012,10
"11","Burundi","BDI",22.8,9.44,1,0.3,NA,NA,0.8,0,0.5,4.76190476190474,NA,NA,NA,NA,0.096,0,0.0191999999999997,0,20201029,NA,14.88,NA,12.5,NA,15.28,NA,NA,10,8.75,1,1,11890.781,1,0,0,0,0
"12","Belgium","BEL",61,1.8,0,0.6,NA,NA,0.8,0.5,0.4,2.38095238095237,NA,NA,NA,NA,NA,NA,NA,NA,20201029,NA,55.65,NA,37.5,NA,58.68,NA,NA,3.74615384615385,6.25,15351,15264,11589.616,10737,87,7.50671980849064,42.9728974573903,4.29728974573903
"13","Benin","BEN",28.8,8.24,0.9,0.4,NA,NA,0.5,0.6,0.6,7.14285714285711,NA,NA,NA,NA,0.719,0,0.143800000000001,0,20201029,NA,56.55,NA,62.5,NA,55.56,NA,NA,3.60769230769231,3.75,41,41,12123.198,41,0,0,0,0
"14","Burkina Faso","BFA",30.1,7.98,0.8,0.3,NA,NA,1,0.6,0.7,9.52380952380948,NA,NA,NA,NA,0.41,0.014,0.0820000000000007,0.0700000000000003,20201029,NA,32.14,NA,0,NA,37.5,NA,NA,7.36307692307692,10,72,71,20903.278,65,1,0.0478393867220251,10.7692307692308,1.07692307692308
"15","Bangladesh","BGD",35,7,0,0.4,NA,NA,0.8,0.5,0.4,2.38095238095237,NA,NA,NA,NA,8.672,0.121,1.7344,0.605,20201029,NA,74.11,NA,50,NA,78.13,NA,NA,0.906153846153847,5,6924,6793,164689.383,5780,131,0.795436825457049,19.7923875432526,1.97923875432526
