"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"1","Afghanistan","AFG",81.5,81.5,84.2272727272727,0,-2.72727272727272,6.95081967213115,6.6505281690141,6.87976864385922
"2","Angola","AGO",111.5,111.5,111.5,0,0,10,9.29137323943663,10
"3","Albania","ALB",59.5,69.5,69.9545454545455,-10,-10.4545454545455,4.0655737704918,0,4.94769874476988
"4","United Arab Emirates","ARE",44,56.5,55.8636363636364,-12.5,-11.8636363636364,2.0327868852459,0,3.04024120108294
"5","Argentina","ARG",109.5,109.5,110.363636363636,0,-0.863636363636374,10,8.45510563380281,10
"6","Armenia","ARM",60.5,58,65.5,2.5,-5,4.19672131147541,4.44982394366197,4.34469603741078
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA
"8","Australia","AUS",28.5,28.5,31.0454545454545,0,-2.54545454545454,0,6.82658450704226,0
"9","Austria","AUT",32,37,37.5454545454545,-5,-5.54545454545455,0.459016393442623,3.92165492957747,0.560546394289933
"10","Azerbaijan","AZE",89,89,88.5454545454545,0,0.454545454545453,7.9344262295082,9.73151408450705,7.4643120846665
"11","Burundi","BDI",104.5,104.5,110.272727272727,0,-5.77272727272728,9.9672131147541,3.70158450704225,10
"12","Belgium","BEL",48,48,48,0,0,2.55737704918033,9.29137323943663,1.97575682992862
"13","Benin","BEN",67,72,75.8636363636364,-5,-8.86363636363636,5.04918032786885,0.708626760563384,5.74760029534827
"14","Burkina Faso","BFA",51,53,58.3181818181818,-2,-7.31818181818182,2.95081967213115,2.20510563380282,3.37250799901551
"15","Bangladesh","BGD",59.5,59.5,59.7272727272727,0,-0.227272727272727,4.0655737704918,9.07130281690142,3.5632537533842
"16","Bulgaria","BGR",45,45,51.5454545454545,0,-6.54545454545455,2.16393442622951,2.95334507042254,2.45569776027566
