"","Countryname","Country","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK","RELIABILITY_UNDERLYING_HEALTH","RELIABILITY_UNDERLYING_FOOD_SECURITY","RELIABILITY_UNDERLYING_MACRO_FISCAL","RELIABILITY_UNDERLYING_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_UNDERLYING_NATURAL_HAZARDS","RELIABILITY_UNDERLYING_FRAGILITY_INSTITUTIONS","RELIABILITY_EMERGING_HEALTH","RELIABILITY_EMERGING_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_EMERGING_MACRO_FISCAL","RELIABILITY_EMERGING_NATURAL_HAZARDS","RELIABILITY_EMERGING_FRAGILITY_INSTITUTIONS"
"1","Afghanistan","AFG",0,0.2,0,0,0,0,0,0,0,0.5,1,0,0.333333333333333,0
"2","Angola","AGO",0,0.1,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0,0
"3","Albania","ALB",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"4","United Arab Emirates","ARE",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0.333333333333333
"5","Argentina","ARG",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"6","Armenia","ARM",0,0.3,0,0,0,0,0,0,0.333333333333333,1,0.666666666666667,0,0.333333333333333,0
"7","Antigua and Barbuda","ATG",0.2,0.4,0,1,0.25,0,0,0,0.333333333333333,1,1.66666666666667,0.25,0.333333333333333,0.333333333333333
"8","Australia","AUS",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0.333333333333333
"9","Austria","AUT",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"10","Azerbaijan","AZE",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"11","Burundi","BDI",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"12","Belgium","BEL",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"13","Benin","BEN",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"14","Burkina Faso","BFA",0,0.1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0
"15","Bangladesh","BGD",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"16","Bulgaria","BGR",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"17","Bahrain","BHR",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"18","Bahamas","BHS",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0
"19","Bosnia and Herzegovina","BIH",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"20","Belarus","BLR",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"21","Belize","BLZ",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"22","Bolivia","BOL",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"23","Brazil","BRA",0,0.3,0,0,0,0,0,0,0.166666666666667,1.5,0.333333333333333,0,0,0
"24","Barbados","BRB",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0.333333333333333
