Indicator,Changed_Countries,Update_Date
FCS,NA,2020-07-09
Proteus Composite Index,NA,NA
Global Health Security Index,NA,2019-10-01
INFORM Rating,NA,2020-09-12
Operational Risk Score,NA,NA
INFORM Natural Multi-hazard Rating,NA,Mid 2021
INFORM Socio-economic Vulnerability Index,NA,Mid 2021
Political Fatalities,NA,2021-04-02
Forcibly Displaced People,NA,2020-05-01
Political Disturbance,NA,2021-04-05
FAO WFP Warning,NA,2021-03-01
FEWS NET Score,NA,2021-02-01
Food Price Inflation (Secondary Indicator),NA,2020-12-01
"Covid Growth, Cases (biweekly)",NA,2021-04-06
"Covid Growth, Deaths (biweekly)",NA,2021-04-06
Oxford Gov Response Index,NA,2021-04-13
ACAPS Health Crisis Tracker,NA,NA
New Covid Cases per 1M,NA,2021-04-06
New Covid Deaths per 1M,NA,2021-04-06
Oxford Lockdown Rollback Index,NA,2021-03-04
WHO Disease Outbreak News,NA,2021-02-26
Operational Risk Score,NA,NA
GDACS Live Hazard Tracker,NA,2021-04-06
Locust Threat Level,NA,2021-04-03
INFORM Severity,NA,2021-03-31
Seasonal Forecast Index,NA,2021-03-15
"Unemployment Rate, % Change",NA,2020-04-01
MFRI Household Level Risk,NA,NA
Income Support,NA,Mid 2021
COVID Phone Survey Index,NA,2021-03-16
"People Below $1.90 Poverty Line, % Change",NA,NA
