"","iso3","month_yr","fatal_month","fatal_z","fatal_z_norm"
"1","ABW",Nov 2020,0,NA,0
"2","AFG",Nov 2020,2199,-0.577868453226516,2.11065773386742
"3","AGO",Nov 2020,2,-0.321804605847336,3.39097697076332
"4","ALB",Nov 2020,0,-0.166666666666667,4.16666666666667
"5","ARG",Nov 2020,0,-0.702475200679052,1.48762399660474
"6","ARM",Nov 2020,3,2.07130577431565,10
"7","AZE",Nov 2020,206,0.668153048656807,8.34076524328404
"8","BDI",Nov 2020,14,-0.69935337332165,1.50323313339175
"9","BEN",Nov 2020,1,-0.627547633759479,1.86226183120261
"10","BFA",Nov 2020,74,-0.509906349190706,2.45046825404647
"11","BGD",Nov 2020,15,-0.761602393808803,1.19198803095598
"12","BGR",Nov 2020,0,NA,0
"13","BHR",Nov 2020,0,-0.166666666666667,4.16666666666667
"14","BIH",Nov 2020,0,-0.23914335132648,3.8042832433676
"15","BLR",Nov 2020,1,1.58692905182104,10
"16","BLZ",Nov 2020,3,-0.461809773551876,2.69095113224062
"17","BOL",Nov 2020,0,-0.504635093325464,2.47682453337268
"18","BRA",Nov 2020,336,-0.825446750309822,0.87276624845089
"19","BRB",Nov 2020,0,-0.50395263067897,2.48023684660515
"20","BWA",Nov 2020,4,3.19178873045783,10
"21","CAF",Nov 2020,9,-0.907512176702494,0.462439116487531
"22","CHL",Nov 2020,1,-0.19442756778387,4.02786216108065
"23","CHN",Nov 2020,1,-0.243034459729837,3.78482770135081
"24","CIV",Nov 2020,20,1.94133034801214,10
"25","CMR",Nov 2020,63,-0.874736410480338,0.626317947598309
"26","COD",Nov 2020,293,-0.300201333183444,3.49899333408278
"27","COL",Nov 2020,80,0.662449834726696,8.31224917363348
"28","CRI",Nov 2020,0,-0.406594383924816,2.96702808037592
"29","CUB",Nov 2020,0,-0.316568345292733,3.41715827353633
"30","CUW",Nov 2020,0,NA,0
"31","CYM",Nov 2020,0,NA,0
"32","CYP",Nov 2020,0,-0.23914335132648,3.8042832433676
"33","DJI",Nov 2020,0,-0.295151380765969,3.52424309617015
"34","DOM",Nov 2020,0,-0.775158211699107,1.12420894150447
"35","DZA",Nov 2020,0,-0.950768868430117,0.246155657849416
"36","ECU",Nov 2020,0,-0.541145099526581,2.2942745023671
"37","EGY",Nov 2020,24,-1.36812099508422,0
"38","ERI",Nov 2020,0,-0.409673245199351,2.95163377400324
"39","ETH",Nov 2020,1303,5.67987210939111,10
"40","GAB",Nov 2020,0,-0.298540717013266,3.50729641493367
"41","GEO",Nov 2020,0,-0.416211873007394,2.91894063496303
"42","GHA",Nov 2020,0,-1.30491696173627,0
"43","GIN",Nov 2020,1,-0.539480091816093,2.30259954091953
"44","GLP",Nov 2020,0,NA,0
"45","GMB",Nov 2020,0,-0.359824973878903,3.20087513060549
"46","GRC",Nov 2020,0,-0.686988016678116,1.56505991660942
"47","GTM",Nov 2020,4,-1.37212122994826,0
"48","GUF",Nov 2020,0,NA,0
"49","HND",Nov 2020,42,-0.648511386298642,1.75744306850679
"50","HRV",Nov 2020,0,-0.23914335132648,3.8042832433676
"51","HTI",Nov 2020,24,0.114998204723207,5.57499102361603
"52","IDN",Nov 2020,12,-0.100978823418165,4.49510588290918
"53","IND",Nov 2020,106,-0.566027521814451,2.16986239092775
"54","IRN",Nov 2020,12,-0.214455992073687,3.92772003963157
"55","IRQ",Nov 2020,193,-0.975144389977192,0.124278050114041
"56","ISR",Nov 2020,0,-0.386431346166959,3.0678432691652
"57","JAM",Nov 2020,3,-1.61435673992271,0
"58","JOR",Nov 2020,0,-0.421127377315126,2.89436311342437
"59","JPN",Nov 2020,0,NA,0
"60","KAZ",Nov 2020,0,-0.240816707552782,3.79591646223609
"61","KEN",Nov 2020,21,-0.321619320252869,3.39190339873566
"62","KGZ",Nov 2020,0,-0.446459286982127,2.76770356508936
"63","KHM",Nov 2020,2,0.601210778194231,8.00605389097115
"64","KOR",Nov 2020,0,NA,0
"65","LBN",Nov 2020,1,-0.422681798844156,2.88659100577922
"66","LBR",Nov 2020,0,-0.516811394121702,2.41594302939149
"67","LBY",Nov 2020,7,-1.00661060663978,0
"68","LCA",Nov 2020,0,NA,0
"69","LKA",Nov 2020,13,0.0685702944229133,5.34285147211457
"70","LSO",Nov 2020,0,-0.684653196881458,1.57673401559271
"71","MAR",Nov 2020,0,-0.465394718941171,2.67302640529415
"72","MDA",Nov 2020,0,NA,0
"73","MDG",Nov 2020,16,-0.379484209798078,3.10257895100961
"74","MEX",Nov 2020,616,-0.99802224862613,0.00988875686934954
"75","MKD",Nov 2020,0,-0.166666666666667,4.16666666666667
"76","MLI",Nov 2020,125,-0.535242112661237,2.32378943669382
"77","MMR",Nov 2020,11,-0.797297770266791,1.01351114866605
"78","MNE",Nov 2020,0,-0.242640596097312,3.78679701951344
"79","MNG",Nov 2020,0,-0.166666666666667,4.16666666666667
"80","MOZ",Nov 2020,172,1.39531154623816,10
"81","MRT",Nov 2020,0,-0.451938453788867,2.74030773105566
"82","MTQ",Nov 2020,0,NA,0
"83","MWI",Nov 2020,8,1.61520084477164,10
"84","MYS",Nov 2020,0,-0.662984668656804,1.68507665671598
"85","NAM",Nov 2020,0,-0.34304762217472,3.2847618891264
"86","NER",Nov 2020,18,-0.636937212164627,1.81531393917686
"87","NGA",Nov 2020,674,0.666882161835467,8.33441080917734
"88","NIC",Nov 2020,0,-0.364225463695156,3.17887268152422
"89","NPL",Nov 2020,2,0.392275928769872,6.96137964384936
"90","PAK",Nov 2020,67,-0.435681920229267,2.82159039885367
"91","PAN",Nov 2020,1,2.20479275922049,10
"92","PER",Nov 2020,2,-0.137142142373604,4.31428928813198
"93","PHL",Nov 2020,83,-1.37857883623301,0
"94","PRI",Nov 2020,8,-0.303844355955876,3.48077822022062
"95","PRK",Nov 2020,1,0.419848486067257,7.09924243033628
"96","PRY",Nov 2020,5,2.34822377599263,10
"97","PSE",Nov 2020,2,-0.751918055014437,1.24040972492781
"98","ROM",Nov 2020,0,-0.212649096501476,3.93675451749262
"99","RUS",Nov 2020,0,-1.17020047838132,0
"100","RWA",Nov 2020,1,-0.381990265206046,3.09004867396977
"101","SAU",Nov 2020,3,-0.98641883161648,0.0679058419176002
"102","SDN",Nov 2020,11,-1.15600711743729,0
"103","SEN",Nov 2020,0,-0.374137720153255,3.12931139923372
"104","SLV",Nov 2020,16,-1.30245846827068,0
"105","SOM",Nov 2020,232,-0.983817119220724,0.0809144038963812
"106","SRB",Nov 2020,0,-0.372677996249965,3.13661001875018
"107","SSD",Nov 2020,87,-0.602287581299003,1.98856209350499
"108","SUR",Nov 2020,0,-0.400891862868637,2.99554068565682
"109","SWZ",Nov 2020,0,-0.346410161513776,3.26794919243112
"110","SYR",Nov 2020,620,-0.824070616870035,0.879646915649827
"111","TCD",Nov 2020,54,0.28039820727644,6.4019910363822
"112","TGO",Nov 2020,0,-0.591631644049048,2.04184177975476
"113","THA",Nov 2020,5,-1.13460323896266,0
"114","TJK",Nov 2020,0,-0.378741064010224,3.10629467994888
"115","TTO",Nov 2020,9,-0.851627876361112,0.741860618194437
"116","TUN",Nov 2020,0,-1.25506611140774,0
"117","TUR",Nov 2020,11,-0.977290044347101,0.113549778264495
"118","TWN",Nov 2020,0,NA,0
"119","TZA",Nov 2020,8,0.863298563115631,9.31649281557815
"120","UGA",Nov 2020,64,3.98239927772664,10
"121","UKR",Nov 2020,4,-0.911730332912394,0.441348335438033
"122","URY",Nov 2020,0,-0.311399577664609,3.44300211167695
"123","UZB",Nov 2020,0,-0.424940649271821,2.87529675364089
"124","VEN",Nov 2020,10,-1.11294486879849,0
"125","XKX",Nov 2020,0,-0.278886675511358,3.60556662244321
"126","YEM",Nov 2020,1667,-0.781055173768448,1.09472413115776
"127","ZAF",Nov 2020,9,-0.364580499866879,3.17709750066561
"128","ZMB",Nov 2020,1,-0.1960001929849,4.0199990350755
"129","ZWE",Nov 2020,2,-0.0410049375955062,4.79497531202247
