"","Country","F_Artemis_Score"
"1","Afghanistan",0.476335221
"2","Burkina Faso",0.118343647
"3","Chad",0.374706742
"4","Congo DRC",0.44045633
"5","Ethiopia",0.249156278
"6","Guatemala",0.136237136
"7","Haiti",0.305023167
"8","Kenya",0.145021249
"9","Malawi",0.466397747
"10","Mali",0.104009132
"11","Mauritania",0.421345361
"12","Mozambique",0.303404623
"13","Niger",0.216210932
"14","Nigeria",0.058721064
"15","Somalia",0.363166906
"16","South Sudan",0.889669262
"17","Sudan",0.412665588
"18","Uganda",0.054216755
"19","Yemen",0.979144794
"20","Zambia",0.066662409
"21","Zimbabwe",0.522293728
