Countryname,FCS_FSI_Normalised,REIGN_Normalised,Displaced_UNHCR_Normalised,BRD_Normalised,Number_of_High_Risk_Flags,Overall_Conflict_Risk_Score
Libya,10,0,8.211386595,0,1,10
Sudan,10,0,1.598519913,0,1,10
Afghanistan,10,0,10,0.757020675,2,10
Mozambique,10,0,10,10,3,10
Niger,10,0,10,1.71742042,2,10
Algeria,8.288888889,0,5,0,0,8.288888889
Ethiopia,10,0,8.75245103,10,2,10
Iraq,10,0,0,0,1,10
South Sudan,10,0,0,0,1,10
Central African Republic,10,NA,9.238279189,0,1,10
Chad,10,0,10,3.750480089,2,10
Croatia,5.122222222,0,5,2.71974128,0,5.122222222
Lebanon,10,0,5,10,2,10
Maldives,7.355555556,0,5,NA,0,7.355555556
Mauritania,9.855555556,0,5,5.621842858,0,9.855555556
Ukraine,7.666666667,0,0,0,0,7.666666667
Zimbabwe,10,0,10,8.997465318,2,10
Belarus,7.311111111,0,5,10,1,10
Brazil,8.111111111,0,5,2.872844451,0,8.111111111
Cabo Verde,7.2,0,5,NA,0,7.2
Haiti,10,0,5,4.159271065,1,10
Honduras,8.533333333,0,10,0.851881687,1,10
Peru,7.511111111,0,5,1.464466094,0,7.511111111
Serbia,7.344444444,0,0,1.79215525,0,7.344444444
Somalia,10,10,10,0,3,10
Yemen,10,0,10,0.33962558,2,10
Armenia,7.133333333,0,5,10,1,10
Cameroon,10,0,10,2.872879772,2,10
Colombia,8.511111111,0,9.628085828,10,1,10
Congo DR,10,0,10,6.515610029,2,10
Grenada,6.133333333,0,5,NA,0,6.133333333
Guinea,10,0,5,10,2,10
Iran,9.266666667,0,5,3.866484335,0,9.266666667
Kenya,10,0,5,1.116743311,1,10
Malawi,9.333333333,0,5,10,1,10
Mali,10,0,10,4.191310134,2,10
Montenegro,6.166666667,0,5,3.507296415,0,6.166666667
Nigeria,10,0,8.049735854,6.194378753,1,10
Papua New Guinea,10,0,5,NA,1,10
Romania,5.188888889,0,5,NA,0,5.188888889
South Africa,7.788888889,0,5,7.344291464,0,7.788888889
Tajikistan,8.388888889,0,5,1.318996097,0,8.388888889
Zambia,9.388888889,0,5,7.794479115,0,9.388888889
Albania,6.533333333,0,5,3.467617103,0,6.533333333
Antigua and Barbuda,5.788888889,0,5,NA,0,5.788888889
Argentina,5.122222222,0,5,3.370921767,0,5.122222222
Barbados,5.155555556,0,5,0.236694884,0,5.155555556
Bolivia,8.333333333,0,5,1.187784488,0,8.333333333
Burkina Faso,10,0,10,4.265009816,2,10
Dominica,NA,0,5,NA,0,5
Egypt,9.555555556,0,5,0,0,9.555555556
El Salvador,7.655555556,0,9.564312088,0,0,9.564312088
Eritrea,10,0,5,1.396250149,1,10
Georgia,7.911111111,0,10,0.521889245,1,10
Guatemala,8.8,0,5,0,0,8.8
Lesotho,8.7,0,5,6.771176343,0,8.7
Mauritius,4.133333333,0,5,NA,0,5
Myanmar,10,0,0,3.452509714,1,10
Pakistan,10,0,0.961217646,1.035619282,1,10
Seychelles,6.077777778,0,5,NA,0,6.077777778
Spain,4.488888889,0,5,NA,0,5
Suriname,6.677777778,0,5,1.731397748,0,6.677777778
Syria,10,0,1.936191427,0.242507033,1,10
Timor-Leste,10,0,5,NA,1,10
Trinidad and Tobago,5.766666667,0,5,0,0,5.766666667
Tunisia,7.566666667,0,5,2.794615119,0,7.566666667
Uganda,10,0,5,10,2,10
Venezuela,10,0,5,0,1,10
Angola,9.7,0,5,4.016947345,0,9.7
Bahamas,5.544444444,0,5,NA,0,5.544444444
Belize,6.755555556,0,5,1.433999094,0,6.755555556
Bosnia and Herzegovina,7.8,0,5.847645629,2.71974128,0,7.8
Botswana,6.344444444,0,5,10,1,10
Brunei Darussalam,6.288888889,0,NA,NA,0,6.288888889
Bulgaria,5.466666667,0,5,0,0,5.466666667
Cyprus,6.233333333,0,NA,2.71974128,0,6.233333333
Djibouti,9.188888889,0,5,2.309308824,0,9.188888889
Ecuador,7.711111111,0,5,0.761520164,0,7.711111111
Equatorial Guinea,9.222222222,0,5,NA,0,9.222222222
Fiji,7.766666667,0,5,NA,0,7.766666667
Greece,5.788888889,0,5,0,0,5.788888889
Guyana,7.333333333,0,5,NA,0,7.333333333
Hungary,5.288888889,0,5,NA,0,5.288888889
Kazakhstan,6.644444444,0,5,3.610542468,0,6.644444444
Malaysia,6.4,0,5,0,0,6.4
Nicaragua,8.566666667,0,5,2.702872097,0,8.566666667
Oman,5.333333333,0,5,NA,0,5.333333333
Palau,NA,0,NA,NA,0,0
Poland,4.555555556,0,5,NA,0,5
Saint Lucia,NA,0,5,0,0,5
Solomon Islands,10,0,5,NA,1,10
United Arab Emirates,4.233333333,0,5,NA,0,5
Azerbaijan,7.922222222,0,10,10,2,10
Bahrain,7.1,0,5,3.467617103,0,7.1
Bangladesh,9.522222222,0,5,3.226897958,0,9.522222222
Bhutan,7.722222222,0,5,NA,0,7.722222222
Burundi,10,0,1.817636581,6.27510028,1,10
Cambodia,8.922222222,0,5,3.832300563,0,8.922222222
China,7.766666667,0,5,0.866818049,0,7.766666667
Comoros,10,0,5,NA,1,10
Congo,10,0,10,NA,2,10
France,3.388888889,0,5,NA,0,5
Gabon,7.677777778,0,5,2.017603831,0,7.677777778
Gambia,10,0,5,1.132049773,1,10
Germany,2.577777778,0,5,NA,0,5
Kiribati,10,0,NA,NA,1,10
Korea DPR,10,0,5,10,2,10
Kuwait,5.655555556,0,5,NA,0,5.655555556
Luxembourg,2.088888889,0,NA,NA,0,2.088888889
Madagascar,8.833333333,0,5,3.768811527,0,8.833333333
Malta,3.733333333,0,5,NA,0,5
Mexico,7.466666667,0,5,0,0,7.466666667
Micronesia,10,NA,NA,NA,1,10
Moldova Republic of,7.333333333,0,5,0,0,7.333333333
Mongolia,5.766666667,0,5,3.467617103,0,5.766666667
Morocco,7.911111111,0,5,0.806408831,0,7.911111111
Nauru,NA,0,NA,NA,0,0
Panama,5.111111111,0,5,9.432026302,0,9.432026302
Rwanda,9.555555556,0,5,0.386555125,0,9.555555556
Samoa,7.033333333,0,NA,NA,0,7.033333333
Sao Tome and Principe,7.811111111,0,5,NA,0,7.811111111
Saudi Arabia,7.644444444,0,5,0,0,7.644444444
Senegal,8.288888889,0,5,1.566348238,0,8.288888889
Sierra Leone,9.377777778,0,5,NA,0,9.377777778
Tanzania,8.677777778,0,5,10,1,10
Togo,9.533333333,0,5,3.581239115,0,9.533333333
Turkey,8.788888889,0,5,1.405450315,0,8.788888889
Turkmenistan,7.677777778,0,5,NA,0,7.677777778
Tuvalu,10,0,NA,NA,1,10
Uzbekistan,8.122222222,0,5,0.548557435,0,8.122222222
Vanuatu,NA,0,NA,NA,0,0
Australia,2.188888889,0,5,NA,0,5
Austria,2.677777778,0,5,NA,0,5
Belgium,3.011111111,0,5,NA,0,5
Chile,4.722222222,0,5,6.717056582,0,6.717056582
Cuba,6.577777778,0,5,2.196173011,0,6.577777778
Czech Republic,3.966666667,0,5,NA,0,5
Dominican Republic,7.155555556,0,5,0,0,7.155555556
Estonia,4.277777778,0,5,NA,0,5
Iceland,1.977777778,0,5,NA,0,5
India,8.366666667,0,5,1.53683988,0,8.366666667
Ireland,2.211111111,0,NA,NA,0,2.211111111
Israel,NA,0,5,1.692868909,0,5
Italy,4.711111111,0,5,NA,0,5
Japan,3.588888889,0,5,0,0,5
Jordan,8.377777778,0,5,1.278724878,0,8.377777778
Latvia,4.7,0,5,NA,0,5
Liberia,10,0,5,0,1,10
Lithuania,4.055555556,0,5,NA,0,5
Netherlands,2.544444444,0,5,NA,0,5
New Zealand,1.988888889,0,5,NA,0,5
North Macedonia,6.9,0,5,3.467617103,0,6.9
Philippines,9,0,6.891577082,0,0,9
Portugal,2.611111111,0,5,NA,0,5
Qatar,4.855555556,0,5,NA,0,5
Saint Kitts and Nevis,NA,0,5,NA,0,5
Saint Vincent and the Grenadines,NA,0,5,NA,0,5
Singapore,2.922222222,0,5,NA,0,5
Slovenia,2.866666667,0,5,NA,0,5
Sweden,2.022222222,0,5,NA,0,5
Switzerland,1.9,0,5,NA,0,5
Thailand,7.866666667,0,5,0,0,7.866666667
Tonga,NA,0,5,NA,0,5
United States of America,4.255555556,0,5,NA,0,5
Uruguay,3.711111111,0,5,2.533027216,0,5
Benin,8.055555556,0,5,3.41633084,0,8.055555556
Canada,2.077777778,0,5,NA,0,5
Costa Rica,4.466666667,0,5,1.501469037,0,5
Côte d'Ivoire,9.966666667,0,2.771720848,10,1,10
Denmark,1.911111111,0,5,NA,0,5
Eswatini,9.222222222,0,5,10,1,10
Finland,1.622222222,0,NA,NA,0,1.622222222
Ghana,7.133333333,0,5,0,0,7.133333333
Guinea-Bissau,10,0,5,NA,1,10
Indonesia,7.533333333,0,5,3.824937864,0,7.533333333
Jamaica,6.666666667,0,5,5.244009681,0,6.666666667
Korea Republic of,3.555555556,0,5,0,0,5
Kyrgyzstan,8.211111111,0,5,7.453902551,0,8.211111111
Lao PDR,10,0,5,NA,1,10
Liechtenstein,NA,0,NA,NA,0,0
Marshall Islands,10,0,5,NA,1,10
Namibia,7.233333333,0,5,2.017603831,0,7.233333333
Nepal,9.177777778,0,5,10,1,10
Norway,1.8,0,5,NA,0,5
Paraguay,7.244444444,0,5,10,1,10
Russian Federation,8.066666667,0,5,3.254699119,0,8.066666667
Slovakia,4.244444444,0,5,NA,0,5
Sri Lanka,9.088888889,0,0,3.936298848,0,9.088888889
United Kingdom,4.255555556,NA,5,NA,0,5
Viet Nam,7.1,0,5,NA,0,7.1
