"","Countryname","Country","Region"
"1","Libya","LBY","Middle East & North Africa"
"2","Sudan","SDN","Sub-Saharan Africa"
"3","Afghanistan","AFG","South Asia"
"4","Mozambique","MOZ","Sub-Saharan Africa"
"5","Niger","NER","Sub-Saharan Africa"
"6","Algeria","DZA","Middle East & North Africa"
"7","Ethiopia","ETH","Sub-Saharan Africa"
"8","Iraq","IRQ","Middle East & North Africa"
"9","South Sudan","SSD","Sub-Saharan Africa"
"10","Central African Republic","CAF","Sub-Saharan Africa"
"11","Chad","TCD","Sub-Saharan Africa"
"12","Croatia","HRV","Europe & Central Asia"
"13","Lebanon","LBN","Middle East & North Africa"
"14","Maldives","MDV","South Asia"
"15","Mauritania","MRT","Sub-Saharan Africa"
"16","Ukraine","UKR","Europe & Central Asia"
"17","Zimbabwe","ZWE","Sub-Saharan Africa"
"18","Belarus","BLR","Europe & Central Asia"
"19","Brazil","BRA","Latin America & Caribbean"
"20","Cabo Verde","CPV","Sub-Saharan Africa"
"21","Haiti","HTI","Latin America & Caribbean"
"22","Honduras","HND","Latin America & Caribbean"
"23","Peru","PER","Latin America & Caribbean"
"24","Serbia","SRB","Europe & Central Asia"
"25","Somalia","SOM","Sub-Saharan Africa"
"26","Yemen","YEM","Middle East & North Africa"
"27","Armenia","ARM","Europe & Central Asia"
"28","Cameroon","CMR","Sub-Saharan Africa"
"29","Colombia","COL","Latin America & Caribbean"
"30","Congo DR","COD","Sub-Saharan Africa"
"31","Grenada","GRD","Latin America & Caribbean"
"32","Guinea","GIN","Sub-Saharan Africa"
"33","Iran","IRN","Middle East & North Africa"
"34","Kenya","KEN","Sub-Saharan Africa"
"35","Malawi","MWI","Sub-Saharan Africa"
"36","Mali","MLI","Sub-Saharan Africa"
"37","Montenegro","MNE","Europe & Central Asia"
"38","Nigeria","NGA","Sub-Saharan Africa"
"39","Papua New Guinea","PNG","East Asia & Pacific"
"40","Romania","ROU","Europe & Central Asia"
"41","South Africa","ZAF","Sub-Saharan Africa"
"42","Tajikistan","TJK","Europe & Central Asia"
"43","Zambia","ZMB","Sub-Saharan Africa"
"44","Albania","ALB","Europe & Central Asia"
"45","Antigua and Barbuda","ATG","Latin America & Caribbean"
"46","Argentina","ARG","Latin America & Caribbean"
"47","Barbados","BRB","Latin America & Caribbean"
"48","Bolivia","BOL","Latin America & Caribbean"
"49","Burkina Faso","BFA","Sub-Saharan Africa"
"50","Dominica","DMA","Latin America & Caribbean"
"51","Egypt","EGY","Middle East & North Africa"
"52","El Salvador","SLV","Latin America & Caribbean"
"53","Eritrea","ERI","Sub-Saharan Africa"
"54","Georgia","GEO","Europe & Central Asia"
"55","Guatemala","GTM","Latin America & Caribbean"
"56","Lesotho","LSO","Sub-Saharan Africa"
"57","Mauritius","MUS","Sub-Saharan Africa"
"58","Myanmar","MMR","East Asia & Pacific"
"59","Pakistan","PAK","South Asia"
"60","Seychelles","SYC","Sub-Saharan Africa"
"61","Spain","ESP","Europe & Central Asia"
"62","Suriname","SUR","Latin America & Caribbean"
"63","Syria","SYR","Middle East & North Africa"
"64","Timor-Leste","TLS","East Asia & Pacific"
"65","Trinidad and Tobago","TTO","Latin America & Caribbean"
"66","Tunisia","TUN","Middle East & North Africa"
"67","Uganda","UGA","Sub-Saharan Africa"
"68","Venezuela","VEN","Latin America & Caribbean"
"69","Angola","AGO","Sub-Saharan Africa"
"70","Bahamas","BHS","Latin America & Caribbean"
"71","Belize","BLZ","Latin America & Caribbean"
"72","Bosnia and Herzegovina","BIH","Europe & Central Asia"
"73","Botswana","BWA","Sub-Saharan Africa"
"74","Brunei Darussalam","BRN","East Asia & Pacific"
"75","Bulgaria","BGR","Europe & Central Asia"
"76","Cyprus","CYP","Europe & Central Asia"
"77","Djibouti","DJI","Middle East & North Africa"
"78","Ecuador","ECU","Latin America & Caribbean"
"79","Equatorial Guinea","GNQ","Sub-Saharan Africa"
"80","Fiji","FJI","East Asia & Pacific"
"81","Greece","GRC","Europe & Central Asia"
"82","Guyana","GUY","Latin America & Caribbean"
"83","Hungary","HUN","Europe & Central Asia"
"84","Kazakhstan","KAZ","Europe & Central Asia"
"85","Malaysia","MYS","East Asia & Pacific"
"86","Nicaragua","NIC","Latin America & Caribbean"
"87","Oman","OMN","Middle East & North Africa"
"88","Palau","PLW","East Asia & Pacific"
"89","Poland","POL","Europe & Central Asia"
"90","Saint Lucia","LCA","Latin America & Caribbean"
"91","Solomon Islands","SLB","East Asia & Pacific"
"92","United Arab Emirates","ARE","Middle East & North Africa"
"93","Azerbaijan","AZE","Europe & Central Asia"
"94","Bahrain","BHR","Middle East & North Africa"
"95","Bangladesh","BGD","South Asia"
"96","Bhutan","BTN","South Asia"
"97","Burundi","BDI","Sub-Saharan Africa"
"98","Cambodia","KHM","East Asia & Pacific"
"99","China","CHN","East Asia & Pacific"
"100","Comoros","COM","Sub-Saharan Africa"
"101","Congo","COG","Sub-Saharan Africa"
"102","France","FRA","Europe & Central Asia"
"103","Gabon","GAB","Sub-Saharan Africa"
"104","Gambia","GMB","Sub-Saharan Africa"
"105","Germany","DEU","Europe & Central Asia"
"106","Kiribati","KIR","East Asia & Pacific"
"107","Korea DPR","PRK","East Asia & Pacific"
"108","Kuwait","KWT","Middle East & North Africa"
"109","Luxembourg","LUX","Europe & Central Asia"
"110","Madagascar","MDG","Sub-Saharan Africa"
"111","Malta","MLT","Middle East & North Africa"
"112","Mexico","MEX","Latin America & Caribbean"
"113","Micronesia","FSM","East Asia & Pacific"
"114","Moldova Republic of","MDA","Europe & Central Asia"
"115","Mongolia","MNG","East Asia & Pacific"
"116","Morocco","MAR","Middle East & North Africa"
"117","Nauru","NRU","East Asia & Pacific"
"118","Panama","PAN","Latin America & Caribbean"
"119","Rwanda","RWA","Sub-Saharan Africa"
"120","Samoa","WSM","East Asia & Pacific"
"121","Sao Tome and Principe","STP","Sub-Saharan Africa"
"122","Saudi Arabia","SAU","Middle East & North Africa"
"123","Senegal","SEN","Sub-Saharan Africa"
"124","Sierra Leone","SLE","Sub-Saharan Africa"
"125","Tanzania","TZA","Sub-Saharan Africa"
"126","Togo","TGO","Sub-Saharan Africa"
"127","Turkey","TUR","Europe & Central Asia"
"128","Turkmenistan","TKM","Europe & Central Asia"
"129","Tuvalu","TUV","East Asia & Pacific"
"130","Uzbekistan","UZB","Europe & Central Asia"
"131","Vanuatu","VUT","East Asia & Pacific"
"132","Australia","AUS","East Asia & Pacific"
"133","Austria","AUT","Europe & Central Asia"
"134","Belgium","BEL","Europe & Central Asia"
"135","Chile","CHL","Latin America & Caribbean"
"136","Cuba","CUB","Latin America & Caribbean"
"137","Czech Republic","CZE","Europe & Central Asia"
"138","Dominican Republic","DOM","Latin America & Caribbean"
"139","Estonia","EST","Europe & Central Asia"
"140","Iceland","ISL","Europe & Central Asia"
"141","India","IND","South Asia"
"142","Ireland","IRL","Europe & Central Asia"
"143","Israel","ISR","Middle East & North Africa"
"144","Italy","ITA","Europe & Central Asia"
"145","Japan","JPN","East Asia & Pacific"
"146","Jordan","JOR","Middle East & North Africa"
"147","Latvia","LVA","Europe & Central Asia"
"148","Liberia","LBR","Sub-Saharan Africa"
"149","Lithuania","LTU","Europe & Central Asia"
"150","Netherlands","NLD","Europe & Central Asia"
"151","New Zealand","NZL","East Asia & Pacific"
"152","North Macedonia","MKD","Europe & Central Asia"
"153","Philippines","PHL","East Asia & Pacific"
"154","Portugal","PRT","Europe & Central Asia"
"155","Qatar","QAT","Middle East & North Africa"
"156","Saint Kitts and Nevis","KNA","Latin America & Caribbean"
"157","Saint Vincent and the Grenadines","VCT","Latin America & Caribbean"
"158","Singapore","SGP","East Asia & Pacific"
"159","Slovenia","SVN","Europe & Central Asia"
"160","Sweden","SWE","Europe & Central Asia"
"161","Switzerland","CHE","Europe & Central Asia"
"162","Thailand","THA","East Asia & Pacific"
"163","Tonga","TON","East Asia & Pacific"
"164","United States of America","USA","North America"
"165","Uruguay","URY","Latin America & Caribbean"
"166","Benin","BEN","Sub-Saharan Africa"
"167","Canada","CAN","North America"
"168","Costa Rica","CRI","Latin America & Caribbean"
"169","Côte d'Ivoire","CIV","Sub-Saharan Africa"
"170","Denmark","DNK","Europe & Central Asia"
"171","Eswatini","SWZ","Sub-Saharan Africa"
"172","Finland","FIN","Europe & Central Asia"
"173","Ghana","GHA","Sub-Saharan Africa"
"174","Guinea-Bissau","GNB","Sub-Saharan Africa"
"175","Indonesia","IDN","East Asia & Pacific"
"176","Jamaica","JAM","Latin America & Caribbean"
"177","Korea Republic of","KOR","East Asia & Pacific"
"178","Kyrgyzstan","KGZ","Europe & Central Asia"
"179","Lao PDR","LAO","East Asia & Pacific"
"180","Liechtenstein","LIE","Europe & Central Asia"
"181","Marshall Islands","MHL","East Asia & Pacific"
"182","Namibia","NAM","Sub-Saharan Africa"
"183","Nepal","NPL","South Asia"
"184","Norway","NOR","Europe & Central Asia"
"185","Paraguay","PRY","Latin America & Caribbean"
"186","Russian Federation","RUS","Europe & Central Asia"
"187","Slovakia","SVK","Europe & Central Asia"
"188","Sri Lanka","LKA","South Asia"
"189","United Kingdom","GBR","Europe & Central Asia"
"190","Viet Nam","VNM","East Asia & Pacific"
