Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,10,0,10,0,High-Intensity conflict,Not Fragile,1.330373045706655,-1.402052069569982
AGO,0,0,0,NA,NA,Not Fragile,0,NA
ALB,0,0,0,NA,NA,Not Fragile,0,NA
ARE,0,0,0,NA,NA,Not Fragile,0,NA
ARG,0,0,0,0,NA,Not Fragile,0,-1.0171064649770505
ARM,0,0,0,0,NA,Not Fragile,0,-0.9886201551367456
ATG,0,0,0,NA,NA,Not Fragile,0,NA
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.7618976498688466
AZE,0,0,10,NA,NA,Not Fragile,1.9654741466040924,NA
BDI,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,-0.6364726838010836,-1.4964956462384216
BEL,0,0,0,0,NA,Not Fragile,0,NaN
BEN,0,0,0,8.77545934736305,NA,Not Fragile,0,0.7550918694726099
BFA,10,10,10,4.214402485505742,Medium-Intensity conflict,Fragile,2.03427826532239,-0.15711950289885174
BGD,0,0,0,0.2791738449787573,NA,Not Fragile,0,-0.9441652310042487
BGR,0,0,0,0,NA,Not Fragile,0,NaN
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,NA,NA,Not Fragile,0,NA
BIH,0,0,1.6952912574299983,NA,NA,Not Fragile,0.1695291257429999,NA
BLR,0,0,0,0,NA,Not Fragile,0,-0.40875937677297913
BLZ,0,0,0,NA,NA,Not Fragile,0,NA
BOL,0,0,0,0,NA,Not Fragile,0,-0.4189868864309548
BRA,0,0,0,0,NA,Not Fragile,0,-1.8378287847252057
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,NA,NA,Not Fragile,0,NA
CAF,10,NA,8.476558377379803,6.140020983310403,Medium-Intensity conflict,NA,0.8476558377379804,0.2280041966620805
CAN,0,0,0,NA,NA,Not Fragile,0,NA
CHE,0,0,0,NA,NA,Not Fragile,0,NA
CHL,0,0,0,0,NA,Not Fragile,0,0.3426622970805144
CHN,0,0,0,0,NA,Not Fragile,0,-1.208175504242113
CIV,0,0,0,NA,NA,Not Fragile,-0.44565583039743906,NA
CMR,10,0,10,0,Medium-Intensity conflict,Not Fragile,1.6019556492212326,-1.9873134285299585
COD,10,0,10,3.8632498518697576,Medium-Intensity conflict,Not Fragile,1.1418064842375164,-0.22735002962604844
