Country,F_Proteus_Score_norm,F_fews_crm_norm,F_fpv_rating,F_fao_wfp_warning
AFG,10,10,NA,10
AGO,9.83253588516746,NA,NA,10
ALB,3.39712918660287,NA,NA,NA
ARE,1.07655502392344,NA,NA,NA
ARG,2.27272727272727,NA,NA,NA
ARM,2.70334928229665,NA,NA,NA
ATG,NA,NA,NA,NA
AUS,0.885167464114833,NA,NA,NA
AUT,0,NA,NA,NA
AZE,4.23444976076555,NA,NA,NA
BDI,9.92822966507177,5,NA,NA
BEL,0,NA,NA,NA
BEN,8.61244019138756,NA,NA,NA
BFA,8.75598086124402,5,NA,10
BGD,8.03827751196172,NA,NA,NA
BGR,2.41626794258373,NA,NA,NA
BHR,0.526315789473683,NA,NA,NA
BHS,3.58851674641148,NA,NA,NA
BIH,3.22966507177033,NA,NA,NA
BLR,1.02870813397129,NA,NA,NA
BLZ,4.66507177033493,NA,NA,NA
BOL,8.08612440191388,NA,NA,NA
BRA,3.73205741626794,NA,NA,NA
BRB,1.81818181818182,NA,NA,NA
BRN,1.81818181818182,NA,NA,NA
BTN,6.98564593301436,NA,NA,NA
BWA,6.9377990430622,NA,NA,NA
CAF,10,NA,NA,10
CAN,0.837320574162678,NA,NA,NA
CHE,0,NA,NA,NA
CHL,3.42105263157895,NA,NA,NA
CHN,2.91866028708134,NA,NA,NA
CIV,7.29665071770335,NA,NA,NA
CMR,8.13397129186603,10,NA,NA
COD,10,7,NA,10
COG,10,NA,NA,NA
COL,5.07177033492823,NA,NA,NA
COM,8.22966507177034,NA,NA,NA
CPV,6.36363636363636,NA,NA,NA
CRI,3.39712918660287,NA,NA,NA
CUB,4.33014354066986,NA,NA,NA
CYP,2.12918660287081,NA,NA,NA
CZE,0,NA,NA,NA
DEU,0,NA,NA,NA
DJI,8.25358851674641,NA,NA,NA
DMA,5.50239234449761,NA,NA,NA
DNK,0,NA,NA,NA
DOM,4.5933014354067,NA,NA,NA
DZA,2.96650717703349,NA,NA,NA
ECU,5.14354066985646,NA,NA,NA
