Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0.5099394987035435,1.7328994457383544,0.2078400000000009,0.3000000000000007,10,10,0,0,32.3,0.598095238095266,7.649092480553153,25.9934916860753,5.196,0.15,15,6.8,0,0
AGO,8.96,4.1408108640946,3.3512224209898633,2.8736408651198673,0.33015999999999934,0.40000000000000036,4.358461538461538,9,0,0,25.2,0.470041156462592,50.268336314847936,43.10461297679801,8.254,0.2,51.67,5.6,0,0
ALB,3.420000000000001,10,0,0,0.5321600000000011,1.588000000000001,2.8692307692307697,5.5,0,0,52.9,0.864660743569811,-21.033907562404966,-51.20575933917374,13.304,0.794,61.35,4.2,0,0
ARE,4.66,10,0,0,5.51356,0.5779999999999994,2.5323076923076924,1.25,10,0,46.7,0.874189297959973,-3.100908000685287,-20.70069512088892,137.839,0.289,63.54,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0.6666418141084769,0.46688267715357057,10,10,0.833846153846153,3.5,0,0,58.6,0.524652460628153,9.99962721162715,7.0032401573035665,570.252,10.937,74.58,3.4,0,0
ARM,3.959999999999999,NA,0,0,2.9755200000000004,8.678,NA,4,0,0,50.2,NA,-22.681047045346517,-52.747873394711554,74.388,4.339,NA,3.6,0,0
ATG,8.2,NA,10,2.4273785502192426,0.758560000000001,10,NA,4,0,0,29,NA,976.8808942721986,36.41067825328863,18.964,14.588,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.010320000000000107,0,5.809230769230769,0.25,0,0,75.5,0.159908944824599,0.01,0.01,0.258,0,42.24,2.1,0,0
AUT,2.3,7.217643706923472,0,0,3.419159999999999,2.7279999999999998,0.6323076923076911,2.5,0,0,58.5,0.676034450107695,-35.521763688353865,-50.92687230117655,85.479,1.364,75.89,3,0,0
AZE,7.16,4.127234541997124,0,0,1.747119999999999,2.508,2.1307692307692294,5,0,0,34.2,0.469132224633239,-47.84748098616711,-58.74646087751031,43.678,1.254,66.15,4,0,0
