Country,NH_GDAC_Hazard_Score_Norm,NH_Hazard_Score_norm,NH_seasonal_risk_norm,NH_locust_norm,NH_natural_acaps
AFG,NA,9.5,7,0,0
AGO,0,3.5,0,0,0
ALB,NA,9,0,0,0
ARE,NA,5.33333333333333,0,0,0
ARG,NA,5,0,0,0
ARM,NA,5.83333333333333,0,0,0
ATG,NA,4.5,0,0,0
AUS,0,6.33333333333333,0,0,0
AUT,NA,2.5,0,0,0
AZE,NA,6.5,7,0,0
BDI,NA,4.33333333333333,0,0,0
BEL,NA,1.33333333333333,0,0,0
BEN,NA,3.16666666666667,0,0,0
BFA,NA,4.5,0,0,0
BGD,NA,10,0,0,0
BGR,NA,4.33333333333333,0,0,0
BHR,NA,0,0,0,0
BHS,NA,4,10,0,0
BIH,NA,5.16666666666667,0,0,0
BLR,NA,2,0,0,0
BLZ,NA,7.5,0,0,0
BOL,0,6.16666666666667,0,0,0
BRA,0,5,7,0,0
BRB,0,4.66666666666667,0,0,0
BRN,NA,3,10,0,0
BTN,NA,4.16666666666667,0,0,0
BWA,NA,2.83333333333333,0,0,0
CAF,NA,3.5,0,0,0
CAN,NA,5.66666666666667,0,0,0
CHE,NA,2.16666666666667,0,0,0
CHL,NA,8.66666666666667,0,0,0
CHN,0,10,0,0,0
CIV,NA,4.66666666666667,0,0,0
CMR,NA,4.33333333333333,0,0,0
COD,0,5.83333333333333,0,0,0
COG,NA,4.83333333333333,0,0,0
COL,0,9.5,7,0,0
COM,NA,2.83333333333333,0,0,0
CPV,NA,0.833333333333334,0,0,0
CRI,NA,8.33333333333333,0,0,0
CUB,NA,7.66666666666667,10,0,0
CYP,NA,5.5,0,0,0
CZE,NA,1.16666666666667,0,0,0
DEU,NA,2.5,0,0,0
DJI,NA,7.33333333333333,0,7,0
DMA,NA,6.5,0,0,0
DNK,NA,0.666666666666668,0,0,0
DOM,NA,9.5,0,0,0
DZA,NA,6.16666666666667,0,0,0
ECU,0,9.83333333333333,0,0,0
EGY,NA,6.5,0,0,0
ERI,NA,4.5,0,10,0
ESP,NA,5.16666666666667,0,0,0
EST,NA,0,0,0,0
ETH,NA,5.66666666666667,0,10,0
FIN,NA,0,0,0,0
FJI,NA,4.83333333333333,10,0,0
FRA,NA,4,0,0,0
FSM,NA,5.33333333333333,10,0,0
GAB,NA,2.5,0,0,0
GBR,NA,2.33333333333333,0,0,0
GEO,NA,5.83333333333333,0,0,0
GHA,NA,4.5,0,0,0
GIN,NA,4.83333333333333,0,0,0
GMB,NA,3.5,0,0,0
GNB,NA,2.83333333333333,0,0,0
GNQ,NA,3.16666666666667,0,0,0
GRC,NA,8.16666666666667,0,0,0
GRD,NA,1.16666666666667,10,0,0
GTM,0,9.5,0,0,0
GUY,NA,4.66666666666667,10,0,0
HND,NA,9.16666666666667,0,0,0
HRV,0,6.33333333333333,0,0,0
HTI,NA,10,0,0,0
HUN,NA,4.33333333333333,0,0,0
IDN,0,10,0,0,0
IND,NA,10,0,0,0
IRL,NA,2,0,0,0
IRN,NA,9.66666666666667,0,0,0
IRQ,NA,7.66666666666667,0,0,0
ISL,0,2,0,0,0
ISR,NA,6,0,0,0
ITA,0,6.83333333333333,0,0,0
JAM,NA,7.33333333333333,0,0,0
JOR,NA,5.33333333333333,0,0,0
JPN,0,10,7,0,0
KAZ,NA,5,0,0,0
KEN,NA,6.83333333333333,0,10,0
KGZ,NA,6.83333333333333,7,0,0
KHM,NA,8,10,0,0
KIR,NA,4.66666666666667,10,0,0
KNA,NA,3,0,0,0
KOR,NA,8.16666666666667,0,0,0
KWT,NA,1,0,0,0
LAO,NA,6.5,7,0,0
LBN,NA,7,0,0,0
LBR,NA,5,0,0,0
LBY,NA,4.5,0,0,0
LCA,NA,2.66666666666667,0,0,0
LIE,NA,0.5,0,0,0
LKA,NA,7,10,0,0
LSO,NA,2.5,0,0,0
LTU,NA,1.16666666666667,0,0,0
LUX,NA,0,0,0,0
LVA,NA,1.83333333333333,0,0,0
MAR,NA,6.16666666666667,0,0,0
MDA,NA,5.16666666666667,0,0,0
MDG,NA,8.5,0,0,10
MDV,NA,3.66666666666667,7,0,0
MEX,10,9.5,7,0,0
MHL,NA,4.33333333333333,0,0,0
MKD,NA,4.66666666666667,0,0,0
MLI,NA,5.66666666666667,0,0,0
MLT,NA,2.5,0,0,0
MMR,NA,10,7,0,0
MNE,NA,5.5,0,0,0
MNG,NA,3.16666666666667,0,0,0
MOZ,0,8,0,0,0
MRT,NA,7.66666666666667,0,0,0
MUS,NA,4.5,7,0,0
MWI,NA,5.83333333333333,0,0,0
MYS,NA,6.5,10,0,0
NAM,NA,5.5,0,0,0
NER,NA,5.83333333333333,0,0,0
NGA,NA,5,0,0,0
NIC,0,9.33333333333333,0,0,0
NLD,NA,1.66666666666667,0,0,0
NOR,NA,0,0,0,0
NPL,NA,8,0,0,0
NRU,NA,3,10,0,0
NZL,NA,5.83333333333333,0,0,0
OMN,NA,6.66666666666667,0,0,0
PAK,NA,10,0,0,0
PAN,NA,8.66666666666667,10,0,0
PER,0,10,0,0,0
PHL,0,10,10,0,0
PLW,NA,3.66666666666667,10,0,0
PNG,NA,9.5,0,0,0
POL,NA,2.16666666666667,0,0,0
PRK,NA,7,0,0,0
PRT,NA,4,0,0,0
PRY,NA,2.66666666666667,0,0,0
QAT,NA,0.833333333333334,0,0,0
ROU,NA,5.16666666666667,0,0,0
RUS,NA,7.83333333333333,0,0,0
RWA,NA,4.16666666666667,0,0,0
SAU,NA,3.5,0,10,0
SDN,NA,5.33333333333333,0,0,0
SEN,NA,5.83333333333333,0,0,0
SGP,NA,0,0,0,0
SLB,NA,8,10,0,0
SLE,NA,4.83333333333333,0,0,0
SLV,NA,9.16666666666667,0,0,0
SOM,NA,9.83333333333333,0,10,10
SRB,NA,5.83333333333333,0,0,0
SSD,NA,5,NA,7,0
STP,NA,0.5,0,0,0
SUR,NA,4.83333333333333,10,0,0
SVK,NA,3,0,0,0
SVN,NA,4,0,0,0
SWE,NA,0.166666666666666,0,0,0
SWZ,NA,2.5,0,0,0
SYC,NA,3,7,0,0
SYR,NA,7.83333333333333,0,0,0
TCD,NA,5.33333333333333,0,0,0
TGO,NA,3.33333333333333,0,0,0
THA,NA,8.66666666666667,10,0,0
TJK,NA,8,7,0,0
TKM,NA,4.5,7,0,0
TLS,NA,6,0,0,0
TON,NA,7,10,0,0
TTO,NA,3.66666666666667,10,0,0
TUN,NA,5.66666666666667,0,0,0
TUR,NA,8.66666666666667,0,0,0
TUV,NA,3.33333333333333,10,0,0
TZA,NA,6.83333333333333,0,7,0
UGA,NA,5.66666666666667,0,7,0
UKR,NA,3.66666666666667,0,0,0
URY,NA,1.16666666666667,0,0,0
USA,NA,9.33333333333333,7,0,0
UZB,NA,7,7,0,0
VCT,NA,2.66666666666667,10,0,0
VEN,NA,8.5,7,0,0
VNM,NA,10,7,0,0
VUT,NA,7.66666666666667,10,0,0
WSM,NA,4.16666666666667,0,0,0
YEM,NA,5.5,0,10,0
ZAF,NA,6.5,0,0,0
ZMB,NA,4.16666666666667,0,0,0
ZWE,NA,6.16666666666667,0,0,0
