Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Afghanistan,AFG,7.540000000000001,10,0,0.05972306111735293,7.067692307692308,0,1.5128000000000004,4.154,6.053499365034384,0,10,10,10,NA,10,8.60828673206077,10,0,6.879768643859219,6.6505281690140965,9.5,NA,0,0,7,10,NA,NA,7,1.273220607212611,NA
Angola,AGO,8.96,9,0,0,6.443076923076924,0,0.12047999999999881,0.22600000000000087,4.1408108640946,0,9.832535885167465,10,NA,5,0,6.392891917821371,0,0,10,9.291373239436627,3.5,10,0,0,0,8.142857142857142,NA,0,7,NA,9.46943355444598
Albania,ALB,3.420000000000001,5.5,0,0,4.952307692307691,0,0.05956000000000117,0,10,0,3.3971291866028706,NA,NA,3,0,5,0,0,4.947698744769876,0,9,NA,0,0,0,2.8571428571428568,1.0000000000000018,NA,0,NA,NA
United Arab Emirates,ARE,4.66,1.25,0,1.3120443172256664,2.1707692307692303,0,6.61016,1.0399999999999991,10,10,1.0765550239234436,NA,NA,5,0,NA,0,0,3.040241201082945,0,5.333333333333334,NA,0,0,0,0.4285714285714288,NA,NA,7,NA,NA
Argentina,ARG,2.2799999999999994,3.5,0,0,1.6338461538461537,0,10,10,4.956516323592746,0,2.2727272727272734,NA,NA,7,0,0,0,0,10,8.45510563380282,5,NA,0,0,0,2.428571428571429,3.8533333333333353,0,0,NA,10
Armenia,ARM,3.959999999999999,4,1.782645871192038,0.017506342117952656,NA,0,1.3383199999999995,1.5419999999999998,NA,0,2.703349282296651,NA,NA,1,0,0,0,0,4.344696037410781,4.449823943661981,5.833333333333333,NA,0,0,0,2.7142857142857144,10,NA,NA,NA,6.519187056029905
Antigua and Barbuda,ATG,8.2,4,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.11672000000000082,0,NA,0,NA,NA,NA,1,0,NA,0,0,NA,NA,4.500000000000001,NA,0,0,0,2.7142857142857144,NA,NA,NA,NA,NA
Australia,AUS,0,0.25,6.666666666674814e-4,6.666666666674814e-4,2.964615384615385,0,0.058039999999998315,0,0,0,0.8851674641148328,NA,NA,NA,0,NA,0,0,0,6.826584507042261,6.333333333333333,NA,0,0,0,0.7142857142857135,7.699999999999996,NA,7,NA,NA
Austria,AUT,2.3,2.5,0,0,2.0030769230769234,0,0.34768000000000043,0.5719999999999992,7.217643706923472,0,0,NA,NA,3,0,0,0,0,0.5605463942899345,3.921654929577465,2.5,NA,0,0,7,0.4285714285714288,4.333333333333332,NA,3,NA,NA
Azerbaijan,AZE,7.16,5,2.784318175058412,0,3.172307692307692,0,0.3358799999999995,0.14000000000000057,4.127234541997124,0,4.234449760765551,NA,NA,3,0,0,10,0,7.464312084666505,9.731514084507053,6.500000000000001,NA,0,0,7,3.8571428571428577,5.643333333333335,0,0,NA,NA
