Country,Latest EIU score (Jan 2021),Risk Level: One year EIU average (exc. latest),Risk Change: Present - One year average,,Normalised Risk Level,Normalised Risk Change,,Geometric mean of Level and Change (Overall Alert Level)
Belarus,67,63.27272727,3.727272727,,9.0,10.0,,9.5
Lebanon,69,66.36363636,2.636363636,,9.5,10.0,,9.7
Palestine,64,61.54545455,2.454545455,,8.8,10.0,,9.4
Iran,72,70,2,,10.0,10.0,,10.0
Spain,32,30,2,,4.3,10.0,,6.5
Zambia,61,59.45454545,1.545454545,,8.5,8.9,,8.7
Oman,40,38.54545455,1.454545455,,5.5,8.6,,6.9
Croatia,37,35.63636364,1.363636364,,5.1,8.4,,6.5
Rwanda,53,51.63636364,1.363636364,,7.4,8.4,,7.9
Bahrain,47,45.72727273,1.272727273,,6.5,8.2,,7.3
Australia,18,16.90909091,1.090909091,,2.4,7.7,,4.3
Finland,18,16.90909091,1.090909091,,2.4,7.7,,4.3
Ghana,49,47.90909091,1.090909091,,6.8,7.7,,7.3
Kosovo,58,56.90909091,1.090909091,,8.1,7.7,,7.9
Portugal,30,28.90909091,1.090909091,,4.1,7.7,,5.6
Slovakia,33,31.90909091,1.090909091,,4.6,7.7,,5.9
Ethiopia,65,64,1,,9.1,7.5,,8.3
Laos,59,58,1,,8.3,7.5,,7.9
Sudan,77,76,1,,10.0,7.5,,8.7
Papua New Guinea,58,57.09090909,0.909090909,,8.2,7.3,,7.7
Bosnia and Hercegovina,53,52.18181818,0.818181818,,7.5,7.0,,7.2
Montenegro,50,49.18181818,0.818181818,,7.0,7.0,,7.0
Uganda,59,58.18181818,0.818181818,,8.3,7.0,,7.7
Luxembourg,17,16.18181818,0.818181818,,2.3,7.0,,4.0
Equatorial Guinea,66,65.18181818,0.818181818,,9.3,7.0,,8.1
Somalia,84,83.18181818,0.818181818,,10.0,7.0,,8.4
Yemen,85,84.18181818,0.818181818,,10.0,7.0,,8.4
Azerbaijan,55,54.27272727,0.727272727,,7.8,6.8,,7.3
Bhutan,38,37.27272727,0.727272727,,5.3,6.8,,6.0
Malta,26,25.27272727,0.727272727,,3.6,6.8,,5.0
UK,24,23.27272727,0.727272727,,3.3,6.8,,4.8
Bangladesh,51,50.36363636,0.636363636,,7.2,6.6,,6.9
Jordan,44,43.36363636,0.636363636,,6.2,6.6,,6.4
Paraguay,47,46.36363636,0.636363636,,6.6,6.6,,6.6
Congo (Brazzaville),66,65.45454545,0.545454545,,9.4,6.4,,7.7
Cyprus,34,33.45454545,0.545454545,,4.8,6.4,,5.5
Dominican Republic,47,46.45454545,0.545454545,,6.6,6.4,,6.5
Latvia,33,32.45454545,0.545454545,,4.6,6.4,,5.4
Norway,17,16.45454545,0.545454545,,2.4,6.4,,3.9
Turkey,55,54.45454545,0.545454545,,7.8,6.4,,7.0
Denmark,16,15.45454545,0.545454545,,2.2,6.4,,3.7
Austria,21,20.54545455,0.454545455,,2.9,6.1,,4.2
Liberia,66,65.54545455,0.454545455,,9.4,6.1,,7.6
Costa Rica,33,32.63636364,0.363636364,,4.7,5.9,,5.2
Honduras,57,56.63636364,0.363636364,,8.1,5.9,,6.9
Myanmar,64,63.63636364,0.363636364,,9.1,5.9,,7.3
The Gambia,54,53.63636364,0.363636364,,7.7,5.9,,6.7
Central African Republic,72,71.63636364,0.363636364,,10.0,5.9,,7.7
Democratic Republic of the Congo,78,77.63636364,0.363636364,,10.0,5.9,,7.7
Greenland,19,18.72727273,0.272727273,,2.7,5.7,,3.9
Kazakhstan,52,51.72727273,0.272727273,,7.4,5.7,,6.5
Mali,62,61.72727273,0.272727273,,8.8,5.7,,7.1
Nigeria,68,67.81818182,0.181818182,,9.7,5.5,,7.3
Belgium,27,26.81818182,0.181818182,,3.8,5.5,,4.6
Mauritius,31,30.81818182,0.181818182,,4.4,5.5,,4.9
Netherlands,20,19.81818182,0.181818182,,2.8,5.5,,3.9
Barbados,36,35.81818182,0.181818182,,5.1,5.5,,5.3
Algeria,65,64.90909091,0.090909091,,9.3,5.2,,7.0
Mexico,44,43.90909091,0.090909091,,6.3,5.2,,5.7
Nepal,54,53.90909091,0.090909091,,7.7,5.2,,6.3
Nicaragua,65,64.90909091,0.090909091,,9.3,5.2,,7.0
South Africa,43,42.90909091,0.090909091,,6.1,5.2,,5.7
Togo,58,57.90909091,0.090909091,,8.3,5.2,,6.6
Vietnam,48,47.90909091,0.090909091,,6.8,5.2,,6.0
Liechtenstein,13,12.90909091,0.090909091,,1.8,5.2,,3.1
Canada,17,16.90909091,0.090909091,,2.4,5.2,,3.6
Angola,63,63,0,,9.0,5.0,,6.7
Chile,25,25,0,,3.6,5.0,,4.2
Cote dIvoire,53,53,0,,7.6,5.0,,6.2
Mozambique,60,60,0,,8.6,5.0,,6.5
UAE,33,33,0,,4.7,5.0,,4.9
Venezuela,86,86,0,,10.0,5.0,,7.1
Zimbabwe,78,78,0,,10.0,5.0,,7.1
North Macedonia,43,43.09090909,-0.090909091,,6.2,4.8,,5.4
Puerto Rico,47,47.09090909,-0.090909091,,6.7,4.8,,5.7
Tunisia,52,52.09090909,-0.090909091,,7.4,4.8,,6.0
Cameroon,63,63.18181818,-0.181818182,,9.0,4.5,,6.4
Malawi,59,59.18181818,-0.181818182,,8.5,4.5,,6.2
Namibia,42,42.18181818,-0.181818182,,6.0,4.5,,5.2
Tanzania,59,59.18181818,-0.181818182,,8.5,4.5,,6.2
Cayman Islands,27,27.18181818,-0.181818182,,3.9,4.5,,4.2
North Korea,78,78.18181818,-0.181818182,,10.0,4.5,,6.7
Syria,87,87.18181818,-0.181818182,,10.0,4.5,,6.7
Chad,69,69.27272727,-0.272727273,,9.9,4.3,,6.5
Kenya,61,61.27272727,-0.272727273,,8.8,4.3,,6.1
Uzbekistan,68,68.36363636,-0.363636364,,9.8,4.1,,6.3
Cuba,59,59.36363636,-0.363636364,,8.5,4.1,,5.9
Guatemala,54,54.36363636,-0.363636364,,7.8,4.1,,5.6
Ukraine,61,61.36363636,-0.363636364,,8.8,4.1,,6.0
Botswana,32,32.45454545,-0.454545455,,4.6,3.9,,4.2
Egypt,51,51.45454545,-0.454545455,,7.4,3.9,,5.3
Haiti,63,63.45454545,-0.454545455,,9.1,3.9,,5.9
Hong Kong,17,17.45454545,-0.454545455,,2.5,3.9,,3.1
Iraq,75,75.45454545,-0.454545455,,10.0,3.9,,6.2
Kyrgyz Republic,57,57.45454545,-0.454545455,,8.2,3.9,,5.6
Saudi Arabia,42,42.45454545,-0.454545455,,6.1,3.9,,4.8
Cabo Verde,39,39.54545455,-0.545454545,,5.6,3.6,,4.5
Cambodia,56,56.54545455,-0.545454545,,8.1,3.6,,5.4
Djibouti,53,53.54545455,-0.545454545,,7.6,3.6,,5.3
Ecuador,54,54.54545455,-0.545454545,,7.8,3.6,,5.3
Eritrea,71,71.54545455,-0.545454545,,10.0,3.6,,6.0
Bolivia,62,62.63636364,-0.636363636,,8.9,3.4,,5.5
Bulgaria,36,36.63636364,-0.636363636,,5.2,3.4,,4.2
Guyana,49,49.63636364,-0.636363636,,7.1,3.4,,4.9
Italy,35,35.63636364,-0.636363636,,5.1,3.4,,4.2
Moldova,56,56.63636364,-0.636363636,,8.1,3.4,,5.3
Senegal,49,49.63636364,-0.636363636,,7.1,3.4,,4.9
Afghanistan,69,69.63636364,-0.636363636,,9.9,3.4,,5.8
Ireland,23,23.81818182,-0.818181818,,3.4,3.0,,3.2
Armenia,48,48.81818182,-0.818181818,,7.0,3.0,,4.5
Philippines,50,50.81818182,-0.818181818,,7.3,3.0,,4.6
Romania,40,40.81818182,-0.818181818,,5.8,3.0,,4.2
Lesotho,51,51.90909091,-0.909090909,,7.4,2.7,,4.5
Madagascar,58,58.90909091,-0.909090909,,8.4,2.7,,4.8
Thailand,41,41.90909091,-0.909090909,,6.0,2.7,,4.0
Albania,49,50,-1,,7.1,2.5,,4.2
Gabon,57,58.09090909,-1.090909091,,8.3,2.3,,4.3
Iceland,24,25.09090909,-1.090909091,,3.6,2.3,,2.9
Israel,31,32.09090909,-1.090909091,,4.6,2.3,,3.2
Libya,76,77.09090909,-1.090909091,,10.0,2.3,,4.8
Serbia,46,47.09090909,-1.090909091,,6.7,2.3,,3.9
Tajikistan,73,74.09090909,-1.090909091,,10.0,2.3,,4.8
Belize,53,54.18181818,-1.181818182,,7.7,2.0,,4.0
East Timor,50,51.18181818,-1.181818182,,7.3,2.0,,3.9
Hungary,33,34.18181818,-1.181818182,,4.9,2.0,,3.2
Russia,53,54.18181818,-1.181818182,,7.7,2.0,,4.0
Suriname,52,53.18181818,-1.181818182,,7.6,2.0,,3.9
Argentina,57,58.27272727,-1.272727273,,8.3,1.8,,3.9
Sweden,16,17.27272727,-1.272727273,,2.5,1.8,,2.1
Aruba,19,20.36363636,-1.363636364,,2.9,1.6,,2.2
Estonia,24,25.36363636,-1.363636364,,3.6,1.6,,2.4
France,24,25.36363636,-1.363636364,,3.6,1.6,,2.4
Guinea,72,73.36363636,-1.363636364,,10.0,1.6,,4.0
Malaysia,29,30.36363636,-1.363636364,,4.3,1.6,,2.6
USA,25,26.36363636,-1.363636364,,3.8,1.6,,2.4
