Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,0,0,10,8.60828673206077,High-Intensity Conflict,Not Fragile,1.330373045706655,0.7216573464121541
AGO,0,0,0,6.392891917821371,NA,Not Fragile,0,0.27857838356427417
ALB,0,0,0,5,NA,Not Fragile,0,2.535017907130773
ARE,0,0,0,NA,NA,Not Fragile,0,NA
ARG,0,0,0,0,NA,Not Fragile,0,-2.6071402910926547
ARM,0,0,0,0,High-Intensity Conflict,Not Fragile,0,-0.17000989972253178
ATG,0,0,0,NA,NA,Not Fragile,0,NA
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.6850746184316011
AZE,0,0,10,0,High-Intensity Conflict,Not Fragile,1.9654741466040924,-0.5137758969041942
BDI,10,0,0,4.76011412923833,Medium-Intensity conflict,Not Fragile,-0.6364726838010836,-0.04797717415233412
BEL,0,0,0,5,NA,Not Fragile,0,2.2171121081235263
BEN,0,0,0,10,NA,Not Fragile,0,1.7488496631281765
BFA,10,0,10,6.205784216992045,Medium-Intensity conflict,Not Fragile,2.03427826532239,0.24115684339840904
BGD,0,0,0,10,NA,Not Fragile,0,1.0741138002325674
BGR,0,0,0,0,NA,Not Fragile,0,NA
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,0,NA,Not Fragile,0,-0.49540407221570343
BIH,0,0,1.6952912574299983,0,NA,Not Fragile,0.1695291257429999,-0.4272771810823557
BLR,0,0,0,0,NA,Not Fragile,0,-0.39609342292658023
BLZ,0,0,0,10,NA,Not Fragile,0,1.261160354433348
BOL,0,0,0,0,NA,Not Fragile,0,-0.3912877217032078
BRA,0,0,0,4.918946305820007,NA,Not Fragile,0,-0.016210738835998745
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,0,NA,Not Fragile,0,-0.8105676702112693
CAF,10,NA,8.476558377379803,7.476444503351108,Medium-Intensity conflict,NA,0.8476558377379804,0.49528890067022174
CAN,0,0,0,NA,NA,Not Fragile,0,NA
