Country,NH_GDAC_Hazard_Score_Norm,NH_Hazard_Score_norm,NH_seasonal_risk_norm,NH_locust_norm,NH_natural_acaps,NH_GDAC_Hazard_Score_raw,NH_Hazard_Score_raw,NH_seasonal_risk_norm_raw,NH_locust_norm_raw,NH_natural_acaps_raw
AFG,NA,9.5,7,0,0,NA,6.7,7,0,0
AGO,10,3.5,0,0,0,active - orange,3.1,0,0,0
ALB,NA,9,0,0,0,NA,6.4,0,0,0
ARE,NA,5.333333333333334,0,0,0,NA,4.2,0,0,0
ARG,NA,5,0,0,0,NA,4,0,0,0
ARM,NA,5.833333333333333,0,0,0,NA,4.5,0,0,0
ATG,NA,4.500000000000001,0,0,0,NA,3.7,0,0,0
AUS,NA,6.333333333333333,0,0,0,NA,4.8,0,0,0
AUT,NA,2.5,7,0,0,NA,2.5,7,0,0
AZE,NA,6.500000000000001,7,0,0,NA,4.9,7,0,0
BDI,NA,4.333333333333334,0,0,0,NA,3.6,0,0,0
BEL,NA,1.3333333333333321,7,0,0,NA,1.8,7,0,0
BEN,NA,3.166666666666668,7,0,0,NA,2.9,7,0,0
BFA,NA,4.500000000000001,0,0,0,NA,3.7,0,0,0
BGD,NA,10,0,0,0,NA,8.2,0,0,0
BGR,NA,4.333333333333334,0,0,0,NA,3.6,0,0,0
BHR,NA,0,0,0,0,NA,0.9,0,0,0
BHS,NA,4,0,0,0,NA,3.4,0,0,0
BIH,NA,5.166666666666666,0,0,0,NA,4.1,0,0,0
BLR,NA,2.000000000000001,0,0,0,NA,2.2,0,0,0
BLZ,NA,7.5,0,0,0,NA,5.5,0,0,0
BOL,NA,6.166666666666667,7,0,0,NA,4.7,7,0,0
BRA,0,5,0,0,0,past - orange,4,0,0,0
BRB,NA,4.666666666666667,0,0,0,NA,3.8,0,0,0
BRN,NA,2.999999999999999,7,0,0,NA,2.8,7,0,0
BTN,NA,4.166666666666666,0,0,0,NA,3.5,0,0,0
BWA,NA,2.833333333333333,0,0,0,NA,2.7,0,0,0
CAF,NA,3.5,0,0,0,NA,3.1,0,0,0
CAN,NA,5.666666666666667,0,0,0,NA,4.4,0,0,0
CHE,NA,2.166666666666667,7,0,0,NA,2.3,7,0,0
CHL,0,8.666666666666668,7,0,0,past - green,6.2,7,0,0
CHN,0,10,0,0,0,active - green,7.5,0,0,0
CIV,0,4.666666666666667,7,0,0,past - green,3.8,7,0,0
CMR,NA,4.333333333333334,0,0,0,NA,3.6,0,0,0
COD,0,5.833333333333333,0,0,0,past - green,4.5,0,0,0
COG,NA,4.833333333333333,0,0,0,NA,3.9,0,0,0
COL,NA,9.5,7,0,0,NA,6.7,7,0,0
COM,NA,2.833333333333333,0,0,0,NA,2.7,0,0,0
CPV,NA,0.8333333333333339,0,0,0,NA,1.5,0,0,0
CRI,NA,8.333333333333334,7,0,0,NA,6,7,0,0
CUB,NA,7.666666666666666,0,0,0,NA,5.6,0,0,0
CYP,NA,5.5,0,0,0,NA,4.3,0,0,0
CZE,NA,1.1666666666666679,0,0,0,NA,1.7,0,0,0
DEU,0,2.5,0,0,0,past - green,2.5,0,0,0
DJI,NA,7.333333333333334,0,0,0,NA,5.4,0,0,0
DMA,NA,6.500000000000001,0,0,0,NA,4.9,0,0,0
DNK,NA,0.5,0,0,0,NA,1.3,0,0,0
DOM,NA,9.5,0,0,0,NA,6.7,0,0,0
