Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,10,9.03678895005057,1.561399999999999,2.8040000000000003,6.633846153846154,10,0,0,32.3,0.598095238095266,215.431253667123,135.55183425075853,39.035,1.402,36.88,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.16220000000000034,0.2959999999999994,7.275384615384615,9,0,0,25.2,0.470041156462592,-21.29871605499375,-38.371669718263504,4.055,0.148,32.71,5.6,0,0
ALB,3.420000000000001,10,0,0,0.15883999999999965,0.1980000000000004,4.230769230769232,5.5,0,0,52.9,0.864660743569811,-86.54815307083126,-45.203835711162405,3.971,0.099,52.5,4.2,0,0
ARE,4.66,10,0.3631218542760237,1.6544888954133778,8.61732,0.7799999999999994,2.7723076923076926,1.25,10,0,46.7,0.874189297959973,5.446827814140368,24.817333431200673,215.433,0.39,61.98,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0.6998135907833873,0,10,10,1.3938461538461553,3.5,0,0,58.6,0.524652460628153,10.497203861750815,-17.288217990081044,533.397,13.051,70.94,3.4,0,0
ARM,3.959999999999999,NA,0,0,0.9680400000000002,2.5060000000000002,NA,4,0,0,50.2,NA,-52.82059965829333,-37.473063649429236,24.201,1.253,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,29,NA,0.01,0.01,0,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.015920000000001266,0,2.0830769230769244,0.25,0,0,75.5,0.159908944824599,0.01,0.01,0.398,0,66.46,2.1,0,0
AUT,2.3,7.217643706923472,0,0,1.154720000000001,0.6980000000000004,1.04153846153846,2.5,0,0,58.5,0.676034450107695,-49.225699236684214,-43.417592735645954,28.868,0.349,73.23,3,0,0
AZE,7.16,4.127234541997124,0,0,0.25700000000000145,0.3379999999999992,2.4523076923076914,5,0,0,34.2,0.469132224633239,-64.3943153620573,-64.51154959895771,6.425,0.169,64.06,4,0,0
BDI,9.44,4.299045343275116,6.666666666674814e-4,6.666666666674814e-4,0.05191999999999908,0,9.663076923076924,10,0,0,22.8,0.480634920634923,0.01,0.01,1.298,0,17.19,6.5,0,0
BEL,1.8000000000000007,6.770332000252788,0,0,2.72952,1.3559999999999999,2.4030769230769238,2,0,0,61,0.646087028050672,-38.255549406628546,-46.95303096194078,68.238,0.678,64.38,2.8,0,0
BEN,8.24,2.330799837266798,6.666666666674814e-4,6.666666666674814e-4,0.012719999999999843,0,6.1692307692307695,9.5,0,0,28.8,0.348861309523812,0.01,0.01,0.318,0,39.9,5.8,0,0
BFA,7.9799999999999995,3.0041812214930994,0,0,0.0016400000000000858,0,6.298461538461538,10,10,0,30.1,0.393944047619048,-46.15384615384616,-27.25299531168604,0.041,0,39.06,6.3,10,0
BGD,7,7.0074132043683814,1.5056996116748085,2.956262203231253,0.5527999999999995,0.484,3.621538461538462,8,0,0,35,0.661959563411487,22.58549417512212,44.34393304846879,13.82,0.242,56.46,5.2,0,0
