Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0,0,1.6689999999999987,4.396,7.067692307692308,10,0,0,32.3,0.598095238095266,-19.945142955101865,-29.80233642302343,41.725,2.198,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.12655999999999956,0.19200000000000017,6.443076923076924,9,0,0,25.2,0.470041156462592,-13.923352633030047,-20.551003766551474,3.164,0.096,38.12,5.6,0,0
ALB,3.420000000000001,10,0,4.2412578380695285,0.11319999999999908,0,4.952307692307691,5.5,0,0,52.9,0.864660743569811,-100,63.61886757104293,2.83,0,47.81,4.2,0,0
ARE,4.66,10,0,0,6.20748,0.9239999999999995,2.1707692307692303,1.25,10,0,46.7,0.874189297959973,-4.275147928994081,-21.523849409684832,155.187,0.462,65.89,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-14.625125673332917,-13.15357237955357,355.517,9.094,69.38,3.4,0,0
ARM,3.959999999999999,NA,4.431015240879139,3.1160572272789624,1.610199999999999,1.7360000000000007,NA,4,0,0,50.2,NA,66.4652286131871,46.74085840918444,40.255,0.868,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.11672000000000082,0,NA,4,0,0,29,NA,0.01,0.01,2.918,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.09344000000000108,0.012000000000000455,2.964615384615385,0.25,0,0,75.5,0.159908944824599,0.01,0.01,2.336,0.006,60.73,2.1,0,0
AUT,2.3,7.217643706923472,0,0,0.5551600000000008,0.44400000000000084,2.0030769230769234,2.5,0,0,58.5,0.676034450107695,-39.250493096646935,-12.872211770736916,13.879,0.222,66.98,3,0,0
AZE,7.16,4.127234541997124,0.037422037422036425,7.94611439016338,0.4717199999999995,0.16999999999999993,3.172307692307692,5,0,0,34.2,0.469132224633239,0.5613305613305604,119.19171585245071,11.793,0.085,59.38,4,0,0
