Index,Countryname,Country,Data Level,Outlook,Dimension,Key,Value,Value_Char,Risk Label,Display Status,Overall Contribution
1,Afghanistan,AFG,Flag Count,Overall,Flag,Number of Flags,4.5,4.5,4,Main,TRUE
2,Afghanistan,AFG,Dimension Value,Overall,Food Security,Food Security,10,10,High,Main,TRUE
3,Afghanistan,AFG,Dimension Value,Overall,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,TRUE
4,Afghanistan,AFG,Dimension Value,Overall,Health,Health,8,8,High,Main,TRUE
5,Afghanistan,AFG,Dimension Value,Overall,Macro Fiscal,Macro Fiscal,6,6,Medium,Main,TRUE
6,Afghanistan,AFG,Dimension Value,Overall,Natural Hazard,Natural Hazard,8,8,High,Main,TRUE
7,Afghanistan,AFG,Dimension Value,Overall,Socioeconomic Vulnerability,Socioeconomic Vulnerability,8,8,High,Main,TRUE
8,Afghanistan,AFG,Flag Count,Underlying,Flag,Number of Flags,3.5,3.5,3,Main,FALSE
9,Afghanistan,AFG,Dimension Value,Underlying,Food Security,Food Security,10,10,High,Main,FALSE
10,Afghanistan,AFG,Indicator,Underlying,Food Security,Proteus Composite Index,10,10,10,Secondary,TRUE
11,Afghanistan,AFG,Dimension Value,Underlying,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
12,Afghanistan,AFG,Indicator,Underlying,Conflict and Fragility,FCS,0,0,0,Secondary,TRUE
13,Afghanistan,AFG,Dimension Value,Underlying,Health,Health,10,10,High,Main,FALSE
14,Afghanistan,AFG,Indicator,Underlying,Health,Global Health Security Index,7,7,7,Secondary,TRUE
15,Afghanistan,AFG,Indicator,Underlying,Health,INFORM Rating,10,10,10,Secondary,TRUE
16,Afghanistan,AFG,Dimension Value,Underlying,Macro Fiscal,Macro Fiscal,6,6,Low,Main,FALSE
17,Afghanistan,AFG,Indicator,Underlying,Macro Fiscal,Operational Risk Score,6,6,6,Secondary,TRUE
18,Afghanistan,AFG,Dimension Value,Underlying,Natural Hazard,Natural Hazard,9,9,Medium,Main,FALSE
19,Afghanistan,AFG,Indicator,Underlying,Natural Hazard,INFORM Natural Multi-hazard Rating,9,9,9,Secondary,TRUE
20,Afghanistan,AFG,Dimension Value,Underlying,Socioeconomic Vulnerability,Socioeconomic Vulnerability,10,10,High,Main,FALSE
21,Afghanistan,AFG,Indicator,Underlying,Socioeconomic Vulnerability,INFORM Socio-economic Vulnerability Index,10,10,10,Secondary,TRUE
22,Afghanistan,AFG,Flag Count,Emerging,Flag,Number of Flags,3.5,3.5,3,Main,FALSE
23,Afghanistan,AFG,Dimension Value,Emerging,Food Security,Food Security,10,10,High,Main,FALSE
24,Afghanistan,AFG,Indicator,Emerging,Food Security,FAO WFP Warning,10,10,10,Secondary,TRUE
25,Afghanistan,AFG,Indicator,Emerging,Food Security,FEWS NET Score,10,10,10,Secondary,TRUE
26,Afghanistan,AFG,Indicator,Emerging,Food Security,Food Price Inflation (Secondary Indicator),NA,NA,NA,Secondary,TRUE
27,Afghanistan,AFG,Dimension Value,Emerging,Conflict and Fragility,Conflict and Fragility,10,10,High,Main,FALSE
28,Afghanistan,AFG,Indicator,Emerging,Conflict and Fragility,Political Fatalities,8,8,8,Secondary,TRUE
29,Afghanistan,AFG,Indicator,Emerging,Conflict and Fragility,Forcibly Displaced People,10,10,10,Secondary,TRUE
30,Afghanistan,AFG,Indicator,Emerging,Conflict and Fragility,Political Disturbance,0,0,0,Secondary,TRUE
31,Afghanistan,AFG,Dimension Value,Emerging,Health,Health,7,7,Medium,Main,FALSE
32,Afghanistan,AFG,Indicator,Emerging,Health,"Covid Growth, Cases (biweekly)",0,0,0,Secondary,TRUE
33,Afghanistan,AFG,Indicator,Emerging,Health,"Covid Growth, Deaths (biweekly)",0,0,0,Secondary,TRUE
34,Afghanistan,AFG,Indicator,Emerging,Health,Oxford Gov Response Index,7,7,7,Secondary,TRUE
35,Afghanistan,AFG,Indicator,Emerging,Health,ACAPS Health Crisis Tracker,0,0,0,Secondary,TRUE
36,Afghanistan,AFG,Indicator,Emerging,Health,New Covid Cases per 1M,1,1,1,Secondary,TRUE
37,Afghanistan,AFG,Indicator,Emerging,Health,New Covid Deaths per 1M,4,4,4,Secondary,TRUE
38,Afghanistan,AFG,Indicator,Emerging,Health,Oxford Lockdown Rollback Index,6,6,6,Secondary,TRUE
39,Afghanistan,AFG,Indicator,Emerging,Health,WHO Disease Outbreak News,0,0,0,Secondary,TRUE
40,Afghanistan,AFG,Dimension Value,Emerging,Macro Fiscal,Macro Fiscal,6,6,Low,Main,FALSE
41,Afghanistan,AFG,Indicator,Emerging,Macro Fiscal,Operational Risk Score,6,6,6,Secondary,TRUE
42,Afghanistan,AFG,Dimension Value,Emerging,Natural Hazard,Natural Hazard,7,7,Medium,Main,FALSE
43,Afghanistan,AFG,Indicator,Emerging,Natural Hazard,GDACS Live Hazard Tracker,NA,NA,NA,Secondary,TRUE
44,Afghanistan,AFG,Indicator,Emerging,Natural Hazard,Locust Threat Level,0,0,0,Secondary,TRUE
45,Afghanistan,AFG,Indicator,Emerging,Natural Hazard,INFORM Severity,0,0,0,Secondary,TRUE
46,Afghanistan,AFG,Indicator,Emerging,Natural Hazard,Seasonal Forecast Index,7,7,7,Secondary,TRUE
47,Afghanistan,AFG,Dimension Value,Emerging,Socioeconomic Vulnerability,Socioeconomic Vulnerability,7,7,Medium,Main,FALSE
48,Afghanistan,AFG,Indicator,Emerging,Socioeconomic Vulnerability,"Unemployment Rate, % Change",NA,NA,NA,Secondary,TRUE
49,Afghanistan,AFG,Indicator,Emerging,Socioeconomic Vulnerability,MFRI Household Level Risk,NA,NA,NA,Secondary,TRUE
50,Afghanistan,AFG,Indicator,Emerging,Socioeconomic Vulnerability,Income Support,7,7,7,Secondary,TRUE
51,Afghanistan,AFG,Indicator,Emerging,Socioeconomic Vulnerability,COVID Phone Survey Index,1,1,1,Secondary,TRUE
52,Afghanistan,AFG,Indicator,Emerging,Socioeconomic Vulnerability,"People Below $1.90 Poverty Line, % Change",NA,NA,NA,Secondary,TRUE
53,Angola,AGO,Flag Count,Overall,Flag,Number of Flags,4.5,4.5,4,Main,TRUE
54,Angola,AGO,Dimension Value,Overall,Food Security,Food Security,9,9,High,Main,TRUE
55,Angola,AGO,Dimension Value,Overall,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,TRUE
56,Angola,AGO,Dimension Value,Overall,Health,Health,7,7,High,Main,TRUE
57,Angola,AGO,Dimension Value,Overall,Macro Fiscal,Macro Fiscal,9,9,High,Main,TRUE
58,Angola,AGO,Dimension Value,Overall,Natural Hazard,Natural Hazard,5,5,Medium,Main,TRUE
59,Angola,AGO,Dimension Value,Overall,Socioeconomic Vulnerability,Socioeconomic Vulnerability,8,8,High,Main,TRUE
60,Angola,AGO,Flag Count,Underlying,Flag,Number of Flags,2.5,2.5,2,Main,FALSE
61,Angola,AGO,Dimension Value,Underlying,Food Security,Food Security,9,9,Medium,Main,FALSE
62,Angola,AGO,Indicator,Underlying,Food Security,Proteus Composite Index,9,9,9,Secondary,TRUE
63,Angola,AGO,Dimension Value,Underlying,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
64,Angola,AGO,Indicator,Underlying,Conflict and Fragility,FCS,0,0,0,Secondary,TRUE
65,Angola,AGO,Dimension Value,Underlying,Health,Health,9,9,Medium,Main,FALSE
66,Angola,AGO,Indicator,Underlying,Health,Global Health Security Index,8,8,8,Secondary,TRUE
67,Angola,AGO,Indicator,Underlying,Health,INFORM Rating,9,9,9,Secondary,TRUE
