"","Index","Countryname","Country","Outlook","Count","Previous Count","Flag Change"
"1",1,"Afghanistan","AFG","Overall",4.5,4.5,0
"2",8,"Afghanistan","AFG","Underlying",3.5,3.5,0
"3",22,"Afghanistan","AFG","Emerging",3.5,3.5,0
"4",53,"Angola","AGO","Overall",4.5,4.5,0
"5",60,"Angola","AGO","Underlying",2.5,2.5,0
"6",74,"Angola","AGO","Emerging",3,3,0
"7",105,"Albania","ALB","Overall",1.5,1.5,0
"8",112,"Albania","ALB","Underlying",0.5,0.5,0
"9",126,"Albania","ALB","Emerging",2,2,0
"10",157,"United Arab Emirates","ARE","Overall",0.5,0.5,0
"11",164,"United Arab Emirates","ARE","Underlying",0,0,0
"12",178,"United Arab Emirates","ARE","Emerging",1.5,1.5,0
"13",209,"Argentina","ARG","Overall",1.5,1.5,0
"14",216,"Argentina","ARG","Underlying",1,1,0
"15",230,"Argentina","ARG","Emerging",3,3,0
"16",261,"Armenia","ARM","Overall",0.5,0.5,0
"17",268,"Armenia","ARM","Underlying",0,0,0
"18",282,"Armenia","ARM","Emerging",1,1,0
"19",313,"Antigua and Barbuda","ATG","Overall",0,0,0
"20",320,"Antigua and Barbuda","ATG","Underlying",0.5,0.5,0
"21",334,"Antigua and Barbuda","ATG","Emerging",0,0,0
"22",365,"Australia","AUS","Overall",0,0,0
"23",372,"Australia","AUS","Underlying",0,0,0
"24",386,"Australia","AUS","Emerging",0.5,0.5,0
"25",417,"Austria","AUT","Overall",0,0,0
"26",424,"Austria","AUT","Underlying",0,0,0
"27",438,"Austria","AUT","Emerging",1,1,0
"28",469,"Azerbaijan","AZE","Overall",2.5,2,0.5
"29",476,"Azerbaijan","AZE","Underlying",1,1,0
"30",490,"Azerbaijan","AZE","Emerging",2.5,2,0.5
"31",521,"Burundi","BDI","Overall",4,4,0
"32",528,"Burundi","BDI","Underlying",4.5,4.5,0
"33",542,"Burundi","BDI","Emerging",1,1,0
"34",573,"Belgium","BEL","Overall",0,0,0
"35",580,"Belgium","BEL","Underlying",0,0,0
"36",594,"Belgium","BEL","Emerging",2,2,0
"37",625,"Benin","BEN","Overall",2,2,0
"38",632,"Benin","BEN","Underlying",1.5,1.5,0
"39",646,"Benin","BEN","Emerging",1.5,1.5,0
"40",677,"Burkina Faso","BFA","Overall",4,4,0
"41",684,"Burkina Faso","BFA","Underlying",3,3,0
"42",698,"Burkina Faso","BFA","Emerging",2.5,2.5,0
"43",729,"Bangladesh","BGD","Overall",2.5,2.5,0
"44",736,"Bangladesh","BGD","Underlying",2,2,0
"45",750,"Bangladesh","BGD","Emerging",3,3,0
"46",781,"Bulgaria","BGR","Overall",0.5,0.5,0
"47",788,"Bulgaria","BGR","Underlying",0,0,0
"48",802,"Bulgaria","BGR","Emerging",0.5,0.5,0
"49",833,"Bahrain","BHR","Overall",2,2,0
"50",840,"Bahrain","BHR","Underlying",0,0,0
"51",854,"Bahrain","BHR","Emerging",1.5,1.5,0
"52",885,"Bahamas","BHS","Overall",1.5,1,0.5
"53",892,"Bahamas","BHS","Underlying",0.5,0.5,0
"54",906,"Bahamas","BHS","Emerging",1.5,1,0.5
"55",937,"Bosnia and Herzegovina","BIH","Overall",1.5,1.5,0
"56",944,"Bosnia and Herzegovina","BIH","Underlying",0,0,0
"57",958,"Bosnia and Herzegovina","BIH","Emerging",2.5,2.5,0
"58",989,"Belarus","BLR","Overall",1.5,1.5,0
"59",996,"Belarus","BLR","Underlying",0.5,0.5,0
"60",1010,"Belarus","BLR","Emerging",1.5,1.5,0
"61",1041,"Belize","BLZ","Overall",1.5,1.5,0
"62",1048,"Belize","BLZ","Underlying",1,1,0
"63",1062,"Belize","BLZ","Emerging",2,2,0
"64",1093,"Bolivia","BOL","Overall",2.5,2.5,0
"65",1100,"Bolivia","BOL","Underlying",1,1,0
"66",1114,"Bolivia","BOL","Emerging",2,2,0
"67",1145,"Brazil","BRA","Overall",2,2,0
"68",1152,"Brazil","BRA","Underlying",0,0,0
"69",1166,"Brazil","BRA","Emerging",2.5,2.5,0
"70",1197,"Barbados","BRB","Overall",2,2,0
"71",1204,"Barbados","BRB","Underlying",0.5,0.5,0
"72",1218,"Barbados","BRB","Emerging",1.5,1.5,0
"73",1249,"Brunei Darussalam","BRN","Overall",0.5,0.5,0
"74",1256,"Brunei Darussalam","BRN","Underlying",0.5,0.5,0
"75",1270,"Brunei Darussalam","BRN","Emerging",1,1,0
"76",1301,"Bhutan","BTN","Overall",2,2,0
"77",1308,"Bhutan","BTN","Underlying",0.5,0.5,0
"78",1322,"Bhutan","BTN","Emerging",1.5,1.5,0
"79",1353,"Botswana","BWA","Overall",2,2,0
"80",1360,"Botswana","BWA","Underlying",0.5,0.5,0
"81",1374,"Botswana","BWA","Emerging",1.5,2,-0.5
"82",1405,"Central African Republic","CAF","Overall",5,5,0
"83",1412,"Central African Republic","CAF","Underlying",4,4,0
"84",1426,"Central African Republic","CAF","Emerging",3,3,0
"85",1457,"Canada","CAN","Overall",0,0,0
"86",1464,"Canada","CAN","Underlying",0,0,0
"87",1478,"Canada","CAN","Emerging",1.5,1.5,0
"88",1509,"Switzerland","CHE","Overall",0,0,0
"89",1516,"Switzerland","CHE","Underlying",0,0,0
"90",1530,"Switzerland","CHE","Emerging",0.5,0.5,0
"91",1561,"Chile","CHL","Overall",1.5,1.5,0
"92",1568,"Chile","CHL","Underlying",0.5,0.5,0
"93",1582,"Chile","CHL","Emerging",2.5,2.5,0
"94",1613,"China","CHN","Overall",1,1,0
"95",1620,"China","CHN","Underlying",1,1,0
"96",1634,"China","CHN","Emerging",2,2,0
"97",1665,"Côte d'Ivoire","CIV","Overall",3,3,0
"98",1672,"Côte d'Ivoire","CIV","Underlying",1.5,1.5,0
"99",1686,"Côte d'Ivoire","CIV","Emerging",1.5,2.5,-1
"100",1717,"Cameroon","CMR","Overall",4.5,4.5,0
"101",1724,"Cameroon","CMR","Underlying",2.5,2.5,0
"102",1738,"Cameroon","CMR","Emerging",3,3,0
"103",1769,"Congo DR","COD","Overall",5,5,0
"104",1776,"Congo DR","COD","Underlying",4.5,4.5,0
"105",1790,"Congo DR","COD","Emerging",4.5,4.5,0
"106",1821,"Congo","COG","Overall",4,3.5,0.5
"107",1828,"Congo","COG","Underlying",3.5,3.5,0
"108",1842,"Congo","COG","Emerging",2.5,2.5,0
"109",1873,"Colombia","COL","Overall",3.5,3.5,0
"110",1880,"Colombia","COL","Underlying",0.5,0.5,0
"111",1894,"Colombia","COL","Emerging",3.5,3.5,0
"112",1925,"Comoros","COM","Overall",0.5,0.5,0
"113",1932,"Comoros","COM","Underlying",3,3,0
"114",1946,"Comoros","COM","Emerging",0,0,0
"115",1977,"Cabo Verde","CPV","Overall",1.5,1.5,0
"116",1984,"Cabo Verde","CPV","Underlying",0.5,0.5,0
"117",1998,"Cabo Verde","CPV","Emerging",0.5,0.5,0
"118",2029,"Costa Rica","CRI","Overall",2.5,2.5,0
"119",2036,"Costa Rica","CRI","Underlying",0.5,0.5,0
"120",2050,"Costa Rica","CRI","Emerging",2.5,2.5,0
"121",2081,"Cuba","CUB","Overall",2,2,0
"122",2088,"Cuba","CUB","Underlying",1.5,1.5,0
"123",2102,"Cuba","CUB","Emerging",2,2,0
"124",2133,"Cyprus","CYP","Overall",1,1,0
"125",2140,"Cyprus","CYP","Underlying",0,0,0
"126",2154,"Cyprus","CYP","Emerging",1,1,0
"127",2185,"Czech Republic","CZE","Overall",0.5,0.5,0
"128",2192,"Czech Republic","CZE","Underlying",0,0,0
"129",2206,"Czech Republic","CZE","Emerging",1.5,1.5,0
"130",2237,"Germany","DEU","Overall",0,0,0
"131",2244,"Germany","DEU","Underlying",0,0,0
"132",2258,"Germany","DEU","Emerging",0,0,0
"133",2289,"Djibouti","DJI","Overall",2,2,0
"134",2296,"Djibouti","DJI","Underlying",2,2,0
"135",2310,"Djibouti","DJI","Emerging",0,0,0
"136",2341,"Dominica","DMA","Overall",1,1,0
"137",2348,"Dominica","DMA","Underlying",0.5,0.5,0
"138",2362,"Dominica","DMA","Emerging",0,0,0
"139",2393,"Denmark","DNK","Overall",0,0,0
"140",2400,"Denmark","DNK","Underlying",0,0,0
"141",2414,"Denmark","DNK","Emerging",1.5,1.5,0
"142",2445,"Dominican Republic","DOM","Overall",1.5,1.5,0
"143",2452,"Dominican Republic","DOM","Underlying",0.5,0.5,0
"144",2466,"Dominican Republic","DOM","Emerging",1,1,0
"145",2497,"Algeria","DZA","Overall",2.5,2.5,0
"146",2504,"Algeria","DZA","Underlying",1,1,0
"147",2518,"Algeria","DZA","Emerging",1,1,0
"148",2549,"Ecuador","ECU","Overall",3,3,0
"149",2556,"Ecuador","ECU","Underlying",0.5,0.5,0
"150",2570,"Ecuador","ECU","Emerging",3,3,0
"151",2601,"Egypt","EGY","Overall",2,2,0
"152",2608,"Egypt","EGY","Underlying",0,0,0
"153",2622,"Egypt","EGY","Emerging",1.5,1.5,0
"154",2653,"Eritrea","ERI","Overall",2,2,0
"155",2660,"Eritrea","ERI","Underlying",3.5,3.5,0
"156",2674,"Eritrea","ERI","Emerging",0.5,0.5,0
"157",2705,"Spain","ESP","Overall",0,0,0
"158",2712,"Spain","ESP","Underlying",0,0,0
"159",2726,"Spain","ESP","Emerging",2,2,0
"160",2757,"Estonia","EST","Overall",0.5,0.5,0
"161",2764,"Estonia","EST","Underlying",0,0,0
"162",2778,"Estonia","EST","Emerging",2,2,0
"163",2809,"Ethiopia","ETH","Overall",5,5,0
"164",2816,"Ethiopia","ETH","Underlying",3.5,3.5,0
"165",2830,"Ethiopia","ETH","Emerging",2.5,2.5,0
"166",2861,"Finland","FIN","Overall",0,0,0
"167",2868,"Finland","FIN","Underlying",0,0,0
"168",2882,"Finland","FIN","Emerging",2,2.5,-0.5
"169",2913,"Fiji","FJI","Overall",1.5,1.5,0
"170",2920,"Fiji","FJI","Underlying",0.5,0.5,0
"171",2934,"Fiji","FJI","Emerging",2,2,0
"172",2965,"France","FRA","Overall",0,0,0
"173",2972,"France","FRA","Underlying",0,0,0
"174",2986,"France","FRA","Emerging",1,1,0
"175",3017,"Micronesia","FSM","Overall",0.5,0.5,0
"176",3024,"Micronesia","FSM","Underlying",1.5,1.5,0
"177",3038,"Micronesia","FSM","Emerging",0.5,0.5,0
"178",3069,"Gabon","GAB","Overall",2,2,0
"179",3076,"Gabon","GAB","Underlying",1,1,0
"180",3090,"Gabon","GAB","Emerging",1,1,0
"181",3121,"United Kingdom","GBR","Overall",0,0,0
"182",3128,"United Kingdom","GBR","Underlying",0,0,0
"183",3142,"United Kingdom","GBR","Emerging",2,2,0
"184",3173,"Georgia","GEO","Overall",1.5,1,0.5
"185",3180,"Georgia","GEO","Underlying",0,0,0
"186",3194,"Georgia","GEO","Emerging",3,2.5,0.5
"187",3225,"Ghana","GHA","Overall",3,3,0
"188",3232,"Ghana","GHA","Underlying",1,1,0
"189",3246,"Ghana","GHA","Emerging",2.5,2.5,0
"190",3277,"Guinea","GIN","Overall",3.5,3.5,0
