"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"1","Afghanistan","AFG",54.3333333333333,54.3333333333333,56.1515151515151,0,-1.81818181818181,6.95081967213115,6.6505281690141,6.87976864385922
"2","Angola","AGO",74.3333333333333,74.3333333333333,74.3333333333333,0,0,10,9.29137323943663,10
"3","Albania","ALB",39.6666666666667,46.3333333333333,46.6363636363636,-6.66666666666667,-6.96969696969697,4.0655737704918,0,4.94769874476988
"4","United Arab Emirates","ARE",29.3333333333333,37.6666666666667,37.2424242424242,-8.33333333333333,-7.90909090909091,2.0327868852459,0,3.04024120108294
"5","Argentina","ARG",73,73,73.5757575757576,0,-0.575757575757578,10,8.45510563380282,10
"6","Armenia","ARM",40.3333333333333,38.6666666666667,43.6666666666667,1.66666666666667,-3.33333333333333,4.19672131147541,4.44982394366198,4.34469603741078
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA
"8","Australia","AUS",19,19,20.6969696969697,0,-1.6969696969697,0,6.82658450704226,0
"9","Austria","AUT",21.3333333333333,24.6666666666667,25.030303030303,-3.33333333333334,-3.6969696969697,0.459016393442621,3.92165492957746,0.560546394289934
"10","Azerbaijan","AZE",59.3333333333333,59.3333333333333,59.030303030303,0,0.303030303030305,7.9344262295082,9.73151408450705,7.46431208466651
"11","Burundi","BDI",69.6666666666667,69.6666666666667,73.5151515151515,0,-3.84848484848484,9.9672131147541,3.70158450704226,10
"12","Belgium","BEL",32,32,32,0,0,2.55737704918033,9.29137323943663,1.97575682992863
"13","Benin","BEN",44.6666666666667,48,50.5757575757576,-3.33333333333334,-5.90909090909091,5.04918032786885,0.708626760563384,5.74760029534827
"14","Burkina Faso","BFA",34,35.3333333333333,38.8787878787879,-1.33333333333334,-4.87878787878788,2.95081967213115,2.20510563380281,3.37250799901551
"15","Bangladesh","BGD",39.6666666666667,39.6666666666667,39.8181818181818,0,-0.151515151515156,4.0655737704918,9.07130281690141,3.5632537533842
"16","Bulgaria","BGR",30,30,34.3636363636364,0,-4.36363636363637,2.16393442622951,2.95334507042253,2.45569776027566
"17","Bahrain","BHR",49.6666666666667,49.6666666666667,49.969696969697,0,-0.303030303030305,6.0327868852459,8.8512323943662,5.62453851833621
"18","Bahamas","BHS",39.6666666666667,39.6666666666667,43.9090909090909,0,-4.24242424242424,4.0655737704918,3.12940140845071,4.3939207482156
"19","Bosnia and Herzegovina","BIH",44.3333333333333,44.3333333333333,42.5151515151515,0,1.81818181818183,4.98360655737705,10,4.11087866108787
"20","Belarus","BLR",63.3333333333333,63.3333333333333,62.7272727272727,0,0.606060606060609,8.72131147540984,10,8.21498892444007
"21","Belize","BLZ",47.3333333333333,47.3333333333333,51.8787878787879,0,-4.54545454545454,5.57377049180328,2.68926056338029,6.0121831159242
"22","Bolivia","BOL",50,55,54.5454545454545,-5,-4.54545454545454,6.09836065573771,2.68926056338029,6.55365493477726
"23","Brazil","BRA",48,43,48.1212121212121,5,-0.121212121212125,5.70491803278689,9.11531690140845,5.24920009844942
"24","Barbados","BRB",49.3333333333333,49.3333333333333,49.3333333333333,0,0,5.9672131147541,9.29137323943663,5.49532365247354
"25","Brunei Darussalam","BRN",20.6666666666667,21.6666666666667,26.030303030303,-1,-5.36363636363636,0.327868852459018,1.50088028169014,0.763598326359833
"26","Bhutan","BTN",37,35.6666666666667,35.4848484848485,1.33333333333334,1.51515151515152,3.54098360655738,10,2.68336204774797
"27","Botswana","BWA",24.6666666666667,24.6666666666667,30.2424242424242,0,-5.57575757575757,1.11475409836066,1.19278169014085,1.61887767659365
"28","Central African Republic","CAF",52,49.3333333333333,51.7272727272727,2.66666666666666,0.272727272727273,6.49180327868853,9.68750000000001,5.98141767167118
"29","Canada","CAN",23.3333333333333,25,24.6969696969697,-1.66666666666667,-1.36363636363637,0.852459016393443,7.31073943661972,0.492862416933303
"30","Switzerland","CHE",9.66666666666667,9.66666666666667,16.030303030303,0,-6.36363636363637,0,0.0484154929577443,0
"31","Chile","CHL",18,18,19.8181818181818,0,-1.81818181818182,0,6.65052816901409,0
"32","China","CHN",29.6666666666667,29.6666666666667,36.5151515151515,0,-6.84848484848485,2.09836065573771,0,2.89256706866847
"33","Côte d'Ivoire","CIV",36,36,36,0,0,3.34426229508197,9.29137323943663,2.78796455820822
"34","Cameroon","CMR",49,49,51.2727272727273,0,-2.27272727272727,5.9016393442623,5.99031690140845,5.88912133891214
"35","Congo DR","COD",71.6666666666667,71.6666666666667,71.8181818181818,0,-0.151515151515142,10,9.07130281690143,10
"36","Congo","COG",60,60,59.6060606060606,0,0.393939393939398,8.0655737704918,9.86355633802818,7.58122077282796
"37","Colombia","COL",36.6666666666667,39,41.6060606060606,-2.33333333333334,-4.93939393939394,3.47540983606557,2.11707746478873,3.92628599556978
"38","Comoros","COM",NA,NA,NA,NA,NA,NA,NA,NA
"39","Cabo Verde","CPV",43,43,44.5454545454545,0,-1.54545454545454,4.72131147540984,7.04665492957748,4.52313561407827
"40","Costa Rica","CRI",32,32,35.3333333333333,0,-3.33333333333334,2.55737704918033,4.44982394366197,2.65259660349496
"41","Cuba","CUB",79,73.6666666666667,75.2727272727273,5.33333333333333,3.72727272727273,10,10,10
"42","Cyprus","CYP",33,44.6666666666667,42.5454545454545,-11.6666666666667,-9.54545454545454,2.75409836065574,0,4.11703174993847
"43","Czech Republic","CZE",26,31,34.7575757575758,-5,-8.75757575757576,1.37704918032787,0,2.5356879153335
"44","Germany","DEU",11.3333333333333,14,19.5454545454545,-2.66666666666667,-8.21212121212121,0,0,0
"45","Djibouti","DJI",47.3333333333333,47.3333333333333,49.8484848484849,0,-2.51515151515152,5.57377049180328,5.63820422535212,5.5999261629338
"46","Dominica","DMA",NA,NA,NA,NA,NA,NA,NA,NA
"47","Denmark","DNK",20,20,21.2121212121212,0,-1.21212121212121,0.196721311475409,7.53080985915494,0
"48","Dominican Republic","DOM",48.3333333333333,48.3333333333333,49.2424242424242,0,-0.909090909090907,5.77049180327869,7.97095070422536,5.47686438592173
"49","Algeria","DZA",57.6666666666667,56.6666666666667,58.1212121212121,1,-0.45454545454546,7.60655737704918,8.63116197183098,7.27971941914842
"50","Ecuador","ECU",50.6666666666667,47.6666666666667,50.030303030303,3,0.636363636363633,6.22950819672131,10,5.63684469603741
"51","Egypt","EGY",52,51.3333333333333,53.2727272727273,0.666666666666664,-1.27272727272727,6.49180327868853,7.44278169014085,6.29522520305193
"52","Eritrea","ERI",64,64,67.030303030303,0,-3.03030303030303,8.85245901639344,4.8899647887324,9.0887275412257
"53","Spain","ESP",27,40.3333333333333,36.5757575757576,-13.3333333333333,-9.57575757575757,1.57377049180328,0,2.90487324636968
"54","Estonia","EST",26.6666666666667,26.6666666666667,27.9090909090909,0,-1.24242424242424,1.50819672131148,7.48679577464789,1.14508983509722
"55","Ethiopia","ETH",68,68,69.969696969697,0,-1.96969696969697,9.63934426229508,6.43045774647888,9.68557715973419
"56","Finland","FIN",24.6666666666667,24.6666666666667,23.9090909090909,0,0.757575757575761,1.11475409836066,10,0.332882106817623
"57","Fiji","FJI",NA,NA,NA,NA,NA,NA,NA,NA
"58","France","FRA",17.3333333333333,17.3333333333333,21.7272727272727,0,-4.3939393939394,0,2.90933098591549,0
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA
"60","Gabon","GAB",48.6666666666667,52,52.8787878787879,-3.33333333333334,-4.21212121212121,5.83606557377049,3.17341549295775,6.21523504799409
"61","United Kingdom","GBR",22.6666666666667,33.3333333333333,31.8484848484848,-10.6666666666667,-9.18181818181818,0.721311475409838,0,1.94499138567561
"62","Georgia","GEO",27.6666666666667,27.6666666666667,31.3030303030303,0,-3.63636363636363,1.70491803278689,4.00968309859156,1.83423578636475
"63","Ghana","GHA",58,57,56.4242424242424,1,1.57575757575759,7.67213114754098,10,6.93514644351465
"64","Guinea","GIN",65.3333333333333,63.6666666666667,67.6060606060606,1.66666666666666,-2.27272727272728,9.11475409836066,5.99031690140844,9.20563622938716
"65","Gambia","GMB",58,58,59.5151515151515,0,-1.51515151515152,7.67213114754098,7.0906690140845,7.56276150627616
"66","Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA,NA,NA
"67","Equatorial Guinea","GNQ",61.6666666666667,64,64.0909090909091,-2.33333333333334,-2.42424242424243,8.39344262295082,5.77024647887324,8.49187792271721
"68","Greece","GRC",41.3333333333333,41.3333333333333,42.8484848484849,0,-1.51515151515152,4.39344262295082,7.09066901408451,4.1785626384445
"69","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA
"70","Guatemala","GTM",40.6666666666667,39,42.3333333333333,1.66666666666666,-1.66666666666667,4.26229508196721,6.87059859154929,4.07396012798425
"71","Guyana","GUY",38,38,37.7575757575758,0,0.242424242424242,3.73770491803279,9.64348591549297,3.1448437115432
"72","Honduras","HND",36.3333333333333,36.3333333333333,41.1818181818182,0,-4.84848484848484,3.40983606557377,2.24911971830987,3.84014275166134
"73","Croatia","HRV",39,39,37.030303030303,0,1.96969696969697,3.9344262295082,10,2.99716957912872
"74","Haiti","HTI",55,55,58.030303030303,0,-3.03030303030303,7.08196721311475,4.8899647887324,7.26126015259661
"75","Hungary","HUN",35.6666666666667,39,41.1212121212121,-3.33333333333334,-5.45454545454546,3.27868852459016,1.36883802816901,3.82783657396013
"76","Indonesia","IDN",39.6666666666667,38,42.0909090909091,1.66666666666666,-2.42424242424243,4.0655737704918,5.77024647887324,4.02473541717943
"77","India","IND",36,39.3333333333333,41,-3.33333333333334,-5,3.34426229508197,2.02904929577465,3.80322421855772
"78","Ireland","IRL",21,20.3333333333333,22.2727272727273,0.666666666666668,-1.27272727272727,0.393442622950818,7.44278169014085,0.000615308885059562
"79","Iran","IRN",80.6666666666667,80.6666666666667,78.3939393939394,0,2.27272727272728,10,10,10
"80","Iraq","IRQ",66,66,66.3030303030303,0,-0.303030303030297,9.24590163934426,8.85123239436621,8.94105340881123
"81","Iceland","ISL",33,33,36.3636363636364,0,-3.36363636363637,2.75409836065574,4.40580985915493,2.86180162441546
"82","Israel","ISR",26.6666666666667,30,31.8181818181818,-3.33333333333333,-5.15151515151515,1.50819672131148,1.80897887323944,1.93883829682501
"83","Italy","ITA",21,27.3333333333333,28.2121212121212,-6.33333333333333,-7.21212121212121,0.393442622950818,0,1.20662072360325
"84","Jamaica","JAM",35.3333333333333,35.6666666666667,42.030303030303,-0.333333333333329,-6.6969696969697,3.21311475409836,0,4.01242923947822
"85","Jordan","JOR",35.6666666666667,35.6666666666667,39.4545454545455,0,-3.7878787878788,3.27868852459016,3.78961267605633,3.48941668717697
"86","Japan","JPN",17.3333333333333,17.3333333333333,22.7878787878788,0,-5.45454545454546,0,1.36883802816901,0.105217819345313
"87","Kazakhstan","KAZ",56.6666666666667,56.6666666666667,56.6666666666667,0,0,7.40983606557377,9.29137323943663,6.98437115431947
"88","Kenya","KEN",56.3333333333333,56.3333333333333,57,0,-0.666666666666664,7.34426229508197,8.3230633802817,7.0520551316761
"89","Kyrgyzstan","KGZ",50,50,54.0909090909091,0,-4.09090909090909,6.09836065573771,3.34947183098591,6.46135860201822
"90","Cambodia","KHM",46.3333333333333,41.3333333333333,45.4242424242424,5,0.909090909090907,5.37704918032787,10,4.70157519074576
"91","Kiribati","KIR",NA,NA,NA,NA,NA,NA,NA,NA
"92","Saint Kitts and Nevis","KNA",NA,NA,NA,NA,NA,NA,NA,NA
"93","Korea Republic of","KOR",20.6666666666667,20.6666666666667,26.1515151515152,0,-5.48484848484848,0.327868852459018,1.32482394366197,0.788210681762248
"94","Kuwait","KWT",18.3333333333333,18.3333333333333,20,0,-1.66666666666667,0,6.8705985915493,0
"95","Lao PDR","LAO",47.3333333333333,49,47.4848484848485,-1.66666666666666,-0.151515151515142,5.57377049180328,9.07130281690143,5.11998523258676
"96","Lebanon","LBN",72,72,71.5454545454545,0,0.454545454545453,10,9.95158450704226,10
"97","Liberia","LBR",68.3333333333333,68.3333333333333,69.0909090909091,0,-0.757575757575765,9.70491803278689,8.19102112676056,9.5071375830667
"98","Libya","LBY",67.6666666666667,68.6666666666667,71.5151515151515,-1,-3.84848484848483,9.57377049180328,3.70158450704228,9.99938469111494
"99","Saint Lucia","LCA",NA,NA,NA,NA,NA,NA,NA,NA
"100","Liechtenstein","LIE",16.3333333333333,21.3333333333333,20.5757575757576,-5,-4.24242424242424,0,3.12940140845071,0
"101","Sri Lanka","LKA",43.3333333333333,43.3333333333333,45.6060606060606,0,-2.27272727272727,4.78688524590164,5.99031690140846,4.73849372384937
"102","Lesotho","LSO",48,48,50.6969696969697,0,-2.6969696969697,5.70491803278689,5.37411971830987,5.77221265075068
"103","Lithuania","LTU",23,23,27.6666666666667,0,-4.66666666666667,0.78688524590164,2.51320422535211,1.0958651242924
"104","Luxembourg","LUX",20,20,19,0,1,0.196721311475409,10,0
"105","Latvia","LVA",33,41.3333333333333,39.8181818181818,-8.33333333333334,-6.81818181818182,2.75409836065574,0,3.5632537533842
"106","Morocco","MAR",37.6666666666667,37.6666666666667,41.1515151515151,0,-3.48484848484848,3.67213114754098,4.22975352112676,3.83398966281073
"107","Moldova Republic of","MDA",52.6666666666667,55.6666666666667,56.5151515151515,-3,-3.84848484848486,6.62295081967213,3.70158450704224,6.95360571006646
"108","Madagascar","MDG",59.6666666666667,59.6666666666667,61.3939393939394,0,-1.72727272727273,8,6.78257042253521,7.94425301501354
"109","Maldives","MDV",NA,NA,NA,NA,NA,NA,NA,NA
"110","Mexico","MEX",31.3333333333333,31.3333333333333,34.5151515151515,0,-3.18181818181818,2.42622950819672,4.66989436619718,2.48646320452868
"111","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,NA
"112","North Macedonia","MKD",27.3333333333333,36.6666666666667,35.5757575757576,-9.33333333333333,-8.24242424242425,1.63934426229508,0,2.70182131429978
"113","Mali","MLI",46.3333333333333,46.3333333333333,47.6969696969697,0,-1.36363636363636,5.37704918032787,7.31073943661973,5.16305685454098
"114","Malta","MLT",19.3333333333333,26.3333333333333,27.2121212121212,-7,-7.87878787878788,0.0655737704918025,0,1.00356879153335
"115","Myanmar","MMR",75.6666666666667,62,63.6666666666667,13.6666666666667,12,10,10,8.40573467880876
"116","Montenegro","MNE",51,54.6666666666667,55.3030303030303,-3.66666666666666,-4.3030303030303,6.29508196721312,3.04137323943662,6.70748215604234
"117","Mongolia","MNG",42.6666666666667,42.6666666666667,46.6060606060606,0,-3.93939393939394,4.65573770491803,3.56954225352113,4.94154565591927
"118","Mozambique","MOZ",53.3333333333333,56.6666666666667,56.3636363636364,-3.33333333333333,-3.03030303030303,6.75409836065574,4.8899647887324,6.92284026581344
"119","Mauritania","MRT",49.3333333333333,57.6666666666667,57.3333333333333,-8.33333333333333,-8,5.9672131147541,0,7.11973910903274
"120","Mauritius","MUS",22,27,25.9393939393939,-5,-3.93939393939394,0.590163934426229,3.56954225352113,0.745139059808025
"121","Malawi","MWI",55,58.3333333333333,59.8484848484849,-3.33333333333334,-4.84848484848485,7.08196721311475,2.24911971830986,7.63044548363279
"122","Malaysia","MYS",17.3333333333333,19,22.2424242424242,-1.66666666666667,-4.90909090909091,0,2.16109154929577,0
