Indicator,Changed_Countries,Update_Date
FCS,8,2021-07-07
Political Disturbance,2,2021-07-07
GDACS Live Hazard Tracker,1,2021-07-07
Locust Threat Level,12,2021-07-07
INFORM Severity,1,2021-07-07
"Unemployment Rate, % Change",54,2021-07-07
MFRI Household Level Risk,7,2021-07-07
Political Fatalities,1,2021-07-07
Political Disturbance,1,2021-07-07
"Covid Growth, Cases (biweekly)",58,2021-07-07
"Covid Growth, Deaths (biweekly)",40,2021-07-07
Oxford Gov Response Index,34,2021-07-07
New Covid Cases per 1M,47,2021-07-07
New Covid Deaths per 1M,40,2021-07-07
GDACS Live Hazard Tracker,1,2021-07-07
FCS,8,2021-07-01
Political Disturbance,3,2021-07-01
"Covid Growth, Cases (biweekly)",28,2021-07-01
"Covid Growth, Deaths (biweekly)",20,2021-07-01
Oxford Gov Response Index,2,2021-07-01
New Covid Cases per 1M,14,2021-07-01
New Covid Deaths per 1M,16,2021-07-01
Seasonal Forecast Index,33,2021-07-01
"Covid Growth, Cases (biweekly)",21,2021-06-30
"Covid Growth, Deaths (biweekly)",19,2021-06-30
Oxford Gov Response Index,1,2021-06-30
GDACS Live Hazard Tracker,1,2021-06-30
Political Fatalities,1,2021-06-30
"Covid Growth, Cases (biweekly)",30,2021-06-30
"Covid Growth, Deaths (biweekly)",34,2021-06-30
Oxford Gov Response Index,8,2021-06-30
Locust Threat Level,12,2021-06-30
Seasonal Forecast Index,33,2021-06-30
"Unemployment Rate, % Change",54,2021-06-30
MFRI Household Level Risk,7,2021-06-30
"Covid Growth, Cases (biweekly)",45,2021-06-28
"Covid Growth, Deaths (biweekly)",47,2021-06-28
Oxford Gov Response Index,32,2021-06-28
New Covid Cases per 1M,46,2021-06-28
New Covid Deaths per 1M,54,2021-06-28
Income Support,2,2021-06-28
