"","Country","F_Fewsnet_Score"
"1","AFG",3
"2","ALB",NA
"3","DZA",NA
"4","AGO",2
"5","ATG",NA
"6","ARG",NA
"7","ARM",NA
"8","AUS",NA
"9","AUT",NA
"10","AZE",NA
"11","BHS",NA
"12","BHR",NA
"13","BGD",NA
"14","BRB",NA
"15","BLR",NA
"16","BEL",NA
"17","BLZ",NA
"18","BEN",NA
"19","BTN",NA
"20","BOL",NA
"21","BIH",NA
"22","BWA",NA
"23","BRA",NA
"24","BRN",NA
"25","BGR",NA
"26","BFA",3
"27","BDI",1
"28","CPV",NA
"29","KHM",NA
"30","CMR",3
"31","CAN",NA
"32","CAF",3
"33","TCD",2
"34","CHL",NA
"35","CHN",NA
"36","COL",NA
"37","COM",NA
"38","COG",NA
"39","COD",4
"40","CRI",NA
"41","CIV",NA
"42","HRV",NA
"43","CUB",NA
"44","CYP",NA
"45","CZE",NA
"46","DNK",NA
"47","DJI",3
"48","DMA",NA
"49","DOM",NA
"50","ECU",NA
"51","EGY",NA
"52","SLV",2
"53","GNQ",NA
"54","ERI",NA
"55","EST",NA
"56","SWZ",NA
"57","ETH",3
"58","FJI",NA
"59","FIN",NA
"60","FRA",NA
"61","GAB",NA
"62","GMB",NA
"63","GEO",NA
"64","DEU",NA
"65","GHA",NA
"66","GRC",NA
"67","GRD",NA
"68","GTM",2
"69","GIN",1
"70","GNB",NA
"71","GUY",NA
"72","HTI",3
"73","HND",2
"74","HUN",NA
"75","ISL",NA
"76","IND",NA
"77","IDN",NA
"78","IRN",NA
"79","IRQ",NA
"80","IRL",NA
"81","ISR",NA
"82","ITA",NA
"83","JAM",NA
"84","JPN",NA
"85","JOR",NA
"86","KAZ",NA
"87","KEN",2
"88","KIR",NA
"89","PRK",NA
"90","KOR",NA
"91","KWT",NA
"92","KGZ",NA
"93","LAO",NA
"94","LVA",NA
"95","LBN",NA
"96","LSO",3
"97","LBR",1
"98","LBY",NA
"99","LIE",NA
"100","LTU",NA
"101","LUX",NA
"102","MDG",2
"103","MWI",2
"104","MYS",NA
"105","MDV",NA
"106","MLI",3
"107","MLT",NA
"108","MHL",NA
"109","MRT",3
"110","MUS",NA
"111","MEX",NA
"112","FSM",NA
"113","MDA",NA
"114","MNG",NA
"115","MNE",NA
"116","MAR",NA
"117","MOZ",3
"118","MMR",NA
"119","NAM",NA
"120","NRU",NA
"121","NPL",NA
"122","NLD",NA
"123","NZL",NA
"124","NIC",2
"125","NER",3
"126","NGA",4
"127","MKD",NA
"128","NOR",NA
"129","OMN",NA
"130","PAK",NA
"131","PLW",NA
"132","PSE",NA
"133","PAN",NA
"134","PNG",NA
"135","PRY",NA
"136","PER",NA
"137","PHL",NA
"138","POL",NA
"139","PRT",NA
"140","QAT",NA
"141","ROU",NA
"142","RUS",NA
"143","RWA",1
"144","KNA",NA
"145","LCA",NA
"146","VCT",NA
"147","WSM",NA
"148","STP",NA
"149","SAU",NA
"150","SEN",1
"151","SRB",NA
"152","SYC",NA
"153","SLE",1
"154","SGP",NA
"155","SVK",NA
"156","SVN",NA
"157","SLB",NA
"158","SOM",3
"159","ZAF",NA
"160","SSD",4
"161","ESP",NA
"162","LKA",NA
"163","SDN",4
"164","SUR",NA
"165","SWE",NA
"166","CHE",NA
"167","SYR",NA
"168","TJK",2
"169","TZA",1
"170","THA",NA
"171","TLS",NA
"172","TGO",NA
"173","TON",NA
"174","TTO",NA
"175","TUN",NA
"176","TUR",NA
"177","TKM",NA
"178","TUV",NA
"179","UGA",2
"180","UKR",NA
"181","ARE",NA
"182","GBR",NA
"183","USA",NA
"184","URY",NA
"185","UZB",NA
"186","VUT",NA
"187","VEN",NA
"188","VNM",NA
"189","YEM",4
"190","ZMB",1
"191","ZWE",3
