Outlook,Method,Aggregation,Count_Medium_Values,Dimension,Default,Name,,,,
Emerging,Max,Dimensional Value,Ð,Health,Yes,EMERGING_RISK_HEALTH,,,,
Emerging,Max,Dimensional Value,Ð,Food Security,Yes,EMERGING_RISK_FOOD_SECURITY,,,,
Emerging,Max,Dimensional Value,Ð,Socioeconomic Vulnerability,Yes,EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY,,,,
Emerging,Max,Dimensional Value,Ð,Macro Fiscal,Yes,EMERGING_RISK_MACRO_FISCAL,,,,
Emerging,Max,Dimensional Value,Ð,Natural Hazard,Yes,EMERGING_RISK_NATURAL_HAZARDS,,,,
Emerging,Max,Dimensional Value,Ð,Conflict and Fragility,Yes,EMERGING_RISK_FRAGILITY_INSTITUTIONS,,,,
Emerging,Max,Flag Count,No,All,No,EMERGING_FLAGS,,,,
Emerging,Max,Flag Count,Yes,All,Yes,EMERGING_FLAGS_MED,,,,
Underlying,Max,Dimensional Value,Ð,Health,Yes,UNDERLYING_RISK_HEALTH,,,,
Underlying,Max,Dimensional Value,Ð,Food Security,Yes,UNDERLYING_RISK_FOOD_SECURITY,,,,
Underlying,Max,Dimensional Value,Ð,Maco Fiscal,Yes,UNDERLYING_RISK_MACRO_FISCAL,,,,
Underlying,Max,Dimensional Value,Ð,Socioeconomic Vulnerability,Yes,UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY,,,,
Underlying,Max,Dimensional Value,Ð,Natural Hazard,Yes,UNDERLYING_RISK_NATURAL_HAZARDS,,,,
Underlying,Max,Dimensional Value,Ð,Conflict and Fragility,Yes,UNDERLYING_RISK_FRAGILITY_INSTITUTIONS,,,,
Underlying,Max,Flag Count,No,All,No,UNDERLYING_FLAGS,,,,
Underlying,Max,Flag Count,Yes,All,Yes,UNDERLYING_FLAGS_MED,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Health,No,OVERALL_HEALTH_AV,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Food Security,No,OVERALL_FOOD_SECURITY_AV,,,,
