"","Country","F_Proteus_Score","F_Proteus_Score_norm","F_Fewsnet_Score","F_FAO_6mFPV","F_FAO_30dFPV","F_FAO_7dFPV","F_FAO_6mFPV_norm","F_Artemis_Score","F_Artemis_Score_norm"
"1","SOM",0.775,10,3,2.8,NA,NA,1.18410381184104,0.363166906,10
"2","SSD",0.752,10,4,-0.1,NA,NA,0.00811030008110336,0.889669262,10
"3","HTI",0.701,10,3,16.5,NA,NA,6.73965936739659,0.305023167,10
"4","CAF",0.695,10,3,NA,NA,NA,NA,NA,NA
"5","ERI",0.677,10,NA,10.4,NA,NA,4.26601784266018,NA,NA
"6","AFG",0.661,10,3,6.4,NA,0.1,2.64395782643958,0.476335221,10
"7","TCD",0.648,10,2,1.5,-1.9,NA,0.656934306569344,0.374706742,10
"8","ETH",0.646,10,3,3.8,NA,NA,1.58961881589619,0.249156278,10
"9","MDG",0.635,10,2,17.8,0.9,NA,7.26682887266829,NA,NA
"10","COD",0.629,10,4,NA,NA,NA,NA,0.44045633,10
"11","PNG",0.607,10,NA,4.8,2.4,0.5,1.99513381995134,NA,NA
"12","NER",0.606,10,3,NA,NA,NA,NA,0.216210932,10
"13","YEM",0.604,10,4,10.4,NA,NA,4.26601784266018,0.979144794,10
"14","UGA",0.593,10,2,12.3,1.6,1.8,5.03649635036496,0.054216755,2.71083775
"15","KEN",0.593,10,2,1.6,-1.3,-0.2,0.697485806974859,0.145021249,7.25106245
"16","MOZ",0.592,10,3,12.3,7.5,-0.7,5.03649635036496,0.303404623,10
"17","ZWE",0.581,10,3,2.9,2.3,NA,1.22465531224655,0.522293728,10
"18","MWI",0.577,10,2,16.7,NA,NA,6.82076236820762,0.466397747,10
"19","SDN",0.576,10,4,21.8,NA,NA,8.88888888888889,0.412665588,10
"20","COG",0.576,10,NA,8.2,NA,NA,3.37388483373885,NA,NA
"21","BDI",0.573,9.92822966507177,1,-8,NA,NA,0,NA,NA
"22","AGO",0.569,9.83253588516746,2,3,NA,NA,1.26520681265207,NA,NA
"23","LBR",0.565,9.73684210526316,1,5.5,NA,NA,2.27899432278994,NA,NA
"24","TZA",0.564,9.71291866028708,1,10.8,-4.7,0.4,4.42822384428224,NA,NA
"25","SLE",0.561,9.64114832535885,1,NA,NA,NA,NA,NA,NA
"26","KHM",0.548,9.33014354066986,NA,5.8,1.3,1.4,2.40064882400649,NA,NA
"27","TLS",0.547,9.30622009569378,NA,18.5,NA,NA,7.55068937550689,NA,NA
"28","NAM",0.546,9.28229665071771,NA,3.7,-0.5,1.2,1.54906731549067,NA,NA
"29","SLB",0.54,9.13875598086125,NA,1,NA,NA,0.454176804541769,NA,NA
"30","RWA",0.537,9.06698564593302,1,18.2,-1.4,NA,7.42903487429035,NA,NA
"31","NPL",0.536,9.04306220095694,NA,5.5,0.9,-0.4,2.27899432278994,NA,NA
"32","GIN",0.527,8.82775119617225,1,NA,NA,NA,NA,NA,NA
"33","LSO",0.524,8.75598086124402,3,24.5,NA,NA,9.9837793998378,NA,NA
"34","BFA",0.524,8.75598086124402,3,-6.8,NA,NA,0,0.118343647,5.91718235
"35","ZMB",0.522,8.70813397129187,1,27.6,1.6,1.5,10,0.066662409,3.33312045
"36","TGO",0.521,8.68421052631579,NA,13.6,NA,NA,5.56366585563666,NA,NA
"37","LAO",0.52,8.66028708133971,NA,7.1,NA,NA,2.92781832927818,NA,NA
"38","GNB",0.52,8.66028708133971,NA,NA,NA,NA,NA,NA,NA
"39","PRK",0.519,8.63636363636364,NA,NA,NA,NA,NA,NA,NA
"40","BEN",0.518,8.61244019138756,NA,1.3,NA,NA,0.575831305758314,NA,NA
"41","NGA",0.513,8.49282296650718,4,6.6,-0.8,-0.9,2.72506082725061,0.058721064,2.9360532
"42","DJI",0.503,8.25358851674641,3,37.9,42.1,NA,10,NA,NA
"43","MLI",0.502,8.22966507177034,3,16,NA,NA,6.53690186536902,0.104009132,5.2004566
"44","VUT",0.502,8.22966507177034,NA,-0.8,-1,-0.4,0,NA,NA
"45","COM",0.502,8.22966507177034,NA,NA,NA,NA,NA,NA,NA
"46","STP",0.501,8.20574162679426,NA,NA,NA,NA,NA,NA,NA
"47","CMR",0.498,8.13397129186603,3,10.4,2.3,-0.5,4.26601784266018,NA,NA
"48","MRT",0.498,8.13397129186603,3,0.3,NA,-1.5,0.170316301703163,0.421345361,10
"49","BOL",0.496,8.08612440191388,NA,14.1,-0.1,NA,5.76642335766423,NA,NA
"50","BGD",0.494,8.03827751196172,NA,2.8,1.3,0.1,1.18410381184104,NA,NA
"51","SWZ",0.489,7.91866028708134,NA,9.6,1.6,1.3,3.94160583941606,NA,NA
"52","GMB",0.472,7.51196172248804,NA,10.1,NA,NA,4.14436334144363,NA,NA
"53","SEN",0.467,7.39234449760766,1,12.7,NA,NA,5.19870235198702,NA,NA
"54","CIV",0.463,7.29665071770335,NA,7.7,-0.7,NA,3.17112733171127,NA,NA
"55","MNG",0.459,7.20095693779904,NA,6.9,0.5,0.1,2.84671532846715,NA,NA
"56","PHL",0.459,7.20095693779904,NA,6.8,0.3,0.2,2.80616382806164,NA,NA
"57","IND",0.458,7.17703349282297,NA,6.3,0.7,-0.2,2.60340632603406,NA,NA
"58","GHA",0.458,7.17703349282297,NA,14.4,0.2,2.3,5.88807785888078,NA,NA
"59","MMR",0.454,7.08133971291866,NA,27.7,-3.6,NA,10,NA,NA
"60","BTN",0.45,6.98564593301436,NA,27.8,26.9,26.9,10,NA,NA
"61","BWA",0.448,6.9377990430622,NA,19.2,2.7,NA,7.8345498783455,NA,NA
"62","NIC",0.442,6.79425837320574,2,1.5,NA,NA,0.656934306569344,NA,NA
"63","PER",0.436,6.65071770334928,NA,5.9,0.2,1.7,2.441200324412,NA,NA
"64","PAK",0.435,6.62679425837321,NA,5.6,0.6,NA,2.31954582319546,NA,NA
"65","GAB",0.434,6.60287081339713,NA,-0.2,NA,NA,0,NA,NA
"66","GTM",0.43,6.50717703349282,2,14.7,8.1,0.1,6.00973236009732,0.136237136,6.8118568
"67","CPV",0.424,6.36363636363636,NA,0.1,0.2,0.3,0.0892133008921334,NA,NA
"68","SYR",0.416,6.17224880382775,NA,15,3,1.5,6.13138686131387,NA,NA
"69","HND",0.415,6.14832535885167,2,11.6,NA,NA,4.75263584752636,NA,NA
"70","IRQ",0.405,5.90909090909091,NA,3.4,-1.5,0.2,1.42741281427413,NA,NA
"71","TJK",0.405,5.90909090909091,2,14.6,NA,NA,5.96918085969181,NA,NA
"72","KIR",0.399,5.76555023923445,NA,NA,NA,NA,NA,NA,NA
"73","LKA",0.395,5.66985645933014,NA,6.5,-2,-2.5,2.68450932684509,NA,NA
"74","SUR",0.389,5.52631578947368,NA,6.7,NA,NA,2.76561232765612,NA,NA
"75","VNM",0.389,5.52631578947368,NA,3.2,0.1,NA,1.3463098134631,NA,NA
"76","DMA",0.388,5.50239234449761,NA,NA,NA,NA,NA,NA,NA
"77","ZAF",0.385,5.43062200956938,NA,8.5,NA,-0.3,3.49553933495539,NA,NA
"78","GNQ",0.384,5.4066985645933,NA,16.7,NA,NA,6.82076236820762,NA,NA
"79","PRY",0.379,5.28708133971292,NA,6.5,2,-1.7,2.68450932684509,NA,NA
"80","IDN",0.377,5.23923444976077,NA,5.5,0.3,0.2,2.27899432278994,NA,NA
"81","ECU",0.373,5.14354066985646,NA,6.3,3.4,1.7,2.60340632603406,NA,NA
"82","PAN",0.371,5.09569377990431,NA,4,-0.4,-1.5,1.67072181670722,NA,NA
"83","COL",0.37,5.07177033492823,NA,8.4,0.2,-0.5,3.45498783454988,NA,NA
"84","VEN",0.37,5.07177033492823,NA,36.6,-4.5,NA,10,NA,NA
"85","SLV",0.366,4.97607655502392,2,9.8,NA,NA,4.02270884022709,NA,NA
"86","GEO",0.364,4.92822966507177,NA,10.9,1.2,1.4,4.46877534468775,NA,NA
"87","FJI",0.363,4.90430622009569,NA,3.7,-1.5,-1.2,1.54906731549067,NA,NA
"88","BLZ",0.353,4.66507177033493,NA,9.2,NA,NA,3.779399837794,NA,NA
"89","GUY",0.353,4.66507177033493,NA,65.8,23.5,NA,10,NA,NA
"90","MDA",0.35,4.5933014354067,NA,-2.1,-2,-0.3,0,NA,NA
"91","DOM",0.35,4.5933014354067,NA,8.8,-0.3,-0.3,3.61719383617194,NA,NA
"92","TON",0.347,4.52153110047847,NA,NA,NA,NA,NA,NA,NA
"93","VCT",0.345,4.47368421052632,NA,21.1,14,NA,8.60502838605029,NA,NA
"94","CUB",0.339,4.33014354066986,NA,5.2,3.7,-1.5,2.1573398215734,NA,NA
"95","AZE",0.335,4.23444976076555,NA,7.3,3.8,NA,3.00892133008921,NA,NA
"96","JAM",0.334,4.21052631578947,NA,9.7,5.6,0.2,3.98215733982157,NA,NA
