Countryname,Fr_REIGN_couprisk3m_norm,Fr_ACLED_event_same_month_difference_perc_norm,Fr_ACLED_fatal_same_month_difference_perc_norm,Fr_conflict_acaps,Fr_state6m_norm,Fr_nonstate6m_norm,Fr_INFORM_CRISIS_Norm,,Max value
Afghanistan,2.2,0.0,0.0,10.0,NA,NA,10.0,,10.0
Albania,0.4,0.0,0.0,0.0,NA,NA,0.0,,0.4
Algeria,10.0,2.1,0.0,0.0,6.5,2.0,0.0,,10.0
Angola,4.0,10.0,10.0,0.0,3.7,2.0,0.0,,10.0
Antigua and Barbuda,0.4,0.0,0.0,0.0,NA,NA,0.0,,0.4
Argentina,1.5,4.9,0.0,0.0,NA,NA,0.0,,4.9
Armenia,0.7,0.0,0.0,0.0,NA,NA,0.0,,0.7
Australia,1.7,NA,NA,0.0,NA,NA,0.0,,1.7
Austria,0.2,NA,NA,0.0,NA,NA,0.0,,0.2
Azerbaijan,0.7,3.3,0.0,0.0,NA,NA,0.0,,3.3
Bahamas,0.6,0.0,0.0,0.0,NA,NA,0.0,,0.6
Bahrain,1.6,0.0,0.0,0.0,NA,NA,0.0,,1.6
Bangladesh,2.2,0.5,1.4,0.0,NA,NA,0.0,,2.2
Barbados,0.6,0.0,0.0,0.0,NA,NA,0.0,,0.6
Belarus,10.0,10.0,0.0,0.0,NA,NA,0.0,,10.0
Belgium,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
Belize,1.0,0.0,0.0,0.0,NA,NA,0.0,,1.0
Benin,4.7,0.0,0.0,0.0,0.0,0.0,0.0,,4.7
Bhutan,1.1,NA,NA,0.0,NA,NA,0.0,,1.1
Bolivia,2.8,5.5,0.0,0.0,NA,NA,0.0,,5.5
Bosnia and Herzegovina,0.1,0.0,0.0,0.0,NA,NA,0.0,,0.1
Botswana,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,1.7
Brazil,1.6,1.9,0.5,0.0,NA,NA,0.0,,1.9
Brunei Darussalam,0.9,NA,NA,0.0,NA,NA,0.0,,0.9
Bulgaria,0.9,10.0,0.0,0.0,NA,NA,0.0,,10.0
Burkina Faso,10.0,1.5,0.0,0.0,10.0,10.0,10.0,,10.0
Burundi,10.0,0.0,0.0,0.0,4.1,2.7,0.0,,10.0
Côte d'Ivoire,6.5,0.0,0.0,0.0,2.7,5.4,0.0,,6.5
Cabo Verde,2.6,NA,NA,0.0,0.0,0.0,0.0,,2.6
Cambodia,1.5,0.0,0.0,0.0,NA,NA,0.0,,1.5
Cameroon,4.2,2.2,0.0,10.0,10.0,8.3,0.0,,10.0
Canada,0.7,NA,NA,0.0,NA,NA,0.0,,0.7
Central African Republic,NA,0.0,7.9,0.0,6.9,10.0,10.0,,10.0
Chad,5.8,0.0,10.0,10.0,6.4,9.7,0.0,,10.0
Chile,1.9,5.4,0.0,0.0,NA,NA,0.0,,5.4
China,0.0,0.3,0.0,0.0,NA,NA,0.0,,0.3
Colombia,1.5,0.2,4.6,10.0,NA,NA,0.0,,10.0
Comoros,5.0,NA,NA,0.0,0.0,0.0,0.0,,5.0
Congo,6.1,0.0,0.0,0.0,0.6,0.0,0.0,,6.1
Congo DR,6.0,2.4,3.3,10.0,10.0,10.0,10.0,,10.0
Costa Rica,1.0,0.0,0.0,0.0,NA,NA,0.0,,1.0
Croatia,0.3,0.0,0.0,0.0,NA,NA,0.0,,0.3
Cuba,1.0,10.0,0.0,0.0,NA,NA,0.0,,10.0
Cyprus,0.0,0.0,0.0,0.0,NA,NA,0.0,,0.0
Czech Republic,0.5,NA,NA,0.0,NA,NA,0.0,,0.5
Denmark,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Djibouti,2.9,0.0,0.0,0.0,0.0,0.0,0.0,,2.9
Dominica,0.4,0.0,0.0,0.0,NA,NA,0.0,,0.4
Dominican Republic,2.6,0.0,0.0,0.0,NA,NA,0.0,,2.6
Ecuador,3.1,0.0,0.0,0.0,NA,NA,0.0,,3.1
Egypt,5.6,0.0,0.7,10.0,9.6,3.7,0.0,,10.0
El Salvador,1.6,0.0,0.0,0.0,NA,NA,0.0,,1.6
Equatorial Guinea,4.6,0.0,0.0,0.0,0.0,0.0,0.0,,4.6
Eritrea,4.1,0.0,0.0,0.0,0.0,0.0,10.0,,10.0
Estonia,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Eswatini,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,3.7
Ethiopia,9.4,0.0,4.8,10.0,8.3,10.0,10.0,,10.0
Fiji,2.3,NA,NA,0.0,NA,NA,0.0,,2.3
Finland,0.2,NA,NA,0.0,NA,NA,0.0,,0.2
France,0.8,NA,NA,0.0,NA,NA,0.0,,0.8
Gabon,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
Gambia,4.1,0.0,0.0,0.0,0.0,0.0,0.0,,4.1
Georgia,1.2,3.8,0.0,0.0,NA,NA,0.0,,3.8
Germany,0.5,NA,NA,0.0,NA,NA,0.0,,0.5
Ghana,4.5,0.0,0.0,0.0,0.0,1.8,0.0,,4.5
Greece,0.5,0.0,0.0,0.0,NA,NA,0.0,,0.5
Grenada,1.3,0.0,0.0,0.0,NA,NA,0.0,,1.3
Guatemala,1.7,0.0,0.0,0.0,NA,NA,10.0,,10.0
Guinea,7.9,10.0,0.0,0.0,3.4,0.8,0.0,,10.0
Guinea-Bissau,5.8,0.0,0.0,0.0,0.0,0.0,0.0,,5.8
Guyana,0.7,0.0,0.0,0.0,NA,NA,0.0,,0.7
Haiti,4.4,0.0,0.0,0.0,NA,NA,10.0,,10.0
Honduras,1.8,2.0,5.2,0.0,NA,NA,10.0,,10.0
Hungary,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Iceland,0.2,NA,NA,0.0,NA,NA,0.0,,0.2
India,0.7,0.0,0.0,0.0,NA,NA,0.0,,0.7
Indonesia,2.3,10.0,0.0,0.0,NA,NA,0.0,,10.0
Iran,2.5,1.1,10.0,0.0,NA,NA,0.0,,10.0
Iraq,2.7,7.6,1.3,10.0,NA,NA,0.0,,10.0
Ireland,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
Israel,3.3,10.0,0.0,0.0,NA,NA,0.0,,10.0
Italy,1.2,NA,NA,0.0,NA,NA,0.0,,1.2
Jamaica,1.5,0.0,0.0,0.0,NA,NA,0.0,,1.5
Japan,0.9,3.9,0.0,0.0,NA,NA,0.0,,3.9
Jordan,2.6,0.0,0.0,10.0,NA,NA,0.0,,10.0
Kazakhstan,1.5,0.0,0.0,0.0,NA,NA,0.0,,1.5
Kenya,6.2,0.0,10.0,0.0,10.0,10.0,0.0,,10.0
Kiribati,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Korea DPR,2.3,0.0,0.0,10.0,NA,NA,10.0,,10.0
Korea Republic of,2.2,6.9,0.0,0.0,NA,NA,0.0,,6.9
Kuwait,1.9,0.0,0.0,0.0,NA,NA,0.0,,1.9
Kyrgyzstan,10.0,0.0,0.0,0.0,NA,NA,0.0,,10.0
Lao PDR,1.1,0.0,0.0,0.0,NA,NA,0.0,,1.1
Latvia,0.2,NA,NA,0.0,NA,NA,0.0,,0.2
Lebanon,4.1,4.2,0.0,10.0,NA,NA,0.0,,10.0
Lesotho,8.3,0.0,0.0,0.0,0.0,0.0,0.0,,8.3
Liberia,7.7,0.0,0.0,0.0,0.0,0.0,0.0,,7.7
Libya,5.5,0.0,0.0,10.0,7.7,10.0,0.0,,10.0
Liechtenstein,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Lithuania,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
Luxembourg,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Madagascar,6.4,0.0,0.0,0.0,0.0,0.0,0.0,,6.4
Malawi,8.6,0.0,10.0,0.0,0.0,0.0,0.0,,10.0
Malaysia,3.5,0.0,0.0,0.0,NA,NA,0.0,,3.5
Maldives,1.2,NA,NA,0.0,NA,NA,0.0,,1.2
Mali,7.8,6.9,9.9,0.0,10.0,10.0,10.0,,10.0
Malta,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Marshall Islands,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Mauritania,4.3,10.0,0.0,0.0,0.0,0.0,0.0,,10.0
Mauritius,2.7,NA,NA,0.0,0.0,0.0,0.0,,2.7
Mexico,2.0,2.1,1.2,0.0,NA,NA,0.0,,2.1
Micronesia,NA,NA,NA,0.0,NA,NA,0.0,,0.0
Moldova Republic of,0.7,0.0,0.0,0.0,NA,NA,0.0,,0.7
Mongolia,1.6,10.0,0.0,0.0,NA,NA,0.0,,10.0
Montenegro,1.3,10.0,0.0,0.0,NA,NA,0.0,,10.0
Morocco,3.7,4.5,0.0,0.0,0.0,0.0,0.0,,4.5
Mozambique,2.2,0.0,9.5,0.0,7.5,0.8,0.0,,9.5
Myanmar,4.8,0.0,0.0,0.0,NA,NA,0.0,,4.8
Namibia,1.9,0.0,0.0,0.0,0.0,0.0,0.0,,1.9
Nauru,0.7,NA,NA,0.0,NA,NA,0.0,,0.7
Nepal,2.6,0.0,0.0,0.0,NA,NA,0.0,,2.6
Netherlands,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
New Zealand,1.5,NA,NA,0.0,NA,NA,0.0,,1.5
Nicaragua,2.1,0.0,0.0,0.0,NA,NA,0.0,,2.1
Niger,6.3,0.0,0.0,10.0,9.4,7.4,0.0,,10.0
Nigeria,10.0,3.2,3.4,10.0,10.0,10.0,10.0,,10.0
North Macedonia,0.9,0.0,0.0,0.0,NA,NA,0.0,,0.9
Norway,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Oman,1.4,0.0,0.0,0.0,NA,NA,0.0,,1.4
Pakistan,3.2,4.5,1.3,0.0,NA,NA,10.0,,10.0
Palau,0.9,NA,NA,0.0,NA,NA,0.0,,0.9
Panama,1.2,0.0,0.0,0.0,NA,NA,0.0,,1.2
Papua New Guinea,3.0,NA,NA,0.0,NA,NA,0.0,,3.0
Paraguay,1.8,3.3,0.0,0.0,NA,NA,0.0,,3.3
Peru,2.3,3.1,0.0,0.0,NA,NA,0.0,,3.1
Philippines,2.8,0.8,0.5,0.0,NA,NA,0.0,,2.8
Poland,0.2,NA,NA,0.0,NA,NA,0.0,,0.2
Portugal,0.6,NA,NA,0.0,NA,NA,0.0,,0.6
Qatar,1.6,0.0,0.0,0.0,NA,NA,0.0,,1.6
Romania,0.7,NA,NA,0.0,NA,NA,0.0,,0.7
Russian Federation,10.0,3.0,10.0,0.0,NA,NA,0.0,,10.0
Rwanda,3.5,0.0,0.0,0.0,3.1,0.5,0.0,,3.5
Saint Kitts and Nevis,0.2,0.0,0.0,0.0,NA,NA,0.0,,0.2
Saint Lucia,0.8,0.0,0.0,0.0,NA,NA,0.0,,0.8
Saint Vincent and the Grenadines,0.7,0.0,0.0,0.0,NA,NA,0.0,,0.7
Samoa,0.4,NA,NA,0.0,NA,NA,0.0,,0.4
Sao Tome and Principe,1.5,NA,NA,0.0,0.0,0.0,0.0,,1.5
Saudi Arabia,1.4,0.0,0.0,0.0,NA,NA,0.0,,1.4
Senegal,4.2,0.0,0.0,0.0,1.5,0.7,0.0,,4.2
Serbia,0.7,8.6,0.0,0.0,NA,NA,0.0,,8.6
Seychelles,10.0,NA,NA,0.0,0.0,0.0,0.0,,10.0
Sierra Leone,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0
Singapore,0.5,NA,NA,0.0,NA,NA,0.0,,0.5
Slovakia,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Slovenia,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Solomon Islands,0.9,NA,NA,0.0,NA,NA,0.0,,0.9
Somalia,10.0,0.8,0.1,10.0,10.0,10.0,10.0,,10.0
South Africa,4.5,1.0,0.0,0.0,0.5,5.3,0.0,,5.3
South Sudan,5.2,7.5,10.0,10.0,6.4,6.7,10.0,,10.0
Spain,1.2,NA,NA,0.0,NA,NA,0.0,,1.2
Sri Lanka,1.5,0.0,0.0,0.0,NA,NA,0.0,,1.5
Sudan,10.0,0.0,10.0,10.0,10.0,10.0,10.0,,10.0
Suriname,1.2,10.0,0.0,0.0,NA,NA,0.0,,10.0
Sweden,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
Switzerland,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Syria,2.3,0.0,0.0,10.0,NA,NA,0.0,,10.0
Tajikistan,3.9,0.0,0.0,0.0,NA,NA,0.0,,3.9
Tanzania,3.0,0.0,0.0,0.0,3.6,1.4,0.0,,3.6
Thailand,4.5,5.0,0.0,0.0,NA,NA,0.0,,5.0
Timor-Leste,1.1,NA,NA,0.0,NA,NA,0.0,,1.1
Togo,2.4,0.0,0.0,0.0,0.3,0.0,0.0,,2.4
Tonga,0.3,NA,NA,0.0,NA,NA,0.0,,0.3
Trinidad and Tobago,1.3,0.0,0.0,0.0,NA,NA,0.0,,1.3
Tunisia,4.1,10.0,0.0,0.0,7.1,2.3,0.0,,10.0
Turkey,3.9,3.2,0.0,10.0,NA,NA,0.0,,10.0
Turkmenistan,1.9,0.0,0.0,0.0,NA,NA,0.0,,1.9
Tuvalu,0.0,NA,NA,0.0,NA,NA,0.0,,0.0
Uganda,4.3,7.0,10.0,0.0,2.8,2.4,0.0,,10.0
Ukraine,1.7,1.3,0.0,0.0,NA,NA,10.0,,10.0
United Arab Emirates,2.8,0.0,0.0,0.0,NA,NA,0.0,,2.8
United Kingdom,NA,NA,NA,0.0,NA,NA,0.0,,0.0
United States of America,0.1,NA,NA,0.0,NA,NA,0.0,,0.1
Uruguay,0.8,0.0,0.0,0.0,NA,NA,0.0,,0.8
Uzbekistan,2.4,10.0,0.0,0.0,NA,NA,0.0,,10.0
Vanuatu,0.5,NA,NA,0.0,NA,NA,0.0,,0.5
Venezuela,4.5,0.0,0.0,10.0,NA,NA,10.0,,10.0
Viet Nam,0.9,0.0,0.0,0.0,NA,NA,0.0,,0.9
Yemen,5.7,1.3,0.0,10.0,NA,NA,10.0,,10.0
Zambia,5.6,0.0,0.0,0.0,0.0,0.0,0.0,,5.6
Zimbabwe,7.0,0.0,0.0,0.0,1.1,0.0,0.0,,7.0
